Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adair, Connor",0,QB,6040,200,FR,Hewitt-Trussville,"Trussville, Ala."
"Akins, Curtis",7,ILB,6020,230,RS JR,Byhalia,"Byhalia, MS"
"Augustus, Nehemiah",16,LB,6000,205,RS FR,Patterson HS,"Patterson, La."
"Avery, Genard",6,OLB,6010,255,SR,Grenada,"Grenada, MS"
"Belles, Tim",52,LS,6050,250,RS SO,Houston,"Germantown, Tenn."
"Blake Jr., Sanchez",41,DB,6000,190,FR,Olive Branch,"Olive Branch, Miss."
"Booker, Jahod",27,WR,5110,185,RS FR,Park Cross HS,"Montgomery, Ala."
"Brady, Preston",0,LS/OL,6010,205,FR,Evangelical Christian School,"Cordova, Tenn."
"Brown, Braylon",0,DL,6040,265,FR,Cordova,"Cordova, Tenn."
"Burcham, Ross",87,TE,6050,225,RS SO,Adamsville,"Adamsville, Tenn."
"Carter, Terrell",0,CB,5110,180,FR,Stratford,"Nashville, Tenn."
"Choate, Connor",0,LS,6010,200,FR,Coppell,"Coppell, Texas"
"Cochran, Colton",47,S,6000,195,RS FR,St. Benedict,"Memphis, Tenn."
"Collins, Jamil",9,CB,5110,170,RS SR,Olive Branch,"Olive Branch, Miss."
"Cook, Jonathan",14,S,6000,198,SR/TR,Spanish Fort HS,"Daphne, Ala."
"Cooper, Emmanuel",97,DL,6010,275,JR,Arkadelphia,"Arkadelphia, Ark."
"Coxie, Damonte",10,WR,6030,175,SO,East St. John,"Reserve, La."
"Craft, Sam",11,RB,6000,210,RS SR,Olive Branch,"Olive Branch, Miss."
"Cullens, Zay",0,STAR,6010,205,FR,North Pontotoc,"Ecru, Miss."
"Daniel, Tyce",0,TE,6040,238,FR,McCracken County,"Paducah, Ky."
"Davis, Brady",7,QB,6040,205,RS SO,Starkville,"Starkville, Miss."
"Dill, Scottie",79,OT,6070,285,RS SO,Briarcrest Christian,"Memphis, Tenn."
"Dillard, Freddie",94,DL,6030,265,RS FR,Germantown HS,"Memphis, Tenn."
"Dillon, Jackson",34,OLB,6060,245,RS SR,Ringling,"Ringling, Okla."
"Dorceus, Doroland",28,RB,5100,215,RS SR,Spring,"Spring, Texas"
"Dorceus, Joseph",54,DL,6000,265,RS FR,Spring,"Spring, Texas"
"Dykes, Sean",5,WR,6010,210,SO,Manvel HS,"Manvel, Texas"
"Edwards, Jared",0,TE,6040,255,FR,Rhea County,"Evansville, Tenn."
"Enis, Steven",44,LB,6020,235,RS SO,Fayette County,"Fayette, Ala."
"Eze, Obinna",0,OL,6080,283,FR,Davidson Academy,"Nashville, Tenn."
"Fairman, Coye",80,WR,6030,190,FR,Atascocita,"Humble, Texas"
"Ferguson, Riley",4,QB,6040,210,SR/TR,Butler HS,"Matthews, N.C."
"Ferrari, Hayden",57,LB,5110,210,RS SO,Christian Brothers,"Memphis, Tenn."
"Francis, Jacobi",32,CB,5090,165,RS FR,Newton HS,"Covington, Ga."
"Gentry, Jared",98,NT,6020,325,JR,Opelika,"Opelika, Ala."
"Gill, Harneet",77,OL,6070,265,RS JR/TR,Francis Howell HS,"St. Charles, Mo."
"Green, Marcus",21,DB,6020,190,JR/TR,Cedar Hill,"Cedar Hill, Texas"
"Hall, Austin",25,DB,6020,205,RS SO,Collierville,"Collierville, Tenn."
"Harden, Caelon",37,DB,6000,182,RS SR/TR,Parkview,"Little Rock, Ark."
"Hart, Tim",35,LB,6010,220,SO,MUS,"Memphis, Tenn."
"Hawkins, Desmond",0,DL,6050,280,JR/TR,Craigmont,"Memphis, Tenn."
