Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abey, Zach",9,QB,6020,212,JR,Archbishop Spalding,"Annapolis, Md."
"Adzima, Mike",55,OT,6020,282,SO,Bergen Catholic,"Wallington, N.J."
"Amosa-Tagovailoa, Adam",69,OT,6020,272,JR,Campbell,"Ewa Beach, Hawai'i"
"Angulo, Lance",60,NG,6010,285,JR,Holtville,"Holtville, Calif."
"Armstrong, Lamonte",50,OLB,6010,216,JR,Quince Orchard,"Gaithersburg, Md."
"Bailey, Rahn",38,OLB,6020,224,SO,Clear Falls,"League City, Texas"
"Bankston, Carter",65,DE,6030,235,SO,Briarwood Christian,"Birmingham, Ala."
"Barrett, Bryan",77,OC,6030,330,JR,Guyer,"Denton, Texas"
"Beggs, Randy",8,S,6000,180,SR,Vista Murrieta,Temecula CA
"Benning, Myles",44,FB,5110,235,SO,The Colony,"The Colony, Texas"
"Bonner, Darryl",29,SB,5070,178,SR,Terry Sandord,Fayetteville NC
"Brannan, Travis",22,SB,6000,180,SO,Vandegrift,"Austin, Texas"
"Brown, Josh",28,SB,5090,189,SR,Brookwood,Lilburn GA
"Brown III, John",20,SB,5090,203,SR,Charles E. Jordan,"Durham, N.C."
"Cal, Eric",50,OG,6030,282,SO,Providence Day,"Waxhaw, N.C."
"Carmona, Tyler",88,WR,6040,227,SR,American Heritage Plantation,"Davie, Fla."
"Carothers, Paul",50,LB,6010,220,SO,Greater Atlanta Christian,"Flowery Branch, Ga."
"Clarke, Trayvon",81,WR,6010,201,JR,Ida S. Baker,"Cape Coral, Fla."
"Colon, Brandon",87,WR,6040,223,SR,Los Fresnos,"Brownsville, Texas"
"Cromartie, Nizaire",96,DE,6020,243,SO,Dudley,"Greensboro, N.C."
"Daniel, Jahmaal",25,SB,5060,160,SR,Terry Sanford,Fayetteville N.C.
"Davenport, Miles",56,LB,6020,233,SR,Terry Sanford,Fayetteville N.C.
"Davis, O.J.",22,OLB,6020,225,SO,Shelbyville Central,"Shelbyville, Tenn."
