Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Andrew",46,LB,6000,226,SO/TR,Central,"Little Rock, Ark."
"Ali, Alan",77,OL,6050,275,FR,Timber Creek,"Fort Worth, Texas"
"Avantino, Nicholas",53,LS,6000,246,RS JR,Redding Christian,"Redding, CA"
"Badejo, Michael",7,DE,6020,239,SO,Timberview,"Grand Prairie, Texas"
"Barton, Harrison",56,OL,6030,279,RS FR,Houston Christian,"Bellaire, Texas"
"Becker, Ryan",14,TE,6050,230,SO,Marble Falls,"Marble Falls, Texas"
"Bell, Judah",86,WR,6030,190,FR,Bishop T.K. Gorman,"Tyler, Texas"
"Benson, Brandon",10,WR,6010,200,RS FR,La Vega,"Waco, Texas"
"Biggurs, Chris",94,DT,6030,280,RS SO,Coppell,"Coppell, Texas"
"Blaskovich, Kyle",30,LB,6020,200,FR,Moorestown,"Moorestown, N.J."
"Brown, Evan",63,OC,6030,308,SR,Carroll,"Southlake, TX"
"Clark, Michael",27,S,6010,188,RS FR,Cedar Hill,"Cedar Hill, Texas"
"Clemons, Rodney",8,DB,6000,187,RS SO,Taylor HS,"Katy, Texas"
"Cox, RC",32,OLB,6010,217,SR,Carmel Catholic,"Gumee, IL"
"Coxe, Turner",97,DL,6020,248,FR,Highland Park,"Dallas, Texas"
"Davis, Christian",28,CB,6000,179,SO,Midway,"Waco, Texas"
"Duke, Myles",25,LB,6010,224,RS FR,Goose Creek,"Baytown, Texas"
"Duran Silva, Pedro",41,DB,5090,180,FR,Leander,"Austin, Texas"
"Epps, Raymond",11,TE-Y,6040,248,RS SR/TR,Warren Central,"Indianapolis, Ind."
"Faranetta, Cameron",39,DB,5060,160,SO,Allen,"Allen, Texas"
"Freeman, Brent",26,DB,5100,188,JR/TR,Lutheran South Academy,"Houston, Texas"
"Freeman, Ke'Mon",13,QB/RB,5110,208,SO,Liberty-Eylau,"Texarkana, Texas"
"Gailliard, Myron",22,WR,5090,175,RS SO,Mansfield Tiberview,"Mansfield, Texas"
"Gary, Demerick",10,DL,6030,268,SO,Kimball,"Dallas, Texas"
"Gentry, Mason",93,DE,6060,301,SR,Plano West,"Plano, Texas"
"Gillins, D.J.",7,QB,6030,203,RS JR/TR,Ribault,"Jacksonville, Fla."
"Gipson, Jordan",56,DL,6010,247,FR,Bay City,"Bay City, Texas"
"Guy-Robinson, Justin",29,CB,5100,170,FR,Pearland,"Pearland, Texas"
"Hailey, Shaine",9,LB,6000,205,FR,Bishop Dunne,"Dallas, Texas"
"Hall, Robert",49,DE,6030,266,RS FR,Madison Central,"Madison, Miss."
