Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ali, Kareem",12,CB,5100,180,RS SO,Timber Creek,"Pennsauken, N.J."
"Apostolu, Nick",62,OL,6050,300,RS JR,Springfield,"Springfield, PA"
"Archibong, Dan",95,DL,6060,255,RS FR,Springfield,"Springfield, Pa."
"Armstead, Ryquell",25,RB,5110,205,JR,Millville,"Millville, N.J."
"Atoki, Jeremiah",19,WLB,6020,214,RS SO,Vineland South,"Vineland, N.J."
"Backer, T.J.",86,WR,6030,208,SO,Stroudsburg,"Stroudsburg, PA"
"Blue, Jadan",0,WR,6000,175,FR,Peddie Prep,"Randallstown, Md."
"Booth-Lloyd, Freddie",99,DT,6010,315,RS JR,Cocoa,"Cocoa, FL"
"Boozer, Cole",79,OT,6050,260,RS SR,Loyola Blakefield,"Hunt Valley, Md."
"Boumerhi, Aaron",97,K,6000,195,SO,Phillipsburg-Osceola,"Phillipsburg, Pa."
"Bradley, Shaun",18,LB,6010,220,SO,Rancocas Valley,"Mt. Holly, N.J."
"Braithwaite, Xavier",43,DB,5110,180,SO,Erasmus Hall,"Brooklyn, N.Y."
"Braswell, Christian",0,DB,5100,160,FR,Friendship Collegiate Academy,"Washington, D.C."
"Brown, Kimere",24,DB,6000,165,RS FR,Penns Grove,"Penns Grove, N.J."
"Bruton, Keyvone",20,DB,5110,205,RS FR,Lake Taylor,"Norfolk, Va."
"Bryant, Darian",75,OL,6050,325,RS FR,Chestnut Hill Academy,"Philadelphia, Pa."
"Bryant, Ventell",1,WR,6030,189,RS JR,Jefferson,"Tampa, FL"
"Burns, Malik",0,DL,6030,229,FR,Lackey,"Marbury, Md."
"Carter, Brian",55,OG,6010,304,RS SR,Harrisburg,"Harrisburg, Pa."
"Centeio, Todd",16,QB,6000,205,FR,William T. Dwyer,"Palm Beach Gardens, Fla"
"Chandler, Sean",3,CB,6000,190,SR,Camden,"Camden, NJ"
"Conover, Julian",27,LB,6030,205,RS FR,Don Bosco Prep,"Highland Falls, N.Y."
"Coppinger, John",52,LS,6010,205,SO,St.Josephs Prep,"Philadelphia, PA"
"Crump, Linwood",11,CB,6000,165,SO,Piscataway/Sayerville,"South Amboy, N.J."
"Cruz, Anthony",38,WR,6020,175,RS SO,East Stroudsburg North,"Dingmans Ferry, PA"
"DeCaesar, Kevin",53,LB,6000,210,RS SO,West Deptford,"Westville, N.J."
"DiFrancesco, Mike",47,LB,6000,225,RS SO,Neumann-Goretti,"Philadelphia, Pa."
"Dioubate, Karamo",72,NT,6030,279,SO,Prep Charter,"Philadelphia, Pa."
"Dogbe, Michael",98,NT,6030,280,RS JR,Parsippany Hills,"Morris Plains, NJ"
"Drewes, Dan",72,OL,6010,285,RS SO,Dunmore,"Dunmore, Pa."
"Ebiketie, Arnold",0,DL,6040,200,FR,Albert Einstein,"Silver Spring, Md."
"Ellick, Marshall",10,WR,6020,191,RS JR/TR,Monacan,"Richmond, Va"
"Fair, Jovahn",70,OG,6020,300,RS SO,Firestone,"Akron, Ohio"
"Finch, Sharif",56,DL,6030,255,SR,Henrico,"Henrico, Va."
"Fofi, David",87,WR,6020,185,RS FR,Lake Braddock,"Burke, VA"
"Folks, Jared",44,LB,6010,239,RS JR,Susquehanna Township,"Harrisburg, PA"
"Forrest, Jonny",39,RB,5100,210,RS FR,New Rochelle,"New Rochelle, N.Y."
"Foster, Artrel",16,CB,5110,189,RS SR,Meadville,"Meadville, Pa."
"Franklin, Sam",36,LB,6030,200,SO,Citrus/East Coast Prep,"Crystal River, Fla."
"Gardner, Jager",27,RB,6020,214,JR,Owen,"Black Mountain, N.C."
"Geiger, Jake",99,K,6000,175,RS SO,Bishop Shanahan,"Downington, Pa."
"Graham-Mobley, Isaiah",37,DB,6020,198,RS FR,Upper Merion,"King of Prussia, N.J."
"Grimes, Daishaun",48,LB,6010,225,RS SO,Harmony,"St. Cloud, Fla."
"Hennessey, Matt",58,OC,6040,285,RS FR,Don Bosco Prep,"Bardonia, N.Y."
