Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, D.J.",32,LB,5110,225,RS FR,Brennan,"San Antonio, Texas"
"Anderson, Jarion",16,WR,5090,179,RS SO,Texas,"Texarkana, TX"
"Bennett, Thomas",23,P,6030,180,SO/TR,La Costa Canyon,"Carlsbad, Calif."
"Bivens, Dante",75,OL,6030,310,FR,Klein Collins,"Spring, Texas"
"Boomer, Seth",12,QB,6030,185,FR,Collinsville,"Collinsville, Okla."
"Bowling, Tyler",72,OT,6060,325,RS JR,Yukon HS,"Yukon, OK"
"Brewer, D'Angelo",4,RB,5090,185,SR,Central HS,"Tulsa, OK"
"Bricker, Christian",92,DE,6060,220,FR,Piedmont,"Piedmont, Okla."
"Brooks, Shamari",3,RB,5090,185,FR,Union,"Tulsa, Okla."
"Brown, Chase",34,LB,6020,226,FR,Kerrville Tivy,"Ingram, Texas"
"Brown, Jordan",23,WR,6020,198,RS FR,Stillwater,"Stillwater, Okla."
"Brubaker, Jesse",8,DT,6030,270,RS SR,Wylie East HS,"Wylie, Texas"
"Bucktrot, Tiller",68,OG,6050,350,RS FR,Stroud,"Stroud, Okla."
"Bunch, Manny",10,S,6020,191,SO,Roland HS,"Roland, Okla."
"Cannon, Damion",6,LB,6020,232,RS SO,Shoemaker,"Killeen, TX"
"Carter, Nigel",11,WR,6030,205,SR,McLain HS,"Tulsa, OK"
"Collins, Zaven",23,LB,6040,220,FR,Hominy,"Hominy, Okla."
"Crawford Jr., Sam",9,WR,6010,193,FR,Rockwall,"Rockwall, Texas"
"Davis, Frankie",90,DE,6020,240,RS SR,Broken Arrow HS,"Broken Bow, Okla"
"Edmiston, Cooper",42,LB,6030,245,SO,Gatesville,"Gatesville, Texas"
"Evans, Akayleb",26,CB,6020,180,FR,McKinney,"McKinney, Texas"
"Ferguson, Branden",50,LB,6020,220,RS FR,Catoosa,"Catoosa, Okla."
"Fitzwater, David",18,TE,6040,230,RS FR,Calvary Academy,"Shreveport, La."
"Flanary, Garrett",55,DT,6030,273,FR,Lincoln Christian,"Bixby, Okla."
"Frederick, Rowdy",79,OG,6040,330,RS FR,Broken Arrow,"Broken Arrow, Okla."
"Gipson, Trevis",15,DE,6050,239,RS SO,Cedar Hill,"Cedar Hill, TX"
"Gooden, C.J.",59,OLB,6010,227,RS SR,Ashdown HS,"Ashdown, Ark"
"Gottsch, Samuel",15,S,6020,190,RS JR,Sapulpa HS,"Jenks, OK"
"Gragg, WR",84,WR,6020,204,RS SO,Holland Hall,"Tulsa, Okla."
"Greathouse, Clay",70,OT,6040,305,RS FR,Rider HS,"Wichita Falls, Texas"
"Green IV, Allie",12,S,6030,195,FR,Lyndon B. Johnson,"Austin, Texas"
"Hanks, Jake",91,DE,6020,240,RS SR,Fort.Collins HS,"Fort Collins, Colo."
"Harrell III, Forrest",46,LB,6020,225,RS SO,Christian,"Houston, Texas"
"Harvey, Matthew",27,RB,6000,205,RS FR,Northshore,"Northshore, La."
"Hefley, Will",19,QB,6050,207,RS SO,Pulaski Academy,"Little Rock, AR"
"Higuera, Adam",42,LS,6010,240,FR,Perry,"Gilbert, Ariz."
"Hill, Keanu",1,CB,6020,185,SR/TR,Junipero Serra,"Carson, Calif."
"Hobbs, Justin",29,WR,6040,207,RS JR,Shawnee Mission West HS,"Overland Park, KS"
"Ivy Jr., Christopher",65,OT,6040,280,RS SO,Wichita Heights,"Wichita, KS"
"Jackson, Daiquain",27,S,5110,190,FR,Poteet,"Mesquite, Texas"
"Jackson, Malik",88,WR,6020,169,FR,Taylor,"Taylor, Texas"
"Johnson, Isaac",77,OT,6070,275,RS JR,Har-ber HS,"Springdale, AK"
"Johnson, Keenen",8,ATH,6010,190,SO,Alto,"Alto, Texas"
