Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ardoin, Kendall",89,TE,6050,240,RS JR,Ville Platte,"Ville Platte, LA"
"Aruna, Ade",87,DE,6060,270,RS SR,La Lumiere,"La Porte, Ind."
"Badie, Sherman",3,RB,6000,205,RS SR,John Curtis Christian,"Metairie, La."
"Banks, Jonathan",4,QB,6020,215,JR/TR,Nimitz,"Humble, Texas"
"Barge, Tirise",0,DB,5110,175,FR,Colquitt County,"Moultrie, Ga."
"Bertrand, Jared",29,RB,5050,180,JR,Archbishop Hannan,"Covington, La."
"Block, Zachary",49,P/K,6050,200,JR,East Ridge,"Clermont, FL"
"Bradwell, Darius",11,QB,6010,230,SO,Godby,"Tallahassee, Fla."
"Brantley, Johnathan",1,QB,6010,195,SO,C.E. King,"Houston, Texas"
"Briggs, Dominique",52,OC,6030,290,JR/TR,N/A,"Tulsa, Okla."
"Brown, Leeward",73,OL,6040,335,RS SO,Miramar,"Miami, FL"
"Brown, Quentin",0,LB,6020,200,FR,Conroe,"Conroe, Texas"
"Bryant, Larry",36,LB,6010,205,SO,North Cobb,"Kennesaw, Ga."
"Carrasquero, Enrique",41,P,5110,195,JR,Rummel,"Metairie, La."
"Carroll, Quinlan",54,DE,6020,220,RS SR,Belle Chasse,"Belle Chasse, La."
"Claybrook, Joey",0,OL,6060,285,FR,Starkville,"Starkville, Miss."
"Clewis, Jabril",85,WR,6020,215,RS JR/TR,Patrick Henry HS,"San Diego, Calif."
"Cuiellette, Glen",14,QB,6000,215,RS JR,Mandeville,"Madisonville, LA"
"Dauphine, Corey",2,RB,6000,200,RS SO/TR,Memorial,"Port Arthur, Texas"
"Diaz, Junior",51,OC,6020,300,RS JR,Miami Central,"Miami, FL"
"Dublin, Corey",0,OL,6040,285,FR,Jesuit,"New Orleans, La."
"Eatherly, Geron",60,DS,6010,210,SO,Tom C. Clark,"San Antonio, Texas"
"Edwards, Braynon",65,DT,6020,330,RS JR,Gulliver Prep,"Miami, FL"
"Encalade, Terren",5,WR,6000,190,RS JR,Belle Chasse,"Belle Chasse, LA"
"Ferony, Rocky",34,WR,6030,185,SO,Cedar Park,"Cedar Park, Texas"
"Franklin, Jarrod",6,S,6000,205,RS SR,University Lab,"Baton Rouge, La."
"Glenn, Devin",7,RB,5070,160,JR,Warren Easton,"New Orleans, LA"
"Glover, Merek",62,PK,6000,195,SO,Friend's Academy,"Long Island, N.Y."
"Golub, Aaron",96,LS,6020,205,SR,Newtown South,"Newtown, MA"
"Graham, Lawrence",35,LB,5100,235,SO,American Heritage,"Lauderhill, Fla."
"Green, Reed",82,WR,6010,190,JR,West Lauderdale,"Meridian, Miss."
"Hall, P.J.",16,DB,5110,190,SO,Hoover,"Hoover, Ala."
"Harper, Sean",12,DB,6010,205,SO,Fayetteville County,"Fayetteville, Ga."
"Harper, Will",4,S,6000,195,SO,Sandy Creek,"Memphis, Tenn."
"Harris, Zachery",40,LB,6000,225,RS JR,Holy Cross,"New Orleans, LA"
"Harvey, Randy",45,K,6000,205,JR,Destrehan,"Destrehan, La."
"Hicks, Andrew",80,WR,6030,230,JR,Belle Chasse,"Belle Chasse, LA"
"Hilliard, Dontrell",26,RB,6000,205,SR,Scotlandville,"Baton Rouge, LA"
"Huderson, Stephon",8,RB,5090,190,FR,Petal,"Petal, Miss."
"Hurst, P.J.",10,QB,6010,175,SO,Palisades Charter,"Pacific Palisades, Calif."
"Jackel, Cameron",0,OL,6060,300,FR,Archbishop Shaw,"Marrero, La."
"Jackson, Luke",44,DE,6030,245,RS SR,St. Charles Catholic,"LaPlace, La."
