Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Akins, Jordan",88,TE,6030,237,RS JR,Union Grove,"McDonough, GA"
"Anderson, Otis",32,RB,5110,170,FR,University Christian,"Jacksonville, Fla."
"Bacote, Dedrion",35,LB,6020,220,RS FR,Ocean Lakes HS,"Virginia Beach, Va."
"Bargnare, Jaquarius",3,WR,5090,191,SO,Dr. Phillips HS,"Orlando, Fla."
"Barnas, Dylan",39,K,5080,175,RS SO/TR,Merritt Island,"Merritt Island, Fla."
"Benkel, Kyle",31,WR,5090,184,FR,Winter Park,"Winter Park, Fla."
"Bozeman, Rennard",0,CB,5100,173,FR,Boyd Anderson,"Lauderdale Lakes, Fla."
"Brown, Bryon",13,CB,6010,169,RS FR,Norland,"Miami, Fla."
"Brown, Jake",77,OL,6030,276,RS SO,La Costa Canyon,"Encinitas, Calif."
"Burgess-Becker, Shawn",28,FS,6010,205,RS SO/TR,Monarch,"Coconut Creek, Fla."
"Burkett, Chequan",2,OB,6030,230,RS SR,Carver,"Montgomery, Ala."
"Castillo, Julio",0,OT,6060,315,FR,Lafayette,"Mayo, Fla."
"Causey, Rashard",30,DB,6000,190,JR,St.Thomas Aquinas,"Miami, Fla."
"Cholewa, Mason",0,DE,6070,265,FR,Montour,"McKees Rocks, Pa."
"Clarke, Nevelle",14,DB,6010,180,RS SO,Taravella,"Coral Springs, Fla."
"Cochran, Aaron",43,TE,6020,252,JR,Hapeville Charter,"Atlanta, Ga."
"Collier, Antwan",36,CB,6030,178,FR,Miami Southridge,"Miami, Fla."
"Colubiale, Michael",86,TE,6010,225,RS SR,Spruce Creek,"Port Orange, Fla."
"Connors, Joey",91,DL,6010,285,RS JR,Harrison,"Powder Springs, GA"
"Cortellese, Kane",58,LB,N/A,N/A,SR,N/A,N/A
"Cummings, Lionel",0,OLB,6030,205,FR,Bartow,"Bartow, Fla."
"Davis, Gabriel",0,WR,6030,215,FR,Seminole,"Sanford, Fla."
"Davis, Kalia",0,LB,6020,250,FR,West Florida Tech,"Pensacola, Fla."
"Davis, Titus",99,DE,6020,230,RS SO,Stockbridge,"Atlanta, Ga."
"De La Haye, Donald",19,PK,5090,170,JR,Port Lucie,"Port Lucie, Fla"
"Demarest, Gary",85,TE,6020,245,RS JR,Sebring,"Sebring, Fla."
"Dickey, Chavis",79,OT,6040,330,SR,Peach County,"Byron, GA"
"DiNovo, Pete",14,QB,6020,202,RS SR,East Lake,"Tarpon Springs, Fla."
