Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Anthony, Malcolm",85,WR,5080,181,RS SO,Lenape,"Mount Laurel, N.J."
"Atkins, James",96,DL,6050,275,RS JR,Blair Academy (NJ),"Saugus, MA"
"Beals, Tyraiq",2,WR,6000,185,JR,East Orange,"East Orange, N.J."
"Beavers, Darrian",0,LB,6040,215,FR,Colerain,"Cincinnati, Ohio"
"Bell, Tre",1,CB,5110,180,RS SR,St. Peter's Prep,"Union, N.J."
"Bisack, Brandon",12,QB,6050,227,RS SO,Warde,"Fairfield, Conn."
"Bloom, Alec",86,TE,6060,260,SR,Ligonier Valley Senior,"Ligonier, PA"
"Bonvicini, Ben",60,OL,6010,320,RS SO,Torrington,"Torrington, Conn."
"Britton, Chris",33,LB,6010,228,RS JR,Harrisburg,"Harrisburg, PA"
"Brouse, Noel",95,DL,6050,265,SO,Parkland,"Allentown, Pa."
"Brown, Brayden",0,S,6010,193,FR,Fort Hill,"Cumberland, Md."
"Burnett, Garrison",0,WR,6000,190,FR,Maret School,"Washington, D.C."
"Campbell, Ian",78,OL,6050,296,RS SO,Pequannock,"Pompton Plains, N.J."
"Carrezola, Luke",15,OLB,6030,255,SR,Neshaminy,"Langhorne, PA"
"Cespedes, Bryan",67,OL,6070,317,RS SO,New London,"New London, Conn."
"Coney, Bryan",84,WR,6010,203,RS SO,Naugatuck,"Naugatuck, Conn."
"Coyle, Tyler",25,CB,6010,205,RS FR,Windsor,"Windsor, Conn."
"Crozier, Ryan",63,OC,6040,300,RS JR,St. Thomas Aquinas,"Plantation, FL"
"Davis, Tyler",9,TE,6040,235,RS SO,Mepham,"North Bellmore, N.Y."
"DeGeorge, Cam",70,OT,6050,283,RS FR,Lynnfield,"Lynnfield, Mass."
"Diggs, Vontae",13,OLB,6020,221,SR,Downers Grove North,"Downers Grove, IL"
"Dixon, Keyion",23,WR,6030,185,RS FR,Glastonbury,"Glastonbury, Conn."
"Donaldson, Mason",82,WR,6020,205,RS FR,Salisbury Township,"Allentown, Pa."
"Fatukasi, Folorunso",93,DT,6040,315,RS SR,Beach Channel,"Far Rockaway, N.Y."
