Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abraham, Devin",20,S,5090,189,SR,East Lake,"Tarpon Springs,Fla"
"Adkinson, Spencer",48,TE,6030,245,SR,Indian Rocks Christian,"Seminole, Fla."
"Antoine, Deangelo",14,WR,5100,185,RS SO,Oak Ridge,"Orlando, FL"
"Atterbury, Billy",78,OG,6040,302,RS SO,Clearwater Central Catholic,"Clearwater, FL"
"Barr, Chris",1,WR,5100,175,JR,Trinity Chrisitan Academy,"Jacksonville, FL"
"Bayes, Jimmy",4,DE,6030,228,RS JR,Immokalee,"Immokalee, FL"
"Bell Jr., Duran",0,RB,5100,170,FR,Hillsborough,"Tampa, Fla."
"Bethel, Glen",70,OL,6060,315,SR/TR,Champagnat Catholic HS,"Miami, Fla."
"Black, Josh",55,OLB,6020,252,RS JR,Sickles,"Tampa, FL"
"Bronson, Kevin",99,DE,6040,275,RS JR,Village Academy,"Delray Beach, FL"
"Bronson, Ryeshene",81,WR,6030,200,SR,Dunbar,"Fort Myers, FL"
"Brown, Juwuan",56,DE,6020,255,RS JR,Jefferson,"Tampa, FL"
"Cadet, Garry",96,DL,6060,275,JR,Boynton Beach,"Boynton Beach, Fla."
"Clerveaux, Stanley",86,WR,6030,207,RS JR,North Miami,"North Miami, FL"
"Cuccia, Nick",38,CB,5100,185,SO,Jireh Prep,"Indian Trail, N.C."
"Culpepper, Naytron",0,DB,6010,175,FR,Carol City,"Miami, Fla."
"Dillon, Elkanah",85,TE,6050,256,RS JR,Vanguard,"Ocala, FL"
"Dingle, Kevaughn",0,WR,6010,185,FR,Carol City,"Miami Gardens, Fla."
"Dukes, DeVontres",18,WR,6040,203,RS FR,Wharton,"Tampa, Fla."
"Edwards, Javarus",47,DL,6040,233,SO,St. Augustine,"St. Augustine, Fla."
"Ferguson, Nate",37,CB,5090,180,JR,Sickles,"Tampa, FL"
"Flowers, Quinton",9,QB,6000,210,SR,Miami Jackson,"Miami, FL"
"Fullwood, Tajee",13,CB,6020,210,SR,Tampa Bay Tech,"Tampa Bay, FL"
"Gainer, Christion",50,OT,6060,300,RS FR,Bay,"Panama City, Fla."
"Galati, Michael",68,OC,6030,298,RS JR,Manatee,"Bradenton, FL"
"Gonzalez, Marlon",95,DT,6040,280,RS SO,North Fort Myers,"Cape Coral, FL"
"Grant, Darrien",0,DL,6040,220,FR,Southeast,"Bradenton, Fla."
