Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Zach",2,DE,6050,272,JR,New Canaan HS,"New Canaan, Conn."
"Baker, Jon",77,OG,6030,298,SR,Millis,"Millis, MA"
"Barlow, Brandon",44,DE,6030,226,RS FR,Shaker,"Latham, N.Y."
"Berry, Jaleel",91,DT,6020,300,FR,Nottingham,"Syracuse, N.Y."
"Bletzer, Curt",43,LB,6010,192,RS FR,Catholic Memorial,"Medfield, Mass."
"Bletzer, Kevin",49,LB,6020,213,RS JR,Catholic Memorial HS,"Medfield, MA"
"Borgersen, Nolan",82,WR,6020,204,RS SO,Westwood,"Westwood, NJ"
"Brown, Anthony",13,QB,6010,210,RS FR,St. John Vianney,"Cliffwood, N.J."
"Brown, Patrick",88,TE,6050,230,FR,Cathedral Catholic,"Rancho Santa Fe, Calif."
"Burt, Jake",84,TE,6030,253,RS SO,St. John's Prep,"Lynnfield, Mass."
"Callinan, Charlie",83,WR,6040,239,RS SR,St. Peter's Prep,"Westfield, NJ"
"Cardinal, Colton",47,LB,6030,234,JR,Franklin,"Franklin, Mass."
"Carlson, Grant",95,P,6000,180,RS FR,Ridge Point,"Missouri City, Texas"
"Cheevers, Hamp",4,DB,5100,144,SO,Trenton,"Trenton, Fla."
"Cohee Jr., Kevin",92,DL,6020,274,RS JR,Robury Latin,"Chestnutt Hill, MA"
"Conte, Ryan",65,OT,6040,294,RS JR,Phillips Exeter,"Somerville, MA"
"Denis, Lukas",21,DB,5110,186,JR,Everett,"Everett, Mass."
"Dillon, A.J.",2,RB,6000,240,FR,Lawrence Academy,"New London, Conn."
"El Attrach, Mehdi",25,DB,6000,194,RS SO,Lake Nona,"Olrando, Fla."
"Emer, Nathaniel",93,DL,6050,250,FR,Iroquois,"Marilla, N.Y."
"Fadule, John",14,QB,6000,207,JR,Wellesley,"Wellesley, Mass."
"Fish, Eddy",57,OL,6060,295,FR,Lawrence Academy,"South Boston, Mass."
"Flutie, Troy",15,WR,6000,182,RS JR,Natick HS,"Natick, MA"
"Galvin, Jack",39,DB,6000,195,SR,Bentley,"Lowell, Mass."
"Garrison, Chris",81,WR,6030,237,RS SO,Lawrence Academy,"Goffstown, N.H."
"Glines, Ben",19,WR,6020,209,RS SO,St. Xavier,"Cincinnati, Ohio"
"Grosel, Dennis",20,QB,6010,210,FR,St. Ignatius,"Wiloughby, Ohio"
"Harris, William",8,DB,6020,202,JR,Choate Rosemary,"Suwanee, Ga."
"Haynes, Tate",7,QB/DB,6010,180,FR,Cathedral Catholic,"San Diego, Calif."
"Hegarty, Aidan",33,WR,6010,185,RS FR,Hilton Head,"Bluffton, S.C."
"Hill, Taylor",95,DL,6000,254,RS FR,St. Charles Prep,"Pickerington, Ohio"
"Hilliman, Jon",32,RB,6000,229,RS JR,Saint Peter's Prep,"Plainfield, NJ"
"Hovsepian, Thomas",41,LS,5100,180,FR,St. Sebastians,"Holliston, Mass."
"Idrizi, Korab",85,TE,6030,228,SO,Bergen Catholic,"Oradell, N.J."
"Johnson, Elijah",76,OT,6050,310,SO,DeMatha Catholic,"Hyattsville, Md."
"Jones, Davon",16,RB,5100,214,RS SO,St. John's,"Worcester, Mass."
"Jordan-Williams, Noah",87,WR,6010,200,FR,Christian Brothers Academy,"Cicero, N.Y."
"Karafa, Tanner",48,DE,6030,260,RS SO,Stone Bridge HS,"Ashburn, Va."
