Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alexander, Jaire",10,CB,5110,192,JR,Rocky River,"Charlotte, N.C."
"Averett, Kemari",11,TE,6060,271,FR,Grady,"Atlanta, Ga."
"Avery, C.J.",9,S,6010,210,FR,Grenada,"Grenada, Miss."
"Bagley, Javonte",88,WR,6030,202,SR,Vero Beach,"Vero Beach, FL"
"Bailey, Drew",14,DE,6050,289,SR/TR,Banneker,"Atlanta, Ga."
"Banks, Jeffrey",30,WR,6020,206,SO,N/A,"Olive Branch, Miss."
"Bateman, Toryque",71,OL,6060,311,FR,Gadsden City,"Gadsden City, Ala."
"Becton, Mekhi",73,OL,6070,335,FR,Highland Springs,"Highland Springs, Va."
"Bell, Robbie",75,OG,6050,300,SO,Mill Creek,"Hoschton, Ga."
"Bentley, Cole",66,OL,6030,317,FR,Belfry,"Belfry, Ky."
"Betlach, Ryan",41,LS,5100,188,SR,Tates Creek,"Lexington, Ky."
"Blue, P.J.",13,S,6030,208,RS FR,Park Crossing,"Montgomery, Ala."
"Bolin, Clay",15,QB,6000,199,RS FR,Bourbon County,"Lexington, Ky."
"Bolin, Kyle",14,QB,6020,214,RS SR,Lexington Catholic,"Lexington, Ky."
"Bonnafon, Reggie",7,QB,6030,208,SR,Trinity,"Louisville, KY"
"Burkley, Maurice",36,RB,5090,196,FR,Metea Valley,"Naperville, Ill."
"Burns, Danny",68,OT,6060,321,RS JR,Fairfield,"Hamilton, OH"
"Burns, Rodjay",10,CB,6000,180,SO,Trinity,"Louisville, Ky."
"Caban, Amonte",53,LB,6010,254,RS SO,Smiths Station,"Smiths, Ala."
"Cannon, Zykiesis",24,CB,6000,188,SR,Carolina Academy,"Mauldin, SC"
"Chandler, Caleb",61,OL,6040,290,FR,Jefferson HS,"Jefferson, Ga."
"Christian, Geron",74,OL,6060,318,JR,Trinity Catholic,"Ocala, Fla."
"Clark, Malik",92,LB,6020,252,FR,Baldwin,"Milledgeville, Ga."
