Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alford, Colvin",37,DB,6000,195,FR,Coral Reef Senior,"Miami, Fla."
"Allen, Chad",29,WR,5100,175,RS SO,Menlo-Atherton,"Menlo Park, CA"
"Atkins, Crispian",28,RB,5090,185,JR/TR,Durant,"Plant City, Fla."
"Badgley, Michael",15,K/P,5100,178,SR,Summit Senior HS,"Summit, NJ"
"Baeza, Marco",85,K,6030,210,JR,Charlotte Catholic,"Charlotte, NC"
"Bandy, Trajan",2,DB,5090,180,FR,Columbus,"Miami, Fla."
"Berrios, Braxton",8,WR,5090,186,SR,Leesville Road HS,"Raleigh, NC"
"Bethel, Pat",93,DE,6030,272,SO,Vero Beach HS,"Vero Beach, FL"
"Brown, George",70,OT,6070,300,RS SO/TR,Winton Woods,"Cincinnati, Ohio"
"Burns, Robert",22,RB,5110,215,FR,Gulliver Prep,"Miami, Fla."
"Butler, Jordan",39,LS,5090,190,JR,Saguaro HS,"Scottsdale, AZ"
"Cager, Lawrence",18,WR,6050,218,JR,Calvert Hall,"Towson, MD"
"Callan, TJ",43,RB,6010,210,JR,Doral HS,"Doral, Fla."
"Carrie, Calvin",48,WR,6010,170,FR,Westminster Academy,"Fort Lauderdale, Fla."
"Carter, Amari",5,DB,6020,197,FR,Palm Beach Gardens,"Palm Beach Gardens, Fla."
"Castillo, Cesar",37,FB,6020,230,JR,Jupiter,"Jupiter, Fla."
"Curry, Malik",86,TE,6030,230,RS SO,La Cueva HS,"Albuquerque, NM"
"Dallas, DeeJay",13,ATH,5100,200,FR,Glynn Academy,"Brunswick, Ga."
"Darling, Trevor",73,OL,6040,300,SR,Miami Central HS,"Miami, FL"
"Davidson, Turner",47,K,5090,160,FR,Ronald Reagan,"San Antonio, Texas"
"Dean, Jhavonte",6,DB,6020,185,JR/TR,South Dade,"Homestead, Fla."
"DeBiase, Augie",19,QB,6010,208,FR,Raines,"Ponte Vedra, Fla."
"Delaney, Dee",3,CB,6010,195,SR/TR,Whale Branch,"Seabrook, S.C."
"Dominguez, Danny",38,FB,5100,218,RS JR/TR,Gulliver Prep,"Miami, Fla."
"Donaldson, Navaughn",55,OL,6060,350,FR,Miami Central,"Miami, Fla."
"Dunn, Eddie",44,LB,5110,205,JR,Coral Shores,"Tavernier, Fla."
"Dykstra, Zach",67,OL,6060,300,FR,Spirt Lake,"Spirit Lake, Iowa"
"Feagles, Zach",18,P,6020,210,FR,Ridgewood,"Glen Rock, N.J."
"Ferguson-McAllister, Daniel",46,DB,5090,180,RS SO/TR,Morgantown,"Morgantown, W. Va."
"Few, Marshall",33,WR,5110,180,FR,Ponte Vedra,"Ponte Vedra Beach, Fla."
"Fines, Ryan",94,DL,6020,300,RS SO,IMG Academy,"Brandenton, FL"
"Finley, Romeo",30,S,6010,205,SO,Niceville,"Niceville, Fla."
"Ford, Jonathan",0,DL,6050,275,FR,Dillard,"Fort Lauderdale, Fla."
"Garvin, Jonathan",97,DL,6040,235,FR,Lake Worth Community,"Lake Worth, Fla."
"Gauthier, Tyler",74,OL,6050,305,JR,Venice HS,"Venice, FL"
"Gaynor, Corey",65,OL,6040,285,FR,Marjory Stonemason Douglas,"Parkland, Fla."
"Goldberg, Justin",59,OL,6020,205,RS JR,Cypress Bay HS,"Weston, FL"
"Gordinier, Jamie",52,LB,6040,235,RS SO,Red Bank Catholic,"Red Bank, NJ"
"Gray, Trayone",32,RB,6020,235,RS JR,Carol City HS,"Miami Gardens, FL"
"Hardie, Jared",59,LB,5110,225,RS SO,Our Lady of Good Counsel,"Lansdowne, Va."
"Harley, Mike",3,WR,5090,160,FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Harris, Dayall",80,WR,6030,195,RS JR/TR,Callaway HS,"Jackson, MS"
"Harris, Trent",33,DE,6020,248,SR,Winter Park HS,"Winter Park, FL"
"Herbert, Kai-Leon",57,OL,6050,285,FR,Plantation American Heritage,"Plantation, Fla."
"Herndon, Christopher",23,TE,6040,252,SR,Norcross HS,"Norcross, GA"
"Hillery, Zalon'tae",75,OL,6060,287,FR,Glynn Academy,"Brunswick, Ga."
"Homer, Travis",24,RB,5110,195,SO,Oxbridge Academy,"West Palm Beach, Fla."
"Irvin Jr., Michael",87,TE,6030,248,SO,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Jackson, Demetrius",31,DE,6030,265,RS JR,Booker T. Washington HS,"Miami, FL"
"Jackson, Joseph",99,DE,6050,258,SO,Gulliver Prep,"Miami, Fla."
"Jackson, Michael",28,DB,6010,200,JR,Spain Park,"Birmingham, AL"
"Jennings Jr., Bradley",44,LB,6010,230,FR,Sandalwood,"Jacksonville, Fla."
"Johnson, D.J.",1,DL,6050,240,FR,Luther Burbank,"Sacramento, Calif."
"Johnson, Jaquan",4,DB,5110,190,JR,Miami Killian,"Miami, FL"
"Johnson, Tre",76,OT,6070,305,RS FR,First Academy,"Orlando, Fla."
"Jones, Jahair",77,OL,6040,316,RS JR,ASA College (NY),"Brooklyn, NY"
"Knowles, Robert",20,DB,6010,198,RS SO,Miami Edison HS,"Miami, FL"
"Langham, Darrell",81,WR,6040,220,RS JR,Santaluces Community HS,"Lantana, FL"
"Lerman, Zachary",79,DL,6020,296,FR,IMG Academy,"Virginia Beach, Va."
"Lugo-Fagundo, Elias",34,WR,6000,190,FR,IMG Academy,"Cabo Rojo, Puerto Rico"
"Mahoney, Hayden",62,OL,6050,295,RS SO,Malvern Prep,"Malvern, PA"
"Marquez, Diego",98,K,6010,200,RS SR/TR,Redlands,"Loma Linda, Calif."
"Martin, Tyreic",90,DE,6030,280,RS FR,Valley,"Valley, Ala."
"Mayweather, Malik",31,WR,6000,186,RS JR/TR,Olive Branch,"Olive Branch, Miss."
"McCloud, Zach",53,LB,6020,230,SO,Santaluces,"Lantana, FL"
"McCray, Terry",23,ILB,6030,238,RS JR,Blance Ely HS,"Pompano Beach, FL"
"McDermott, KC",52,OL,6070,300,SR,Palm Beach Central HS,"Wellington, FL"
"McIntosh, R.J.",80,DL,6040,293,JR,Cardinal Gibbons,"Fort Lauderdale, FL"
"Milo, Bar",79,OL,6060,298,RS SO,Chaminade College Prep,"West Hills, CA"
"Moten, Anthony",95,DT,6040,315,SR,St. Thomas Aquinas HS,"Ft. Lauderdale, FL"
"Mullins, Dionte",84,WR,5100,200,SO,Gulliver Prep,"Miami, Fla."
"Munoz, Jacob",61,LS,5110,200,SO,Mount Vernon,"Atlanta, Ga."
"Murphy, Tyler",32,DB,5080,175,JR,Peachtree Ridge HS,"Lawrenceville, Ga."
"Njoku, Evidence",83,WR,6060,196,FR,Wayne Hills,"Cedar Grove, N.J."
"Norton, Kendrick",7,DT,6030,312,JR,Trinity Christian,"Jacksonville, FL"
"Owens, Darrion",58,LB,6030,240,RS JR,Oakleaf HS,"Orange Park, FL"
"Parrott, Michael",41,FB,5110,240,FR/TR,Pisgah,"Canton, N.C."
"Patchan, Scott",19,DL,6060,240,RS SO,IMG Academy,"Bradenton, FL"
"Perry, Charles",34,OLB,6010,230,JR,Royal Palm Beach,"West Palm Beach, FL"
"Perry, N'Kosi",5,QB,6040,185,FR,Vanguard,"Ocala, Fla."
"Pinckney, Michael",56,LB,6010,228,SO,Raines,"Jacksonville, FL"
"Polendey, Brian",88,TE,6060,230,FR,Guyer,"Denton, Texas"
"Pope, Jack",45,FB,6020,248,FR,Livonia,"Geneseo, N.Y."
"Quarterman, Shaquille",55,LB,6010,240,SO,Oakleaf,"Orange Park, FL"
"Redwine, Sheldrick",22,CB,6010,195,JR,Miami Killian HS,"Miami, FL"
"Richards, Ahmmon",82,WR,6015,190,SO,Wellington,"West Palm Beach, Fla."
"Rosier, Malik",12,QB,6010,216,RS JR,Faith Academy,"Mobile, AL"
"Shirreffs, Evan",16,QB,6050,216,RS SO,Jefferson,"Jefferson, Ga."
"Smith, Derrick",25,DB,6020,200,FR,Trinity Christian,"Jacksonville, Fla."
"Smith, Mike",35,LB,6010,236,RS JR,Miami Northwestern HS,"Miami, FL"
"Spicer, Jack",43,P,6030,210,RS SO/TR,Estero,"Estero, Fla."
"St. Louis, Tyree",78,OL,6050,305,JR,IMG Academy,"Bradenton, FL"
"Steed, Waynmon",17,LB,5110,223,FR,Miami Central,"Miami, Fla."
"Testaverde, Vincent",14,QB,6020,205,RS JR,Jesuit,"Tampa, FL"
"Thomas, Chad",9,DE,6060,275,SR,Booker T. Washington HS,"Miami, FL"
"Thomas, Jeff",4,WR,5100,175,FR,East St. Louis,East St. Louis
"Walker, Shawn",49,LB,6020,217,SO,Cardinal Gibbons,"Ft. Lauderdale, Fla."
"Walton, Mark",1,RB,5090,205,JR,Booker T. Washington,"Miami, FL"
"Washington II, Dewayne",47,LB/FB,6000,240,RS FR,Ravenscroft,"Raleigh, N.C."
"Weldon, Cade",17,QB,6030,212,FR,Thomas Jefferson,"Tampa, Fla."
"Wilder, De'Andre",11,LB,6030,202,FR,Miami Carol City,"Opa Locka, Fla."
"Willis, Gerald",91,DL,6040,285,RS JR/TR,Edna Karr,"New Orleans, La."
"York, Sam",50,LS,6010,198,RS JR,Marblehead,"Marblehead, Mass."
"Young, Malek",12,CB,5090,180,SO,Coconut Creek,"Pompano Beach, Fla."
