Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Acceus, Louis",15,LB,6000,216,FR,St. Joseph Regional,"Spring Valley, N.Y."
"Adams, Tony",50,OG/OC,6020,322,SR,Independence,"Charlotte, NC"
"Allred, Davion",54,DE,6000,228,RS SR,Millbrook,"Raleigh, N.C."
"Alston, Johnathan",5,CB,6000,210,RS SR,Bunn,"Bunn, N.C."
"Autenrieth, Dylan",42,TE,6040,234,RS FR,North Paulding,"Dallas, Ga."
"Bambard, Kyle",92,PK,5080,190,JR,Walled Lake,"Walled Lake, Mich."
"Banks, Bryce",19,CB,6020,192,RS FR,Rock Bridge,"Columbia, Mo."
"Blakeman, Danny",42,DE,6020,227,FR,Leesville Road,"Raleigh, N.C."
"Bodine, Brady",33,RB,5100,200,RS JR,Camp Lejeune,"Conway Springs, KS"
"Boone, Shawn",24,FS,5100,206,SR,Dwyer,"Palm Beach Gardens, FL"
"Boselli, Adam",88,TE,6050,220,FR,Episcopal,"Ponte Vedra, Fla."
"Bradbury, Garrett",65,OG/OC,6030,293,RS JR,Charlotte Christian,"Charlotte, NC"
"Braxton, Marquise",29,WR,6010,226,RS SO,Rose HS,"Greenville, N.C."
"Brown, Kendall",52,OT,6050,289,RS FR,Trinity Christian,"Jacksonville, Fla."
"Brown, Kevince",94,DE,6060,242,FR,Winter Park,"Winter Park, Fla."
"Brown III, William",36,CB,5100,185,RS SO,Cardinal Gibbons,"Raleigh, N.C."
"Bryant, Eurndraus",91,DT,6010,325,JR,Ft. Dorchester,"North Charleston, N.C."
"Byers, Kollin",56,OT,6040,276,FR,Crest,"Shelby, N.C."
"Chase, Justin",73,OT,6050,290,RS FR,Great Bridge,"Chesapeake, Va."
"Chubb, Bradley",9,DE,6040,275,SR,Hillgrove,"Powder Springs, GA"
"Cole III, AJ",90,P,6040,230,JR,Woodward Acadamey,"College Park, GA"
"Collins, Erin",21,RB,6010,200,FR,Armwood,"Plant City, Fla."
"Cook, Cole",48,TE,6060,250,SR,Carrollton,"Carrollton, GA"
"Cornwell, Woody",14,QB,6020,210,RS JR,Tuscola,Lake Junaluska
"Counts, Dalton",33,S,6000,211,FR,Garner,"Raleigh, N.C."
"Czesak, Cayman",47,NB,6020,200,FR,Laney,"Wilmington, N.C."
"Dabbs, Tyler",31,WR,5090,190,RS FR,Morehead,"Eden, N.C."
