Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Anderson, Brian",68,OL,6030,290,FR,Montgomery Catholic,"Montgomery, Ala."
"Artis, Allen",4,LB,6010,215,SR,Wheeler,"Marietta, GA"
"Bancroft, Tommy",61,LS,6040,215,JR,Francis Parker School,"La Jolla, Calif."
"Barber, Layton",78,OL,6040,310,RS FR,Pinecrest,"Southern Pines, NC"
"Bargas, Jake",80,TE,6040,230,RS SO,St. Andrews,"Boca Raton, FL"
"Barringer, Connor",98,DE,6050,240,SR,Hough,"Davidson, N.C."
"Bell, Corey",18,CB,5090,170,JR,Hough,"Charlotte, NC"
"Blobe, Sam",52,LB,6000,220,JR,Carrboro,"Carrboro, N.C."
"Bonilla, Ayden",25,LB,6020,220,RS JR,Etowah,"Woodstock, GA"
"Branch, Antwuan",31,RB,6000,225,FR,Kenwood,"Clarksville, Tenn."
"Britt, J.K.",29,S,6000,195,JR,Newnan,"Newnan, GA"
"Brown, Jordon",2,RB,5100,180,SO,Southern Durham,"Durham, NC"
"Brown, Thomas",38,CB,6000,185,JR,Statesville,"Statesville, N.C."
"Byrd, Logan",14,QB,6030,230,RS FR,Veterans,"Warner Robins, GA"
"Cabrera, Josh",18,WR,6030,205,RS JR,Northside,"Jacksonville, NC"
"Carney, Malik",53,DE,6030,230,RS JR,T.C. Williams,"Alexandria, VA"
"Carter, Michael",3,TB,5090,185,FR,Navarre,"Navarre, Fla."
"Cater, Allen",33,DE,6040,240,SO,Mt. Paran Christian School,"Hiram, Ga."
"Cauthen, J.T.",8,WR,6010,220,FR,Cuthbertson,"Waxhaw, N.C."
"Chestnut, Austyn",85,WR,5090,160,FR,Reidsville,"Reidsville, N.C."
"Clarke, Jeremiah",49,DT,6050,315,RS JR,T.C. Williams,"Alexandria, VA"
"Cohen, Jared",65,OG,6040,300,JR,McDonogh,"Owings Mills, Md."
"Collins, Cayson",23,OLB,6010,235,SR,Berry Academy,"Charlotte, NC"
"Collins, Trevor",60,LS,6010,240,SO,East Randolph,"Ramseur, N.C."
"Corrales, Beau",88,WR,6040,205,FR,Georgetown,"Georgetown, Texas"
"Cotman, C.J.",20,CB,5100,175,FR,Central Catholic,"Clearwater, Fla."
"Crafford, Hunter",30,LB,6020,225,SR,Ayden-Grifton,"Greenville, NC"
"Crawford, Aaron",92,DT,6010,310,RS SO,Stonebridge,"Ashburn, VA"
"Cuccia, Jesse",42,S,6010,205,JR,Westlake,"Westlake, Calif."
"Cunningham, Jordan",15,WR,6020,190,RS SR/TR,University School,"Fort Lauderdale, Fla."
"Dalton, Jalen",97,DT,6060,280,JR,West Forsyth,"Clemmons, NC"
"Davidson, Jack",10,QB,6030,220,FR,Myers Park,"Charlotte, N.C."
"DeFranco, Nolan",91,DE,6060,230,RS FR,West Orange,"Winter Garden, Fla."
"Dillard, Cameron",54,OC,6040,310,RS SR/TR,Plymouth Canton,"Canton, Mich."
"DiMaggio, Dante",13,WR,6020,205,RS JR,Cardinal Gibbons,"Apex, NC"
"Dorn, Myles",1,S,6020,210,SO,Vance,"Charlotte, NC"
