Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alonso, Mandy",0,DL,6020,290,FR,Gulliver Prep,"Miami, Fla."
"Atkins, Lamont",0,TB,5110,200,FR,Lake Braddock,"Burke, Va."
"Baumgardner, Christian",0,DE,6060,275,SO,Ocean City HS,"Longport, N.J."
"Benkert, Kurt",6,QB,6040,220,SR,Island Coast HS,"Cape Coral, Fla."
"Bischoff, Ryan",74,OT,6060,325,RS SO,Plymouth-Whitemarsh,"Plymouth, PA"
"Blackman, Cole",85,WR,6010,205,SO,Glen Allen,"Glen Allen, Va."
"Blanding, Quin",3,FS,6020,215,SR,Bayside,"Virignia Beach, VA"
"Blount, Joey",0,DB,6020,180,FR,Landmark Christian,"Fayetteville, Ark."
"Blundin, Ethan",0,WR,6030,205,SO,Albemarle HS,"Charlottesville, Va."
"Bratton, Darrius",0,DB,6010,160,FR,Fleming/Fork Union Military,"Roanoke, Va."
"Brooks, Christian",0,DE,6050,265,SO,Centreville,"Clifton, Va."
"Brown, Andrew",9,DT,6040,285,SR,Oscar Smith,"Chesapeake, VA"
"Brown, Elliott",0,LB,6060,220,FR,Flowers/Taft School,"Odenton, Md."
"Bryant, Dre",0,OLB,6030,225,SO,Charlottesville HS,"Charlottesville, Va."
"Buell, Isaac",0,DL,6040,260,FR,Knoxville Central,"Knoxville, Tenn."
"Burney, Richard",87,TE,6040,255,RS SO,Hickory,"Chesapeake, VA"
"Burton, Riah",0,CB,6010,185,FR,William Penn,"New Castle, Del."
"Butts, Evan",46,TE,6040,250,RS JR,Episcopal Academy,"Newtown Square, PA"
"Christ, Tommy",0,DL,6050,270,FR,Dominion,"Sterling, Va."
"Coleman, Lester",47,P,6050,225,RS JR,Woodberry Forest School,"Martinsville, VA"
"Cook, Malcolm",17,OLB,6010,225,RS SR,Fork Union,"Richmond, Va"
"Cowley, Tanner",44,TE,6040,230,RS SO,Manasquan,"Manasquan, NJ"
"Craft, Warren",23,WR,6020,210,RS SO,William Fleming,"Roanoke, VA"
"Cross, Devante",0,QB,6020,210,SO,Parkland,"Allentown, Pa."
"Crowell, Germane",0,CB,6030,185,FR,Carver,"Winston-Salem, N.C."
"Crutchfield, Osiris",0,DE,6030,260,SO,Western Albemarle,"Crozet, Va."
"Davis, Chuck",66,CB,5100,175,SO,Broad Run HS,"Fairfax, VA"
"Delaney, Brian",0,K,5110,200,FR,Westfield,"Chantilly, Va."
"Dowling, Donovan",7,WR,6010,220,SR,Varina,"Richmond, VA"
"Dubois, Hasise",80,WR,6030,210,SO,DePaul Catholic,"Wayne, N.J."
"Ellis, Jordan",10,RB,5110,215,RS JR,Peachtree Ridge,"Suwanee, GA"
"English, Jack",67,OT,6050,300,RS SR,St. Christopher's School,"Richmond, Va."
"Epps, CJ",60,SS,5110,195,RS SO,Bishop Sullivan Catholic,"Chesapeake, Va."
"Fannin, Tyler",0,OL,6030,290,FR,Mill Creek,"Hoschton, Ga."
"Fieler, Jake",77,OT,6050,305,RS JR,Parkersburg South,"Parkersburg, WV"
"Gahm, Matt",0,LB,6030,225,FR,Highland Park,"Highland Park, Texas"
"Gallon, Eric",29,OLB,6020,230,JR,Lakeland Christian HS,"Lakeland, FL"
"Gardner, Ross",86,WR,6030,210,RS JR,Atlee HS,"Mechanicsville, VA"
"Garner, Kirk",32,CB,5110,175,RS SR,Our Lady of Good Counsel,"Baltimore, Md."
