Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alexander, Adonis",36,CB,6030,193,JR,Independence,"Charlotte, N.C."
"Ashby, Rayshard",23,LB,5110,230,FR,L.C. Bird,"Chesterfield, Va."
"Bailey, Daniel",63,DT,6030,301,RS SO,Abingdon,"Abingdon, VA"
"Beckett, Tavante",14,LB,5100,214,SO,Indian River,"Chesapeake, Va."
"Belmar, Emmanual",40,DE,6020,228,RS FR,Collins Hill,"Suwanee, Ga."
"Blaker, Cole",42,TE,6030,200,FR,Narrows,"Narrows, Va."
"Boyd, Elisha",42,CB,6020,185,RS JR,Heritage,"Newport News, VA"
"Bradburn, Oscar",91,P,6010,191,FR,Blackwattle Bay,"Sydney, Australia"
"Brown, Aiden",53,OL,6020,273,FR,Bullis School,"Silver Spring, Md."
"Burke, Xavier",43,DL,6030,255,RS SO,Brunswick,"Lawrenceville, VA"
"Bush, AJ",6,QB,6040,219,RS JR/TR,Norcross,"Alpharetta, Ga."
"Cannon, Austin",52,OL,6020,302,RS FR,Atlee,"Mechanicsville, Pa."
"Carroll, C.J.",86,WR,5080,167,RS JR,Our Lady of Good Counsel,"Olney, MD"
"Christ, Matt",65,OL,6030,274,RS SO,,
"Chung, Kyle",61,OC,6030,290,RS SR,Ponte Vedra,"Ponte Vedra Beach, Fla."
"Clark, James",14,WR,5100,185,RS SR/TR,New Smyrna Beach,"New Smyrna Beach, Fla."
"Click, Jack",11,QB,6030,218,RS SO,Deep Run,"Glen Allen, VA"
"Coghill III, Tre",87,WR,5100,161,FR,Mountain View,"Fredericksburg, Va."
"Cunningham, Chris",85,TE,6020,236,RS SO,Atlantic Coast,"Jacksonville, FL"
"Daniel, Sean",39,WR,5090,183,RS SO,Oscar Smith,"Chesapeake, Va."
"Darrisaw, Christian",0,OL,6040,299,FR,Riverdale Baptist,"Upper Marlboro, Md."
"Deablo, Divine",17,WR,6030,208,SO,Moon Tabor,"Winston-Salem, N.C."
"Debose, Zion",35,DE,6010,244,FR,North Rowan,"Salisbury, N.C."
"DeIuliis, Drake",15,TE,6050,235,FR,Providence,"Charlotte, N.C."
"Denmark, Samuel",81,WR,6000,183,RS FR,Hanahan,"Hanahan, S.C."
"Dzansi, Silas",60,OL,6050,310,FR,C.D. Hylton,"Woodbridge, Va."
"Edmunds, Terrell",22,ROV,6020,210,RS JR,Dan River,"Danville, VA"
"Edmunds, Tremaine",49,LB,6050,236,JR,Dan River,"Danville, VA"
"Facyson, Brandon",31,CB,6020,197,RS SR,Northgate,"Newnan, Ga."
"Farley, Caleb",13,CB,6020,180,FR,Maiden,"Hickory, N.C."
"Floyd, Reggie",21,DB,6000,205,SO,Stonewall Jackson,"Manassas, Va."
"Fox, Coleman",16,RB,5110,193,RS SO,Salem,"Salem, VA"
"Fullwood, Darius",47,DT,6030,252,RS SO,Our Lady of Good Counsel,"College Park, MD"
"Gaines, Houshun",11,DE,6030,248,RS SO,Nash Central,"Rocky Mount, N.C."
"Gallo, Eric",64,OC,6020,295,SR,Council Rock South,"Richboro, PA"
"Garbutt, TyJuan",45,DE,6030,220,FR,Riverbend,"Fredericksburg, Va."
"Glaze, J'Bril",59,DL,6010,270,FR,Thomas Jefferson,"Tampa, Fla."
"Griffin, Jaylen",41,LB,6010,238,FR,Rome,"Rome, Ga."
"Griffith, Daniel",48,LB,6000,216,RS FR,Nansemond-Suffolk Academy,"Suffolk, Va."
"Grimsley, Hezekiah",19,WR,6000,172,FR,Lafayette,"Williamsburg, Va."
"Hairston, Justin",27,WR,6000,176,FR,Osbourn Park,"Manassas, Va."
"Harman, Casey",90,TE,6030,242,RS SO,Honaker,"Honaker, VA"
"Hazelton, Damon",89,WR,6020,215,RS FR,Franklin,"Baltimore, Md."
"Hewitt, Jarrod",55,DL,6010,299,RS FR,Venice,"Venice, Fla."
"Hill, Trevon",94,DE,6030,240,RS SO,Salem,"Virginia Beach, VA"
"Holston, Jalen",4,RB,6000,220,FR,Stockbridge,"Stockbridge, Ga."
"Hooker, Hendon",2,QB,6040,196,FR,Dudley,"Greensboro, N.C."
"Hopple, Jarrett",76,OL,6070,293,RS FR,Nanosecond River,"Suffolk, Va."
"Hoyt, Zachariah",75,OL,6040,285,RS FR,Salem,"Salem, Va."
"Huelskamp, Sean",56,OLB,6010,222,RS SR,Chantilly,"Centreville, Va."
"Hunter, Devon",7,DB,6020,215,FR,Indian River,"Chesapeake, Va."
"Jackson, Josh",17,QB,6010,211,RS FR,Saline,"Ann Arbor, Mich."
"Jackson, T.J.",71,OT,6060,320,RS FR,Cumberland County,"Cumberland, Va."
"Jefferson, Jordan",30,WR,5080,170,RS FR,Goochland,"Goochland, Va."
