Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Akinribade, Toks",22,RB,6000,208,SO,Brownsburg,"Brownsburg,Ind"
"Akre, Lane",47,FB,6000,240,RS SO,Geneseo,"Geneseo, Ill."
"Argo, Joe",4,DB,5110,185,RS FR,Assumption,"Daveport, Iowa"
"Banwart, Cole",61,OG,6040,280,RS FR,Algona,"Algona,IA"
"Bazata, Nathan",99,DT,6020,287,RS SR,Howells-Dodge,"Howells, Neb."
"Beyer, Shaun",42,TE/H-Back,6050,222,RS FR,Kennedy,"Cedar Rapids, Ia"
"Bishop, Brandon",2,WR,5090,180,RS JR,Kaneland,"Sugar Grove, Ill."
"Boettger, Ike",75,OT,6060,307,RS SR,Cedar Falls,"Cedar Falls, Iowa"
"Boswell, Cedric",20,CB,5110,187,RS FR,Groves,"Beverly Hills,MI"
"Bower, Bo",41,OLB,6020,235,RS SR,West Branch,"West Branch, Iowa"
"Boyle, Ryan",11,QB,6020,208,RS SO,Dowling,"Des Moines,Ia"
"Brincks, Sam",90,DE,6050,270,JR,Kuemper,"Carroll, Iowa"
"Bryan, Kyshaun",0,RB,5100,210,FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Butler, James",0,RB,5090,210,SR/TR,St Francis,"Bloomington,Il"
"Clayberg, Noah",33,DB,5110,209,FR,Pella,"Pella, Iowa"
"Colbert, Djimon",0,DB,6010,215,FR,Bishop Miege,"Shawnee Mission, Kan."
"Cook, Drew",18,TE,6050,235,RS SO,Regina,"Iowa City,Ia"
"Cook, Sam",21,RB,5090,215,RS FR,Fort Dodge,"Fort Dodge, Iowa"
"Coons, Jacob",0,TE,6030,220,FR,Solon,"Solon, Iowa"
"Cooper, Max",0,WR,6000,175,FR,Catholic Memorial,"Waukesha, Wis."
"Creamer, Trey",0,ATH,6000,175,FR,Cartersville,"Cartersville, Ga."
"Dafney, Dominique",23,WR,6020,225,SO/TR,Valley,"West Des Moines, Iowa"
"Daniels, James",78,OC,6040,295,JR,Harding,"Warren,Oh"
"Duncan, Keith",3,K,5110,173,SO,Weddington,"Weddington, N.C."
"Duwa, Levi",0,DE,6030,235,FR,Mid-Prairie,"Kalona, Iowa"
"Dvorak, Wes",1,DB,6000,192,SO/TR,Parkston,"Parkston, South Dakota"
"Easley, Nick",84,WR,5110,203,JR/TR,Newton,"Newton, Iowa"
"Epenesa, A.J.",0,DL,6050,270,FR,Edwardsville,"Edwardsville, Ill."
"Falconer, Adrian",82,WR,6010,192,JR,Leesburg,"Leesburg,Fla"
"Fant, Noah",87,TE/H-Back,6050,232,SO,South,"Omaha,NE"
"Ferguson, Dalton",76,OL,6040,312,RS JR,Solon,"Solon, Iowa"
"Gaffey, Daniel",77,DL,6020,285,RS SR,Regina,"Iowa City, Iowa"
"Garbutt, Angelo",22,LB,6020,233,RS SO,Hebron,"Carrollton,Tx"
"Gersonde, Ryan",0,P,6040,185,FR,Marquette,"Milwaukee, Wis."
"Gervase, Jake",30,FS,6010,210,RS JR,Assumption,"Davenport,Ia"
"Giese, Jacob",60,DL,6030,282,RS SO,West Branch,"West Branch, Iowa"
"Golston, Chauncey",57,DE,6050,255,RS FR,East English Village Academy,"Detroit, Mi"
"Hankins, Matt",0,DB,6010,175,FR,Marcus,"Lewisville, Texas"
"Harrell, Camron",0,DB,5100,181,FR,Bradley-Bourbannais,"Bourbonnais, Ill."
"Hesse, Parker",40,DE/OB,6030,257,RS JR,Waukon,"Waukon, Iowa"
"Hockaday, Jack",48,LB,6010,232,JR,Maroa-Forsyth,"Forsyth,Il"
"Hockenson, TJ",38,TE/H-Back,6050,243,RS FR,Chariton,"Charter Oak,IA"
"Hooker, Amani",27,DB,6000,210,SO,Park Center,"Brooklyn Center,MN"
"Hulett, Jake",88,DL,6030,289,RS SR,Springville,"Springville, Iowa"
"Jackson, Alaric",77,OT,6070,320,RS FR,Renaissance,"Detroit, Mi"
"Jackson, Joshua",15,DB,6010,192,RS JR,Lake Dallas,"Corinth, Texas"
"Jacobus, Dalles",66,DL,6000,280,RS FR,Cedar Rapids Kennedy,"Palo, Iowa"
"Jansen, Garret",53,DE,6020,280,RS SO,Pella,"Pella,Ia"
"Jewell, Josey",43,MLB,6020,236,RS SR,Decorah,"Decorah, Iowa"
"Joly, Marcel",26,RB,5110,202,RS JR,Forestville Military Academy,"Hyattsville, Md."
"Jones, Amani",52,ILB,6000,235,SO,Wendell Phillips,"Chicago,IL"
"Kallenberger, Mark",0,OL,6060,260,FR,Bettendorf,"Bettendorf, Iowa"
"Keane, Connor",14,WR,6010,195,RS SR,Cretin-Derham Hall,"St. Paul, Minn."
"Kelly, Austin",33,FB,5110,245,RS JR,Stagg,"Hickory Hills,Ill"
"Kelly-Martin, Ivory",0,RB,5110,195,FR,Oswego East,"Plainfield, Ill."
"Kirkpatrick, Coy",0,OL,6050,275,FR,Madrid,"Madrid, Iowa"
"Kluver, Tyler",97,LS,6000,220,RS SR,Marshalltown,"Marshalltown, Iowa"
"Kulick, Drake",45,FB,6010,240,RS SR,Muscatine,"Muscatine, Iowa"
"Lattimore, Cedrick",95,DE,6050,295,SO,East English Village Academy,"Detroit, Mi"
"LeGrand, Lucas",70,OL,6050,295,RS JR,Senior,"Dubuque, Iowa"
