Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Beneducci, Joe",30,FB,5090,200,JR,West Morris Mendham,"Far Hills, N.J."
"Bredeson, Ben",74,OT,6050,310,FR,Arrowhead,"Hartland, Wis."
"Brenner, Austin",28,WR,6010,181,JR,Saline,"Saline, Mich."
"Bunting, Ian",89,TE,6070,252,JR,Hinsdale Central,"Hinsdale, Ill."
"Bush, Devin",10,LB,6000,220,FR,Flanagan,"Pembroke Pines, Fla."
"Bush, Peter",12,LB,6020,210,FR,Corona Del Mar,"Newport Beach, CA"
"Bushell-Beatty, Juwann",76,OT,6050,325,JR,Paramus Catholic HS,"Paramus, N.J."
"Cheesman, Cameron",38,LS,6040,235,FR,Gahanna Lincoln,"New Albany,Oh"
"Chu, Brian",35,FB,5100,223,JR,N/A,"Kuala Lumpur, Malaysia"
"Cochran, Tyler",30,S,6010,190,FR,Orchard Lake St. Mary's,"Royal Oak, Mich"
"Cole, Mason",52,OC,6050,305,JR,East Lake,"Tarpon Springs, Fla."
"Crawford, Dylan",1,WR,6020,195,FR,Santa Margarita Catholic,"Rancho Santa Margarita, Calif."
"Deeg, Bradley",38,LS,6010,178,SO,Plymouth,"Plymouth, Mich."
"Dickow, Spencer",39,FB,6000,233,SO,Brother Rice,"Bloomfield Hills, Mich."
"Dunaway, Jack",88,LB,6030,212,SO,Brother Rice,"Bloomfield Hills, Mich."
"Dwumfour, Michael",50,DT,6020,300,FR,De Paul Catholic,"Wayne, N.J."
"Eubanks, Nick",1,TE,6050,236,FR,American Heritage School,"Fort Lauderdale, Fla."
"Evans, Chris",12,RB,5110,200,FR,Ben Davis,"Indianapolis, Ind."
"Ferris, Kenneth",34,TE,6040,229,SO,Fowlerville,"Fowlerville, Mich."
"Files, Joseph",42,DL,6040,239,SO,Cranbrook Kingwood,"Lake Orion, Mich."
"Foug, James",31,K/P,5100,169,SO,Palo Alto,"Palo Alto, Calif."
"Furbush, Noah",59,LB,6040,242,JR,Kenton,"Kenton, Ohio"
"Gary, Rashan",3,DT,6050,287,FR,Paramus Catholic,"Paramus, N.J."
"Gentry, Zach",10,QB,6070,244,SO,Eldorado,"Albuquerque, N.M."
"Gil, Devin",36,S,6010,230,FR,Charles W. Flanagan,"Hollywood, Fla."
"Glasgow, Jordan",29,S,6010,195,SO,Marmion Academy,"Aurora, Ill."
"Grodman, Louis",24,S,5100,186,SO,Walled Lake Northern,"Commerce, Mich."
"Harris, Drake",14,WR,6040,181,JR,Grand Rapids Christian,"Grand Rapids, MI"
"Hart, Will",17,PT,6030,190,FR,University School,"Hunting Valley,Oh"
"Hewlett, Joe",27,RB,6000,195,JR,Northville HS,"Novi, Mich."
"Higdon, Karan",22,RB,5100,189,SO,Riverview,"Sarasota, Fla."
"Hill, Khalid",80,FB/TE,6020,263,SR,East English Village Preparatory Academy,"Detroit, Mich."
"Hill, Lavert",24,CB,5110,168,FR,Detroit Martin Luther King,"Detroit, Mich."
"Hirsch, Michael",41,FB,6010,245,FR,Glenbrook South,"Glenview,Ill."
"Hudson, Khaleke",7,S,6000,205,FR,McKeesport,"McKeesport, Pa."
"Hurst Jr, Maurice",73,DT,6020,282,SR,Xaverian Brothers,"Westwood, Mass."
"Isaac, Ty",32,RB,6030,228,SR,Joliet Catholic Academy,"Shorewood, Ill."
"Jocz, Michael",81,TE,6040,241,RS SR,Novi,"Novi, Mich."
"Johnson, Drake",20,RB,6010,210,RS SR,Pioneer,"Ann Arbor, Mich."
"Johnson, Nate",25,WR,5110,185,FR,Independence,"Thompson's Station, Ind."
"Johnson, Ron",17,DE,6040,245,FR,Camden,"Camden, N.J."
"Johnson, Shelton",7,DE,6050,212,SO,Atlantic Community,"Delray Beach, Fla."
"Jokisch, Dan",81,TE,6040,240,FR,Orchard Lake St. Mary's,"Clarkston, Mich"
"Jones, Reuben",4,DE,6040,222,SO,Lake Gibson,"Lakeland, Fla."
