Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Akinmoladun, Freedom",91,DE,6040,270,RS JR,Grandview,"Grandview, Mo."
"Alexander, Quayshon",30,LB,6030,240,RS FR,DePaul Catholic,"Prospect Park,NJ"
"Allen, Austin",0,TE,6080,210,FR,Aurora,"Aurora, Neb."
"Anderson, Avery",4,CB,6000,180,RS SO,Pine Creek /Colorado Springs,"Surprise, Ariz."
"Anderson, Fyn",75,DL,6030,275,RS SO,Southeast,"Lincoln, Neb."
"Armstrong, Isaac",98,PT,5110,200,RS SO,Southwest,"Lincoln,NE"
"Bando, Broc",73,OL,6050,295,FR,IMG Academy,"Lincoln, Neb."
"Barnett, Jalin",74,OL,6040,315,RS SO,Lawton HS,"Lawton, Okla."
"Barry, Mohamed",7,LB,6010,230,RS SO,Grayson HS,"Grayson, Ga."
"Blades, Elijah",0,DB,6020,170,FR,John Muir,"Pasadena, Calif."
"Bootle, Dicaprio",23,DB,5100,180,RS FR,Southridge,Miami.Fla
"Boryca, Alex",53,LB,6010,240,RS JR,Cozad,"Cozad, Neb."
"Bradley, Jaylin",0,RB,6000,180,FR,Bellevue West,"Bellevue, Neb."
"Brokop, Bryan",61,OL,6050,280,RS FR,Lincoln-Way West,"New Lenox,IL"
"Brown, Drew",34,PK,5100,200,SR,Southlake Carroll,"Southlake, Texas"
"Brugmann, Jared",51,LB,6020,230,RS SO,Gretna HS,"Gretna, Neb."
"Bryant, Tre",18,RB,5110,205,SO,Christian Brothers,"St Louis,Mo"
"Bunch, Andrew",16,QB,6010,200,SO/TR,Independence,"Thompson Stations, Tenn."
"Butler, Tony",2,DB,6020,215,RS FR,St Edward,"Lakewood,Oh"
"Chaffin, Ty",45,WR,6050,205,RS FR,Burwell,"Burwell,NE"
"Classen, Brett",80,WR,6020,205,SR/TR,Wayzata,"Medina, Minn."
"Cleveland, Brody",59,LB,6020,230,RS SO,Ogallala HS,"Ogallala, Neb."
"Connely, Thomas",26,LB,5110,225,RS JR,Kearny Catholic,"Kearney, Neb."
"Conrad, Cole",62,OL,6050,300,RS JR,Archbishop Bergan,"Fremont, Neb."
"Cox, Ethan",0,ATH,5110,175,FR,Blair,"Blair, Neb."
"Daniels, Damion",0,DT,6020,310,FR,Bishop Dunne,"Dallas, Texas"
"Darlington, Zack",2,QB,6020,200,RS JR,Apopka,"Apopka, Fla."
"Davis, Alex",22,DE,6050,255,RS SO,Dwyer HS,"Riviera Beach, Fla."
"Davis, Carlos",96,DT,6020,300,RS SO,Blue Springs HS,"Blue Springs, Mo."
"Davis, Khalil",94,DT,6020,290,RS SO,Blue Springs HS,"Blue Springs, Mo."
"Decker, Michael",79,OL,6040,300,RS SO,Norht HS,"Omaha, Neb."
"Dismuke, Marquel",19,DB,6020,195,RS FR,Calabasas,"Calabasas,CA"
"Domann, Marquel",13,DB,6010,200,SO,Pine Creek,"Colorado Springs,CO"
"Engelhaupt, David",83,TE,6030,235,RS FR,Norfolk Catholic,"Norfolk,NE"
"Evans, Erik",48,TE,6030,255,SR,Waverly,"Waverly, Neb."
"Farmer, Tanner",63,OG,6040,305,RS JR,Highland,"Highland, Ill."
"Farniok, Matt",71,OL,6060,310,RS FR,Washington,"Sioux Falls, SD"
