Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Acker, Corey",25,WR,5090,175,RS SR,Shenendehowa Central,"Ballston Lake, N.Y"
"Almasri, Moe",37,DB,5110,170,RS SR/TR,Lincoln-Way West,"Mokena, Ill."
"Alviti, Matt",7,QB,6000,200,RS SR,Maine South,"Park Ridge, Ill."
"Anderson, Auston",8,RB,5090,190,RS JR,Plano West,"Plano, Texas"
"Anyanwu, Chee",0,LB,6020,190,FR,Buford,"Buford, Ga."
"Bergin, Joe",47,DB,5110,190,RS SO,Detroit Country Day,"Bloomfield Hills, Mich."
"Brown, Jalen",0,WR,6010,200,RS JR/TR,Mountain Pointe,"Phoenix, Ariz."
"Brown, Jesse",36,RB,5110,192,SO,Brookwood,"Snellville, Ga."
"Brown IV, Earnest",0,DE,6050,235,FR,Billy Ryan,"Aubrey, Texas"
"Bullmore, Graham",74,OL,6070,295,RS SR,Bradford,"Kenosha, Wis."
"Bullock, Brian",26,CB,5110,185,RS FR,Round Rock,"Round Rock, Texas"
"Butler, J.B.",59,OL,6030,300,RS JR,Joliet Catholic,"Plainfield, Ill."
"Campbell Jr., Roderick",27,CB,6000,180,SO,Chaminade College Prep School,"St. Louis, Mo."
"Carnifax, Tommy",94,DE,6040,253,SO,Howland,"Warren, Ohio"
"Chiaokhiao-Bowman, Ramaud",81,WR,6020,193,RS FR,Breck School,"Minneapolis, Minn."
"Dickerson, Garrett",9,SB,6030,240,SR,Bergen Catholic,"Englewood, N.J."
"Doles, Tommy",71,OT,6060,295,RS JR,Grand Rapids Christian,"Grand Rapids, Mich."
"Eshoo, Eric",87,TE,6040,225,RS FR,Loyola Academy,"Willmette, Ill."
"Fessler, Charlie",5,WR,6040,215,RS SO,Cathedral Prep,"Erie, Pa."
"Fisher, Paddy",40,IB,6030,235,RS FR,Katy,"Katy, Texas"
"Fox, Nathan",45,LB,6020,245,RS SO,Clear Lake,"Houston, Texas"
"Gallagher, Blake",0,LB,6000,217,FR,St. Sebastian's School,"Raynham, Mass."
"Gaziano, Joe",97,DE,6040,265,RS SO,Xaverian Brothers,"Scituate, Mass."
"Gerak, Sam",0,OC/OG,6030,270,FR,Avon,"Avon, Ohio"
"Gillikin, Tyler",43,LS,6030,205,SO,Westminster,"Atlanta, Ga."
"Glackin, Jango",50,OB,6020,210,RS FR,IMG Academy,"Bradenton, Fla."
"Goens, Trent",54,DE,6030,250,RS SO,Chino Hills,"Chino Hills, Calif."
"Gooden, Mark",55,OB,6020,230,RS FR,Reynoldsburg,"Reynoldsburg, Ohio"
"Goosen, Jason",61,OL,6080,305,RS FR,Tallwood,"Virginia Beach, Va."
"Green, Cameron",84,WR,6030,210,RS SO,Stevenson,"Buffalo Grove, Ill."
"Green, TJ",10,QB,6020,199,RS SO,Rockhurst,"Leawood, Kan."
"Gronewald, Cody",0,P,6030,175,FR,Lincoln Northeast,"Lincoln, Neb."
"Hall, Nate",32,OLB,6020,230,RS JR,Southview,"Toledo, Ohio"
"Hanaoka, Chad",26,WR,5100,175,SR,'Iolani School,"Honolulu, Hawaii"
