Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alabi, Joshua",58,DT,6050,300,RS SO,Cass Tech,"Detroit, Mich."
"Alexander, AJ",88,TE,6020,252,RS SO,Lake Braddock,"Burke, Va."
"Arnette, Damon",3,CB,6000,195,RS SO,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Backenstoe, Alex",35,RB,6010,220,RS JR,Davidson,"Hilliard, Ohio"
"Baker, Jerome",17,LB,6010,225,JR,St. Benedictine,"Cleveland, Ohio"
"Barrett, J.T.",16,QB,6020,220,RS SR,Rider,"Wichita Falls, Texas"
"Barrow, Malik",55,DT,6020,290,RS FR,Catholic & IMG Academy,"Tampa, Fla."
"Baugh, Marcus",85,TE,6050,250,RS SR,John W. North,"Riverside, Calif."
"Berry, Rashod",13,DE,6040,260,RS SO,Lorain,"Lorain, Ohio"
"Booker, Dante",33,OLB,6030,240,RS JR,St.Vincent-St Mary,"Akron,OH"
"Borland, Tuf",32,LB,6010,229,RS FR,Bolingbrook,"Bolingbrook, Ill."
"Bosa, Nick",97,DE,6040,270,SO,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Bowen, Branden",76,OT,6070,312,RS SO,Corner Canyon,"Draper, Utah"
"Brock, Nathan",50,OL,6040,285,SO,Olentangy Liberty,"Powell, Ohio"
"Browning, Baron",5,LB,6040,230,FR,Kennedale,"Fort Worth, Texas"
"Burns, Rodjay",29,CB,6000,190,SO,Trinity,"Louisville, Ky."
"Burrell, Matthew",69,OG,6050,300,RS SO,Hylton,"Woodbridge, Va."
"Burrow, Joe",10,QB,6030,215,RS SO,Athens,"The Plains, Ohio"
"Cage, Jerron",0,DT,6030,280,FR,Winton Woods,"Cincinnati, Ohio"
"Campbell, Parris",21,WR,6010,208,RS JR,St. Vincent-St. Mary,"Akron, Ohio"
"Chrisman, Drue",91,P,6030,212,RS FR,LaSalle,"Cincinnati, Ohio"
"Conner, Nick",43,LB,6030,234,RS SO,Scioto,"Dublin, Ohio"
"Cooper, Jonathan",18,DE,6030,250,RS FR,Lincoln,"Gahanna, Ohio"
"Cornell, Jashon",9,DT,6030,280,RS SO,Cretin-Derham Hall,"St. Paul, Minn."
"Cupp, Gavin",61,OT,6050,305,RS FR,Lepsic,"Lepsic, Ohio"
"Davin, Brock",84,TE,6030,235,SO,St. Xavier,"Cincinnati, Ohio"
"Davis, Wayne",15,CB,5100,193,RS FR,Lake Taylor,"Norfolk, Va."
"Davis, Wyatt",0,OL,6040,310,FR,St. John Bosco,"Bellflower, Calif."
"Dixon, Johnnie",1,WR,5110,195,RS JR,Dwyer,"West Palm Beach, Fla"
"Dobbins, J.K.",2,RB,5100,208,FR,La Grange,"La Grange, Texas"
"Donald, Noah",52,DL,6010,275,SO,Walsh Jesuit,"Uniontown, Ohio"
"Drake, Jared",30,LB,6000,225,JR,Westerville Central,"Westerville, Ohio"
"Farrell, Luke",89,TE,6060,250,RS FR,Perry,"Perry, Ohio"
"Feder, Kevin",77,OT,6090,303,RS SO,Don Boscoe Prep,"Ramsey, N.J."
"Forte, Trevon",21,CB,5080,185,SR,Cardinal Mooney,"Youngstown, Ohio"
"Fuller, Jordan",4,S,6020,207,SO,Old Tappan,"Westwood, N.J."
"Gardiner, Ellijah",0,WR,6040,200,FR,Kemp,"Kemp, Texas"
"Garrett, Haskell",0,DT,6020,286,FR,Bishop Gorman,"Las Vegas, Nev."
"Glover-Williams, Eric",19,CB,5090,180,JR,Canton McKinley,"Canton, Ohio"
"Goins, Elijaah",32,S,6010,195,SR,Cox Mill,"Concord, N.C."
"Grimes, Trevon",0,WR,6040,202,FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Hamilton, Davon",53,DT,6030,300,RS SO,Pickerington Central,"Pickerington, Ohio"
"Haney, Cin'Quan",46,CB,6010,200,SR,Chaminade-Julianne,"Dayton, Ohio"
"Harris, Jaylen",0,WR,6050,205,FR,Cleveland Heights,"Cleveland, Ohio"
"Harrison, Malik",39,LB,6030,235,SO,Walnut Ridge,"Columbus, Ohio"
