Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Marcus",2,FS,6020,206,SR,Dr. Henry A. Wise Jr.,"Upper Marlboro, Md."
"Allen, Mark",8,RB,5060,181,RS JR,DeMatha Catholic,"Hyattsville, Md."
"Apke, Troy",28,S,6010,212,SR,Mount Lebanon,"Mt. Lebanon, Pa."
"Arcangelo, Joe",41,TE,6040,230,SO,Abington Heights,"Clarks Summit, Pa."
"Barber, Damion",0,DL,6030,245,FR,Harrisburg,"Harrisburg, Pa."
"Barbir, Alex",90,K,5090,195,RS FR,South Forsyth,"Cumming, Ga."
"Barkley, Saquon",26,RB,5110,225,JR,Whitehall HS,"Whitehall, Pa."
"Bates, Ryan",52,OG/OC,6040,312,RS SO,Archbishop Wood,"Warrington, Pa."
"Blacknall, Saeed",13,WR,6030,212,SR,Manalapan,"Manalapan, N.J."
"Blair, Will",47,S,5110,221,RS FR,Hempfield,"Lancaster, Pa."
"Bolds, Corey",0,DL,6030,280,FR,Paramus Catholic,"Paterson, N.J."
"Bowen, Manny",43,LB,6010,224,JR,Barnegat,"Barnegat, N.J."
"Bowers, Nick",83,TE/H,6040,269,RS SO,Kittaning Senior,"Kittanning, Pa."
"Brooks, Ellis",0,LB,6010,220,FR,Benedictine College Prep,"Mechanicsville, Va."
"Brown, Cameron",31,OLB,6050,224,SO,Paint Branch,"Burtonsville, Md."
"Brown, D.J.",0,DB,5100,175,FR,Creekside,"College Park, Ga."
"Brown, Journey",0,RB,5110,194,FR,Meadville,"Meadville, Pa."
"Brown, Torrence",19,DE,6030,259,RS JR,Tuscaloosa Academy,"Tuscaloosa, Ala."
"Buchholz, Ryan",97,DL,6060,276,RS SO,Great Valley,"Malvern, Pa."
"Butler, Jabari",20,CB,5110,180,JR/TR,BIshop Gorman,"Potomac, Md."
"Cabinda, Jason",40,OLB,6010,239,SR,Hunterdon Central,"Flemington, N.J."
"Campbell, Christian",1,CB,6010,191,SR,Central,"Phenix City, Ala."
"Castagna, Colin",46,DE,6040,259,JR,Barrington,"Barrington, Ill."
"Castro-Fields, Tariq",0,DB,6000,185,FR,Riverdale Baptist,"Upper Marlboro, Md."
"Charles, Irvin",11,WR,6040,227,RS JR,Paul VI,"Sicklerville, N.J."
"Chavis, Tyrell",56,DT,6030,312,SR/TR,Varina,"Richmond, Va."
"Clifford, Sean",0,QB,6010,200,FR,St. Xavier,"Cincinnati, Ohio"
"Cooper, Jake",33,LB,6010,225,JR,Archbishop Wood,"Doylestown, Pa."
"Cothran, Curtis",52,DE,6050,293,RS SR,Council Rock North,"Newtown, Pa."
"Cothren, Parker",41,DT,6040,302,RS SR,Hazel Green,"Huntsville, Ala."
"Dalton, Danny",80,TE/H,6040,242,RS FR,Marshfield,"Marshfield, Mass."
"Darien, Dae'lun",87,WR,6040,211,RS FR,Dunbar,"Baltimore, Md."
"Davis, Desi",12,CB,5110,175,RS JR,Harriton,"Ardmore, Pa."
"Davis, Tyler",95,K/P,5110,195,RS SR,North,"St. Charles, Ill."
"Di Leo, Frank",39,LB,5090,218,RS SO,Saint Ignatius College Prep,"Elmhurst, Ill."
"Dumond, Joe",45,LB,5100,240,SO,St. Joseph's,"Philadelphia, Pa."
"Eury, Nick",40,RB,5090,214,RS FR,Lake-Lehman,"Shavertown, Pa."
"Faison-Walden, Brelin",25,LB,6010,200,FR,Grimsley,"Greensboro, N.C."
"Farmer, Koa",7,S,6010,230,RS JR,Notre Dame,"Lake View Terrace, Calif."
"Fessler, Billy",16,QB,5110,187,RS JR,Erie Cathedral,"Erie, Pa."
"Franklin, Brailyn",0,LB,6010,204,FR,Battlefield,"Arlington, Texas"
"Fries, Will",71,OT,6060,312,RS FR,Cranford Senior,"Cranford, N.J."
"Gellerstedt, Alex",51,OT,6060,308,RS FR,Dublin Coffman,"Dublin, Ohio"
"Gesicki, Mike",88,TE/H,6060,253,SR,Southern Regional,"Manahawkin, N.J."
