Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abrams, Jacob",0,DB,6020,190,FR,Carmel,"Carmel, Ind."
"Alstott, Griffin",0,QB,6020,205,FR,Northside Christian School,"St. Petersburg, Fla."
"Anthrop, Jackson",33,WR,5110,191,RS FR,Central Catholic,"Lafayette, Ind."
"Bailey, Markus",21,OLB,6010,231,SO,Hilliard Davidson,"Hilliard, Ohio"
"Banks, Aaron",19,QB,6040,201,JR,Brebeuf,"Indianapolis, Ind."
"Barnes, Derrick",0,LB,6010,240,FR,Holy Cross,"Covington, Ky."
"Barron, Kirk",53,OG/C,6020,305,RS JR,Marian,"Mishawaka, Ind."
"Beach, Viktor",0,OL,6050,300,FR,Bishop Verot,"Fort Myers, Fla."
"Beeler, Lane",45,RB,5100,214,RS JR,McCutcheon,"Westpoint, Ind."
"Bentley, Ja'Whaun",4,ILB,6020,250,SR,DeMatha Catholic,"Glenarden, Md."
"Blackmon, Antonio",25,CB,6000,198,RS JR,Bishop Dwenger,"Fort Wayne, Ind."
"Blough, David",11,QB,6010,200,RS JR,Creekview,"Carrolton, Texas"
"Brown, Bryce",51,OL,6010,268,RS FR,Evansville North,"Evansville, Ind."
"Brown, Fred",17,DT,6010,278,RS SO,Hahnville,"Boutte, La."
"Brunner, Noah",49,K,6000,194,RS FR,Collins,"Shelbyville, Ky."
"Buckman, Wade",82,TE,6060,232,RS FR,Holland,"Holland, Mich."
"Burgess, Jarrett",80,WR,6020,218,JR,Florida Christian,"Miami, Fla."
"Carrollo, Danny",14,QB,6010,210,RS FR,Lake Forest,"Lake Forest, Ill."
"Cason, Tim",24,S,5110,195,RS JR,Clarkston,"Clarkston, Mich."
"Catlett, Keyron",0,WR,5100,180,FR,Christian County,"Hopkinsville, Ky."
"Chelf, Andy",15,S,6000,195,RS SO,Carroll,"Southlake, Texas"
"Colmery, Will",90,DT,6050,290,RS JR,Nazareth Academy,"Western Spring, Ill."
"Cook, Wes",35,S,5100,191,SR,Westminster,"Westminster,Md"
"Criddle, Alex",66,DT,6040,307,SO,Edison,"Tulsa, Okla."
"Daniels, Allen",0,DL,6020,300,FR,Dacula,"Dacula, Ga."
"Daniels, Johnny",64,OL,6030,301,RS SR,Foreman,"Chicago, Ill."
"Dawson, Sawyer",22,LB,6020,232,RS SO,Plant City,"Plant City, Fla."
"Day, David",17,CB,5090,189,RS SO,North Central,"Indianapolis, Ind."
"Dellinger, J.D.",85,K,6020,190,SO,Charlotte Country Day,"Charlotte, N.C."
"Dotson, Malcolm",83,WR,6020,200,RS SO,Cathedral,"Indianapolis, Ind."
"Edwards, D.J.",3,WR,6020,182,FR,Palm Beach Lakes,"West Palm Beach, Fla."
"Ezechukwu, Danny",36,OLB,6020,242,RS SR,Arabia Mountain,"Lithonia, Ga."
"Faison, Tim",14,DE,6020,220,RS SO,Godby,"Tallahassee, Fla."
"Fakasiieiki, Semisi",57,OLB,6030,241,RS FR,Compton Dominguez,"Compton, Calif."
"Ferguson, Eric",77,OL,6020,301,RS FR,Noblesville,"Noblesville, Ind."
"Flaherty, Ryan",58,OL,6050,300,RS FR,New Prairie,"New Carlisle, Ind."
"Franklin, Benaiah",20,WR,6010,200,RS FR,Wheeler,"Marietta, Ga."
"Fuller, Tario",25,RB,6000,192,RS SO,Lanier,"Sugar Hill, Ga."
"Green, Keyante",23,RB,5090,232,RS SR,Eagle's Landing Christian,"McDonough, Ga."
"Hamilton, Tyler",6,WR,5090,170,FR,Hilton Head,"Hilton Head, S.C."
"Hardy, Kamal",8,CB,6000,185,SR/TR,St. Thomas Aquinas,"Pembroke Pines, Fla."
"Hawthorne, Tanner",52,OG,6060,275,RS FR,Centennial HS,"Peoria, Ariz."
"Hayes, Joshua",23,CB,6000,185,SO,Pike,"Indianapolis, Ind."
"Herdman, Cole",88,TE,6040,245,RS JR,Flint Hill,"Leesburg, Va."
"Herman, Jimmy",29,OLB,6040,230,SR,Carmel,"Carmel, Ind."
"Hermanns, Grant",78,OL,6070,293,RS FR,Rio Rancho,"Rio Rancho, N.M."
