Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Jarius",25,CB,5100,181,RS SO,Williams T. Dwyer HS,"Palm Beach Gardens, Fla."
"Allen, Zach",12,QB,6030,213,RS SR/TR,Temple High School,"Temple, Texas"
"Anderson, Ryan",0,P,6010,210,SR/TR,DeWitt,"DeWitt, Mich."
"Anthony, Max",37,LB,6000,243,RS SO,Christian Brothers Academy/Phillips Academy,"Albany, N.Y."
"Anthony, Troy",19,QB,6040,215,RS SR/TR,Christian Brothers Academy,"Albany, N.Y."
"Applefield, Marcus",71,OT,6050,305,RS JR,Weeki Wachee,"Weeki Wachee, FL"
"Austin, Blessaun",10,CB,6010,195,JR,Campus Magnet,"Queens, N.Y."
"Bah, Ahmed",26,WR,6030,204,RS FR,Grand Street,"Brooklyn, N.Y."
"Bailey, Dacoven",23,WR,5100,205,SO,Pilot Point,"Pilot Point, Texas"
"Barnwell, Elijah",0,RB,5100,200,FR,Piscataway,"Piscataway, N.J."
"Barrow, Tim",0,ATH,5110,170,FR,Tottenville,"Staten Island, N.Y."
"Bateky, Jon",95,DT,6030,297,JR,Poolesville,"Boyds, Md."
"Battle, Rashawn",56,OB,6010,237,RS FR,Wallenpaupack Area HS,"Hawley, Pa."
"Beaty, Jamaal",51,OL,6020,297,FR,St. John Vianney,"Cliffwood, N.J."
"Behr, George",43,TE,6050,242,RS JR,East Ridge,"Cottage Grove, MN"
"Blackshear, Raheem",0,RB,5090,175,FR,Archbishop Wood,"Warminster, Pa."
"Blunt, Rashad",83,WR,6010,197,RS SO,Creekside HS,"St. John's, Fla."
"Bonagura, David",98,PK,6000,223,RS SR,Ramapo,"FRANKLIN LAKES, NJ"
"Bordner, Brendan",53,DL,6040,265,FR,Hilliard Bradley,"Columbus, Ohio"
"Bowles, Owen",0,OL,6040,270,FR,Cedar Creek,"Egg Harbor City, N.J."
"Brady, Jim",38,LB,6010,238,RS FR,St. Augustine Prep,"Egg Harbor, N.J."
"Campbell, Zane",37,DB,6010,195,RS SR/TR,Delran,"Delran, N.J."
"Carter, Ron'Dell",90,DL,6020,275,RS SO,Long Reach HS,"Baltimore, Md."
"Ceneus, McDerby",27,WR,5080,188,RS FR,William Paterson,"West Orange, N.J."
"Cintron, Michael",94,K/P,6030,222,RS JR,St. Joseph's Metuchen,"Piscataway, NJ"
"Clark, Micah",56,OL,6040,270,FR,St.John Vianney,"Cliffwood, N.J."
"Cole, Tariq",65,OG,6060,319,RS JR,Long Beach,"Long Beach, NY"
"Davidovicz, Justin",0,PK,5090,160,FR,Bridgewater-Raritan,"Bridgewater, N.J."
"Davis Jr., Darnell",59,LB,6020,257,RS SR,Avon Old Farms School,"UNION, NJ"
"DeVara, Brendan",0,FB,6010,240,FR,Wayne Hills,"Wayne, N.J."
"Douglas, Ross",21,CB,5100,201,RS SR/TR,Avon,"Avon, Ohio"
"Duggan, Jaohne",0,DL,6010,270,FR,Liberty,"Bethlehem, Pa."
"Fatukasi, Olakunle",0,LB,6010,205,FR,Grand Street Campus,"Far Rockaway, N.Y."
"Fogg, Tyshon",0,LB,6020,240,FR,Calvert Hall,"Baltimore, Md."
"Garvin, Jelani",21,WR,5080,173,RS FR,N/A,N/A
"Grant, Janarion",1,WR,5100,172,RS SR,Pasco,"TRILBY, FL"
"Gray, K.J.",17,S,6010,201,SO,St. Peters Prep,"Jersey City, N.J."
"Griffin-Stewart, Nakia",86,TE,6050,250,RS SO,Tenafly HS,"Tenafly, N.J."
"Griggs, Jason",93,DL,6010,285,RS FR,Highland Park,"Highland Park, N.J."
"Haggerty, Gavin",99,P,5080,176,RS SO,St. Joseph,"Montvale, N.J."
"Hampton, Saquan",9,DB,6010,208,RS JR,Nottingham,"Hamilton, NJ"
"Harris, Jawuan",3,WR,5090,186,RS SO,St. Thomas Aquinas,"Pemproke Pines, Fla."
"Hayek, Hunter",0,ATH,5100,160,FR,Wayne Hills,"Wayne, N.J."
"Hayek, Tyler",0,WR,6040,170,FR,Wayne Hills,"Wayne, N.J."
"Hayes, Damon",18,CB,6010,197,SO,Dr. Henry Wise,"Upper Marlboro, Md."
"Heeman, Zack",79,OL,6070,308,RS JR,Mount Olive,"Budd Lake, NJ"
"Hester, Kiy",2,SS,6000,211,RS JR/TR,DePaul Catholic,"Wayne, N.J."
"Hicks, Josh",8,RB,5100,214,SR,Palmetto,"Palmetto, FL"
"Hogan, Jimmy",98,DE,6040,260,RS JR,Ramapo,"Wyckoff, NJ"
"Howson, Sam",74,OG,6040,290,RS FR,Pope John XXIII,"Sparta, N.J."
"Jabbie, Mohamed",6,WR,5110,185,RS FR,South Brunswick,"Monmouth Junction, N.J."
"Jackson, Jonah",73,OL,6040,299,RS SO,Penncrest HS,"Media, Pa."
"Jones, Naijee",0,DB,5110,190,FR,Timber Creek,"Erial, N.J."
"Jones, Shameen",0,WR,6020,170,FR,Cardinal Hayes,"Bronx, N.Y."
"Joseph, Sebastian",51,DT,6040,299,RS SR,Stroudsburg,"STROUDSBURG, PA"
"Krimin, Nick",66,OT,6050,308,RS FR,St. Joseph,"Metuchen, N.J."
"Lewis, Eddie",0,WR,6000,180,FR,Mater Dei Prep,"Middletown, N.J."
"Lewis, Johnathan",0,QB,6030,225,FR,St. Peter's Prep,"Jersey City, N.J."
"Lonsdorf, Mike",61,OT,6060,300,RS FR,Immaculata,"Somerville, N.J."
"Lopez, Edwin",0,DB,5110,160,FR,Woodrow Wilson,"Camden, N.J."
"Lucy, Alan",85,LS,6000,225,SR,Dinwiddie,"Dinwiddie, VA"
"Lumor, Elorm",7,DL,6030,238,RS FR,Piscataway/Milford Academy,"Piscataway, N.J."
"Maddox-Williams, Tyreek",44,OB,6000,223,SO,Timber Creek,"Sicklerville, N.J."
"Maietti, Michael",55,OC,6010,292,RS FR,Don Bosco Prep,"Ramsey, N.J."
"Manning, Solomon",14,LB,6010,240,RS FR,Colonia,"Colonia, N.J."
"Marfo, Kobe",27,CB,5100,188,RS SO/TR,Hayfield,"Quantico, Va."
"Margolis, Eric",35,OLB,6030,240,RS JR,Clarkstown South,"New City, NY"
"Martin, Robert",7,RB,5110,213,SR,Harrisburg,"Harrisburg, PA"
"Mason, Tijuan",0,DL,6060,210,FR,Trezevant,"Memphis, Tenn."
"McDuffie, Davante",46,WR,6000,196,RS JR/TR,Bergen Catholic,"Linden, N.J."
"Melton, Bo",0,WR,5110,175,FR,Cedar Creek,"Egg Harbor City, N.J."
"Miller, Dorian",60,OG,6020,296,RS SR,Metuchen,"METUCHEN, NJ"
"Mitchell, Ahmir",2,WR,6030,206,RS FR/TR,Cedar Creek,"Egg Harbor City, N.J."
"Mitchell, Damon",5,WR,6020,217,RS SR/TR,Cedar Creek,"Egg Harbor City, N.J."
"Morris, Trevor",15,LB,6010,232,JR,Malvern Prep,"King of Prussia, Pa."
"Murphy, Cole",84,WR,6010,205,JR/TR,Olathe North,"Olathe, Kan."
"Nash, Myles",12,DL,6050,250,RS SR,Timber Creek,"SICKLERVILLE, NJ"
"Onulak, Jim",63,OL,6020,276,RS FR,Trinity Pawling,"Belmar, N.J."
"Onyechi, C.J.",0,LB,6010,215,FR,West Orange,"West Orange, N.J."
"Pinnix-Odrick, Julian",53,DE,6050,275,RS SR,Montclair,"MONTCLAIR, NJ"
"Previlon, Willington",96,DL,6050,286,RS SO,Orange HS,"Orange, N.J."
"Provillon, Nixon",16,WR,6020,200,RS SR/TR,Newark Vo-Tech,"Irvington, N.J."
"Pugh, Aslan",28,RB,6000,216,RS FR,Wilmington Charter,"Wilmington, Del."
"Pyrame, Skiy",64,OL,6010,271,RS SO,Christ the King,"Queens, N.Y."
"Rescigno, Giovanni",17,QB,6030,227,RS JR,De La Salle,"Warren, MI"
"Roberts, Deonte",26,OLB,6010,235,JR,Erasmus Hall,"Brooklyn, N.Y."
"Rosa, Austin",55,LB,5100,219,RS SO,Wilson West Lawn,"Reading, Pa."
"Russell, Brandon",49,LB,6000,238,RS JR,University,"Pembroke Pines, FL"
"Schoen, Alex",80,WR,5070,172,RS SR/TR,Millburn,"Short Hills, NJ"
"Seymour, Kamaal",54,DL,6060,307,RS SO,Grand Street Campus HS,"Brooklyn, N.Y."
"Simmons, Syheim",0,LB,5110,180,FR,George Washington Carver,"Jersey City, N.J."
"Sneed, Trey",4,RB,5100,215,SO,Fleming Island,"Orange Park, Fla."
"Snorweah, Charles",24,RB,5100,174,RS SO,Pennsbury HS,"Levittown, Pa."
"Sportelli, Matthew",62,LS,6010,245,RS FR,Wayne Hills,"Wayne, N.J."
"Stevens, Lawrence",29,DB,5080,189,RS FR,Don Bosco Prep/United States Military Academy Prep,"Lawrenceville, N.J."
"Taylor, Manny",72,OL,6050,297,RS SO,Roman Catholic HS,"Philadelphia, Pa."
"Taylor, Prince",22,WR,5100,194,RS FR,Utica,"Hackensack, N.J."
"Taylor, T.J.",36,LB,6030,223,RS SR,South Brunswick,"KENDALL PARK, NJ"
"Turay, Kemoko",58,DE,6050,247,RS SR,Barringer,"NEWARK, NJ"
"Turner, Julius",50,DT,6000,287,RS FR,Meridian,"Meridian, Miss."
"Tverdov, Mike",0,DL,6040,230,FR,Union,"Union, N.J."
"Venesky, Zach",75,OL,6030,290,RS SO,Valley View HS,"Peckville, Pa."
"Vokolek, Travis",0,TE,6050,220,FR,Kickapoo,"Springfield, Mo."
"Vretman, Sam",77,OL,6060,300,FR,Cheshire Academy,"Upplands Vasby, Sweden"
"Washington, Jerome",87,TE,6040,253,RS SO/TR,Gattaca HS,"Princeton Junction, NJ"
"Wharton, Isaiah",11,CB,6010,204,RS JR,Gateway,"Kissimmee, Fl"
"Wiafe, Eric",92,DL,6050,295,RS JR,Egg Harbor Township,"Egg Harbor Township, NJ"
"Wilkins, Kevin",99,NT,6020,300,RS JR,St. Joseph's Regional,"Mahwah, NJ"
"Wormley, Everett",0,WR,6000,195,FR,Burlington Township,"Burlington, N.J."
