Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Nate",56,LS,6000,215,SR,Greenway,"Phoenix,AZ"
"Aniebonam, Jesse",6,DE,6030,260,SR,Good Counsel,"Silver Spring, MD"
"Baca, Steve",39,LB,6020,210,SO,South Carroll HS,"Mt. Airy, Md."
"Barnes, Noah",80,TE,6040,226,RS FR,Auburn,"Auburn, Ala."
"Bazzie, Fofie",11,DB,5110,180,FR,Quince Orchard,"Silver Springs, Md."
"Bekoe, Josh",37,WR,5110,201,SR,Mount Vernon HS,"Alexandria, Va."
"Bell, Markquese",13,DB,6020,194,FR,Bridgeton,"Bridgeton, N.J."
"Bennett, Kenny",26,DB,6020,201,FR,Academy at Palumbo,"Philadelphia, Pa."
"Bortenschlager, Max",18,QB,6030,200,SO,Cathedral,"Indianapolis, Ind."
"Brand, Bryce",27,DL,6030,230,FR,Clayton Valley Charter,"Detroit, Mich."
"Brand, Ryan",16,QB,5110,190,RS SO/TR,Detriot Jesuit,"Detroit, Mich."
"Brooks, Antoine",25,LB,5110,223,SO,Duval,"Lanham, Md."
"Brooks, Jalen",43,OLB,6010,232,RS SR,Gwinnett HS,"Suwanee, Ga."
"Browder, Jalen",0,WR,6010,180,FR,East Paulding,"Dallas, Ga."
"Burkett, Chandler",92,DL,6030,245,RS SR,"Bozeman, HS","Panama City, Fla."
"Capehart, Tahj",14,WR,5100,184,FR,Bishop Sullivan Catholic,"Virginia Beach, Va."
"Carriere, Carlos",83,WR,6040,180,FR,Alpharetta,"Alpharetta, Ga."
"Carter, Jr., Jermaine",1,ILB,6000,235,RS SR,Friendship Collegiate,"Fort Washington, Md."
"Christie, Sean",70,OG,6040,300,RS JR,Patchogue-Medford,"Medford, NY"
"Cockerille, Shane",18,LB,6020,235,RS SR,Gilman School,"Baltimore, Md."
"Comma, Jayden",86,WR,6020,208,FR,Roswell,"Roswell, Ga."
"Conyers, Denzel",3,SS,6030,215,RS SR/TR,Boca Ciega HS,"St. Petersburg, Fla."
"Corbin, Allen",30,DB,5090,190,SR,Winter Mill HS,"Westminster, Md."
"Cornwell, Michael",87,WR,6020,225,JR,McDonogh,"Owings Mills, MD"
