Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Connor",96,P,6000,171,RS SO,Brookfield East HS,"New Berlin, Wis."
"Balistreri, Michael",0,DE,6040,280,FR,University School of Milwaukee,"Grafton, Wis."
"Baun, Zack",56,OLB,6030,222,RS SO,Brown Deer,"Milwaukee, Wis."
"Bay, Adam",0,LS,6010,225,FR,Desert Ridge,"Mesa, Ariz."
"Beach, Tyler",0,OT,6060,280,FR,Port Washington,"Grafton, Wis."
"Bell, Christian",49,LB,6040,246,RS FR/TR,Hoover,"Hoover, Ala."
"Benzschawel, Beau",66,OT,6060,316,RS JR,Grafton,"Grafton, Wis."
"Benzschawel, Luke",90,TE,6060,257,RS FR,Grafton,"Grafton, Wis."
"Bernhagen, Josh",91,LS,6020,243,FR,La Follette,"Madison, Wis."
"Biadasz, Tyler",61,OL,6030,307,RS FR,Amherst,"Amherst, Wis."
"Bondoc, Evan",13,S,6010,203,RS JR,Edgewood,"Madison, Wisc."
"Booker, Titus",9,CB,5110,187,RS SO,North,"Grayslake, Ill."
"Brodner, Sam",34,RB,5100,215,RS FR,Glenbard West,"Glen Ellyn, Ill."
"Bruss, Logan",0,OG,6050,270,FR,Kimberly,"Appleton, Wis."
"Burks, Noah",51,OB,6020,240,RS FR,Carmel,"Carmel, Ind."
"Burrell, Eric",26,S,6000,185,RS FR,McDonough School,"Owings Mills, Md."
"Carriere-Williams, Dontye",29,CB,5100,194,RS FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Cephus, Quintez",87,WR,6010,201,SO,Stratford Academy,"Macon, Ga."
"Cesarz, Ethan",0,ILB,6010,220,FR,Delavan-Darien,"Delavan, Wis."
"Cichy, Jack",48,OLB,6020,233,RS SR,Hill Murray,"Somerset, Wis."
"Coan, Jack",10,QB,6030,199,FR,Sayville,"Sayville, N.Y."
"Collinsworth, Jake",0,ILB,6010,225,FR,Merrill,"Merrill, Wis."
"Cone, Madison",24,CB,5090,172,FR,East Forsyth,"Kernersville, N.C."
"Connelly, Ryan",43,OLB,6030,235,RS JR,Eden Prairie,"Eden Prairie, Minn."
"Connors, Brett",64,OL,6060,301,RS JR,West,"New Berlin, Wis."
"Currens, Seth",10,S,6030,211,RS FR,Pickerington Central,"Pickerington, Ohio"
"Davis III, Danny",0,WR,6030,180,FR,Springfield,"Springfield, Ohio"
"Deal, Taiwan",28,RB,6010,224,RS JR,DeMatha,"Capitol Heights, Md."
"Deiter, Michael",63,OG,6060,329,RS JR,Genoa,"Curtice, Ohio"
"DeLany, Sam",0,WR,5110,170,FR,Kettle Moraine,"Delafield, Wis."
"Dietzen, Jon",67,OT,6060,334,RS SO,Seymour,"Black Creek, Wis."
"Dixon, Dâ€™Cota",14,LB,5100,199,SR,New Smyrna Beach,"Oak Hill, Fla."
"Dooley, Garret",5,OLB,6030,250,RS SR,Rochester,"Rochester, Ill."
"Dretzka, Ian",77,OL,6060,321,RS SO,Kettle Moraine,"Delafield, Wis."
"Dunn, Jack",19,WR,5070,175,RS FR,Edgewood,"Madison, Wis."
"Edwards, David",79,OT,6070,306,RS SO,North,"Downers Grove, Ill."
"Edwards, T.J.",53,ILB,6010,246,RS JR,Lakes Community,"Lake Villa, Ill."
"Erdmann, Jason",78,OL,6060,325,RS SO,Slinger,"Richfield, Wis."
"Estes, Kevin",73,OL,6050,263,RS SO,San Marcos,"San Marcos, Calif."
"Farrar, Arrington",18,OLB,6020,225,JR,Woodward Academy,"Atlanta, Ga."
"Fenton, Alex",0,OG,6050,290,FR,Menomonie,"Menomonie, Wis."
"Ferguson, Jake",0,TE,6050,290,FR,Madison Memorial,"Madison, Wis."
"Ferguson, Joe",36,S,6010,193,RS SR,Memorial,"Madison, Wisc."
"Figaro, Lubern",31,SS,6000,185,SR,Everett,"Everett,Ma"
"Finco, Ricky",86,WR,5080,185,RS JR/TR,Arrowhead,"Hartland, Wis."
"Fumagalli, Troy",81,TE,6060,249,RS SR,Waubonsie Valley,"Naperville, Ill."
"Gaglianone, Rafael",27,PK,5110,230,SR,Baylor,"Chattanooga,Tn"
"Grady, Griffin",51,OLB,6030,218,SO,Dublin Coffman,"Dublin, Ohio"
"Green, Cade",0,WR,6000,190,FR,Lake Travis,"Austin, Texas"
"Green-May, Izayah",50,OLB,6060,211,FR,Bolingbrook,"Bolingbrook, Ill."
"Groshek, Garrett",14,QB,5110,209,RS FR,Ahmerst,"Amherst Junction, Wis."
"Harrell, Deron",89,WR,6020,176,FR,East,"Denver, Colo."
"Henningsen, Matt",0,DE,6040,260,FR,Menomonee Falls,"Menomonee Falls, Wis."
"Herl, Mitchell",37,TE,6040,254,RS SO,Middleton,"Middleton, Wis."
"Hescock, Jake",41,DE,6070,250,RS FR,Salisbury School,"Salisbury, Conn."
"Hicks, Faion",20,CB,5100,184,FR,Flanagan,"Miami, Fla."
"Hintze, Zach",39,K,6000,186,RS SO,St. Mary's Springs,"Fond du Lac, Wisc."
"Hirschfeld, Billy",96,DE,6060,300,RS JR,Arrowhead,"Okauchee, Wis."
"Hornibrook, Alex",12,QB,6040,213,RS SO,Malvern Prep,"West Chester, Pa."
"Houden, Henry",26,WR,6040,206,RS SO,Memorial,"Madison, Wis."
"Howe, Kraig",98,DE,6030,272,RS SO,Archbishop Alter,"Bellbrook, Ohio"
"Ingold, Alec",45,FB,6020,241,JR,Bay Port,"Green Bay, Wisc."
"Jacobs, Leon",32,ILB,6020,238,RS SR,Golden Valley,"Santa Clarita, Calif."
"Jamerson, Natrell",12,S,6000,194,SR,Vanguard,"Ocala,Fla"
"James, Alec",57,DE,6030,270,RS SR,East,"Brookfield, Wis."
"James, Chris",5,RB,5100,216,RS JR/TR,Notre Dame College Prep,"Chicago, Ill."
"Johnson, Hunter",0,RB,6010,205,FR,Darlington,"Darlington, Wis."
