Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Anderson, Allen",36,LB,6000,190,RS FR,East Bernard HS,"East Bernard, Texas"
"Anderson, Eleasah",0,OL,6040,295,FR,Alief Taylor,"Houston, Texas"
"Arnold, Grayland",31,CB,5090,185,SO,Kountze,"Kountze, Texas"
"Artis, DeMarco",0,R,6020,220,FR,Seminole,"Sanford, Fla."
"Atkinson, Jared",80,WR,6030,210,SO,Horn,"Mesquite, Texas"
"Beard, Christian",64,OL,6030,275,RS JR/TR,Midway,"Waco, Texas"
"Bennema, Zack",18,QB,6030,225,RS SO,Waubonsie Valley HS,"Aurora, Ill."
"Bernard, Terrel",0,LB,6010,215,FR,La Porte,"La Porte, Texas"
"Black, Henry",28,S,6000,200,RS SO,Woodlawn HS,"Shreveport, LA"
"Blackmar, Blake",72,OC,6050,350,RS JR,Clear Lake HS,"Houston, TX"
"Blake, Jourdan",23,S,5110,185,RS JR,Princeton HS,"Princeton, TX"
"Blanchard, Travon",48,NB,6020,205,SR,West Orange Stark HS,"Orange, Texas"
"Boyd, Kyle",47,FB,6020,230,SO,Horn HS,"Mesquite, Texas"
"Brewer, Charlie",14,QB,6010,190,FR,Lake Travis,"Austin, Texas"
"Brown, Ezekiel",35,CB,6000,165,RS FR,Midlothian HS,"Midlothian, Texas"
"Bucey, Dwyer",25,RB,5080,200,RS SO,Strake Jesuit,"Houston, Texas"
"Bullard, Koby",59,LB,6000,225,SO,La Vernia HS,"La Vernia, Texas"
"Clements, Jayson",87,TE,6030,225,RS JR/TR,Midway HS,"Waco, Texas"
"Cletcher, Thomas",50,ILB,6000,225,JR/TR,Centennial,"Corona, Calif."
"Coffey, Michael",60,OL,6030,245,RS SO,Navasota HS,"Navasota, Texas"
"Davis, Timarcus",0,CB,5110,170,FR,College Station,"College Station, Texas"
"Ebner, Trestan",0,WR,6000,205,FR,Henderson,"Henderson, Texas"
"Feuerbacher, Jordan",85,TE,6040,265,SR,Kingwood Park HS,"Kingwood, TX"
"Galitz, Drew",36,P/K,5110,205,JR,Rowlett HS,"Rowlett, TX"
"George, Cody",78,DT,6020,275,RS SO,Lorena HS,"Lorena, Texas"
"Hall, Davion",21,S,6010,205,SR,Liberty-Eylau HS,"Texarkana, TX"
"Hand, Harrison",0,CB,6000,190,FR,Cherry Hill West,"Cherry Hill, N.J."
"Harris, Justin",0,DL,6050,250,FR,East Ascension,"Gonzales, La."
"Hasty, JaMychal",20,RB,5080,200,RS SO,Longview HS,"Longview, TX"
"Heard, Preston",16,QB,6000,195,SO,Episcopal HS,"Bellaire, Texas"
"Henderson, Tyler",0,TE,6040,240,FR,Lehman,"Kyle, Texas"
"Hockman, Jonathan",40,NB,5110,200,JR/TR,Park City HS,"Park City, Utah"
"Holmes, Gavin",0,WR,5110,195,FR,Northwest,"Justin, Texas"
"Houston, Jameson",11,CB,5110,200,RS SO,St. Michael's Academy,"Austin, TX"
"Hunt, Tyrone",90,DE,6050,275,RS SO,Arp HS,"Arp, TX"
"Hunter, Iain",33,LB,5110,205,SR,Cinco Ranch HS,"Katy, TX"
"Jackson, Bryson",0,LB,6020,205,FR,Lake Ridge,"Mansfield, Texas"
"Jacobs, Jamie",43,DE,6030,255,RS JR,Midway HS,"Waco, TX"
"Jaynes, Tyler",37,NB,6020,210,SR,Gatesville HS,"Gatesville, TX"
"Johnson, Michael",92,DT,6010,270,SO,Hightower,"Missouri City, Texas"
"Johnston, Clay",44,LB,6010,220,RS SO,Wylie HS,"Abilene, TX"
"Jones, Marques",86,WR,6020,200,RS SO,McKinney HS,"McKinney, Texas"
"Jones, Quan",12,TE,6040,215,SR,East HS,"Wylie, Texas"
"Jones, Will",98,DT,6010,265,RS FR,Prestonwood Christian Academy,"Plano, Texas"
"Jones, Xavier",94,DE,6030,245,RS JR,Magnolia West HS,"Magnolia, TX"
"Jones Jr., Lenoy",32,LB,5110,225,RS SO,Midway HS,"Waco, TX"
"Justice, Dalton",62,OL,6020,325,SO,Thomas-Fay Custer HS,"Thomas, Okla."
"Keith, Khalil",0,OL,6050,320,FR,Winterboro,"Alpine, Ala."
"Kelly, Chad",30,LB,6010,210,RS FR,Faith Christian School,"Grapevine, Texas"
"Kelly, Clint",44,LS,6010,230,JR,Grapevine HS,"Grapevine, Texas"
"Klinge III, Henry",0,OL,6050,305,FR,Carroll,"Southlake, Texas"
"Koym, Jarrod",29,S,5110,200,RS JR,Midland Christian HS,"Odessa, TX"
"Lawrence, Patrick",77,OL,6050,310,RS JR,Waxahachie HS,"Waxahachie, TX"
"Lewis, Ira",97,DT,6030,300,RS JR,Lamar HS,"Houston, TX"
"Lewis, Trevon",0,S,6000,190,FR,Lamar,"Houston, Texas"
"Lockhart, James",55,DE,6030,260,JR/TR,Ennis,"Ennis, Texas"
"Logan, Ashton",0,LB,6020,220,FR,Temple,"Temple, Texas"
"Lovett, Johnathan",0,RB,6020,195,FR,Cherokee,"Burlington, N.J."
"Lutzel, Chris",51,DS,5090,205,RS SO,South lake Christian Academy,"Huntersville, N.C."
"Lynch, Blake",82,WR,6030,210,RS SO,Gilmer HS,"Gilmer, TX"
"Lynch, James",0,DL,6040,285,FR,Round Rock,"Round Rock, Texas"
"Malin, Josh",79,OL/TE,6050,275,RS JR,Steele HS,"Cibolo, TX"
"Martin, Connor",34,K/P,5090,175,SO,Centennial,"Frisco, Texas"
"Matiscik, Ross",46,LB,6000,220,RS SO,McKinney Boyd HS,"McKinney, Texas"
"Maxwell, Cole",0,DL,6050,245,FR,Allen,"Allen, Texas"
"McNair, Michael",58,LB,6020,215,RS FR,Plano East,"Richardson, Texas"
"McVea, Jairon",42,S,5110,175,RS FR,George Ranch HS,"Richmond, Texas"
"Miller, Chris",16,S,6000,185,SO,Lone Star,"Frisco, Texas"
"Miller, Ryan",0,OC,6020,290,FR,Carroll,"Southlake, Texas"
"Mims, Denzel",15,WR,6030,200,SO,Daingerfield,"Daingerfield, Texas"
"Moore, Jason",0,OL,6030,295,FR,Independence,"Frisco, Texas"
"Moore, Kaleb",39,WR,6000,205,SR,Cy-Fair HS,"Cypress, Texas"
"Morris, Andrew",91,DT,6020,285,RS JR,John Horn HS,"Mesquite, TX"
"Morrison, Russell",39,WR,5110,190,RS FR,Cinco Ranch HS,"Katy, Texas"
"Murphy, Blake",81,WR,6000,170,SR/TR,El Toro HS,"Lake Forest, Calif."
"Nance, Brian",15,DE,6030,250,SR/TR,Euless Trinity HS,"Euless, Texas"
"Newman, Xavier",0,OL,6030,300,FR,DeSoto,"DeSoto, Texas"
"Nicholson, Tony",13,WR,5100,185,RS SO,South Grand Prairie HS,"Grand Prairie, TX"
"Ogbonnaya, Chidi",0,DL,6050,260,FR,Langham Creek,"Houston, Texas"
"Ogor, Eric",49,NB,5110,205,RS SO,Foster HS,"Richmond, TX"
"Okeke, Obim",23,RB/WR,6000,220,RS SO,Bishop Gorman HS,"Las Vegas, Nev."
"Pelzel, Josh",70,OL,6060,320,RS JR,Rockdale HS,"Rockdale, TX"
"Pitre, Jalen",24,DB,6000,195,FR,Stafford,"Stafford, Texas"
"Platt, Chris",14,WR,5110,170,RS JR,Willis HS,"Willis, TX"
"Porter, Maurice",76,OL,6060,310,SR/TR,Marshall HS,"Missouri City, TX"
"Preciado, Rajah",25,S,5100,185,SO,College Station,"College Station, Texas"
"Roberts, Greg",52,DE,6050,260,RS JR,Nagadoches HS,"Nagadoches, TX"
"Rodoni, Thor",67,LS,6010,230,SO,Pacheco HS,"Los Banos, Calif."
"Roy, Bravvion",95,DT,6010,320,SO,Spring HS,"Spring, Texas"
"Russell, Daniel",63,OL,6010,340,SR/TR,Garland HS,"Garland, Texas"
"Saulin, Rob",0,DL,6050,250,FR,Pennsville Memorial,"Pennsville, N.J."
"Schrepfer, Wyatt",31,RB,5100,205,SR/TR,Hoehne,"Trinidad, Colo."
"Sells, Taion",26,S,5080,190,SR,MacArthur HS,"Irving, Texas"
"Simmons, Tyrae",50,OG,6040,300,SR/TR,Ridgeland-Hardeeville,"Visalia, Calif."
"Smith, Abram",28,RB,6010,195,FR,Abilene,"Abilene, Texas"
"Smith, KJ",56,DE,6010,260,SR,Centennial HS,"Frisco, Texas"
"Smith, Zach",13,QB,6030,235,SO,Grandview HS,"Grandview, Texas"
"Sneed, R.J.",19,WR,6020,185,FR,Cypress Ranch,"Cypress, Texas"
"Solomon, Anu",12,QB,6010,200,RS SR/TR,Bishop Gorman,"Las Vegas, Nev."
"Stricklin, Pooh",11,WR,6020,185,RS SO,Midway HS,"Waco, Texas"
"Tecklenburg, Sam",88,TE,6030,270,RS SO,Plano HS,"Plano, TX"
"Texada, Raleigh",13,S,5100,165,RS FR,Centennial,"Frisco, Texas"
"Thompson, B.J.",0,DL,6060,220,FR,England,"England, Ark."
"Threet, Jim",71,OL,6050,345,SO,Sunnyvale HS,"Sunnyvale, Texas"
"Thrift, Tanner",57,OT,6050,320,SR,Hutto HS,"Hutto, Texas"
