Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Kendall",21,SS,6010,217,RS JR,All Saints Episcopal,"Fort Worth, TX"
"Adler, Ben",0,OL,6040,310,FR,Trinity Academy,"Wichita, Kan."
"Anctil, Devin",21,P,6000,216,RS SO/TR,N/A,"Lenexa, Kan."
"Ball, Kyle",44,DE,6020,241,SO,Shawnee Mission East,"Prairie Village, Kan."
"Barnes, Alex",34,RB,6000,221,RS SO,Pittsburg,"Pittsburg, Kan."
"Barry, Brogan",18,CB,6020,198,SR,Hayden HS,"Topeka, Kan"
"Barta, Mason",36,FB,6020,220,FR,Holton,"Holton, Kan."
"Beecham, Abdul",61,OL,6030,304,JR/TR,Judson,"Judson, Texas"
"Brown, Joshua",0,DB,6010,205,FR,Langston Hughes,"Fairburn, Ga."
"Burns, Tyler",33,RB,5110,209,RS FR,Trinity Academy,"Wichita, Kan."
"Burris, Wesley",49,LS,6000,195,RS FR,Olathe East,"Olathe, Kan."
"Clark, Davis",93,DT,6020,260,RS SR,Blue Valley West HS,"Overland Park, Kan"
"Cook, Konnor",40,FB,6000,241,SR/TR,Louisburg,"Louisburg, Kan."
"Copeland, Mitch",91,DL,6000,263,RS JR,Collegiate,"Wichita, KS"
"Couch, Dylan",54,OL,6010,284,RS FR,Pryor,"Pryor, Okla."
"Craft, Javier",27,DB,5100,170,FR,Cheery Creek,"Greenwood Village, Colo."
"Creed, Harrison",0,OL,6050,310,FR,Ulysses,"Ulysses, Kan."
"Curl, Evan",72,OL,6050,280,RS SO,Flower Mound HS,"Flower Mound, Texas"
"Davis, Xavier",0,DE,6060,250,JR/TR,Red Mountain,"Phoenix, Ariz."
"Delton, Alex",5,QB,6000,201,RS SO,Hays,"Hays, Kan."
"Dimel, Winston",38,FB,6010,235,RS JR,Manhattan HS,"Manhattan, KS"
"Dishon, Trey",99,DL,6020,300,RS SO,Horton HS,"Horton, Kan."
"Durham, Johnathan",6,DB,6000,180,RS SO,Aledo HS,"Aledo, Texas"
"Ertz, Jesse",16,QB,6030,212,RS SR,Mediapolis HS,"Burlington, Iowa"
