Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adeniji, Hakeem",78,OL,6040,290,SO,Garland HS,"Garland, Texas"
"Aql, Mazin",52,DE,6020,230,RS SO,Blue Valley HS,"Stillwell, Kan."
"Armstrong Jr, Dorance",2,DE,6040,246,JR,North Shore HS,"Houston, Texas"
"Ash, Kellen",97,LB,6030,285,RS SR,Parkway South HS,"Manchester, Mo."
"Ayinde, Shola",15,CB,6000,175,RS FR,George Ranch HS,"Houston, Texas"
"Baldwin, Charles",72,OL,6050,305,JR/TR,Windsor,"Windsor, Conn."
"Bean, Isaiah",19,DE,6040,220,SO,Summer Creek,"Humble, Texas"
"Bender, Peyton",7,QB,6010,190,JR/TR,Cardinal Gibbons,"Fort Lauderdale, Fla."
"Booker, Jeremiah",88,WR,6020,200,JR,College Station HS,"College Station, Texas"
"Bostick, Earl",0,OL,6060,270,FR,Barnwell,"Barnwell, S.C."
"Bragg, Jacob",55,OC/OG,6040,291,RS JR,Nacogdoches HS,"Nacogdoches, TX"
"Brungardt, Cole",0,K,6050,200,FR,Lawrence,"Lawrence, Kan."
"Burt, Sam",0,DL,6040,240,FR,Abilene,"Abilene, Kan."
"Chandler, Julian",25,CB,6000,185,SO,Hightower,"Missouri City, Texas"
"Charlot, Daylon",2,WR,6000,195,SO/TR,Patterson,"Patterson, La."
"Clark, Malik",61,OT,6050,320,SO,Warren Easton,"New Orleans, La."
"Cole, Antonio",0,S,6000,198,JR/TR,Edmond North,"Tulsa, Okla."
"Davis, Deelsaac",99,DT,6030,300,SR/TR,Andover HS,"Wichita, Kan."
"Defense, Hasan",3,CB,5110,180,SO/TR,Atlantic Coast,"Jacksonville, Fla."
"Dezir, Jacky",54,DT,6010,290,SR/TR,Bowen HS,"Chicago, Ill."
"Dineen, Jay",0,LB,6020,235,FR,Free State,"Lawrence, Kan."
"Dineen, Joe",29,LB,6020,230,RS JR,Free State HS,"Lawrence, KS"
"Durley, Cam",71,OL,6060,300,SO,Houston Christian HS,"Houston, Texas"
"Ehambe, John",17,LB,6030,247,RS JR,Prime Prep Academy,"Arlington, TX"
"Evans, Denzell",23,RB,5110,215,SR/TR,Bellaire,"Houston, TX"
"Fairs, Evan",19,WR,6030,195,SO,Foster,"Richmond, Texas"
"Feaster, Denzel",18,LB,6030,220,JR,Manor HS,"Austin, Texas"
"Ford, DeAnte",27,CB,5100,175,RS SO,Ridge Point HS,"Missouri City, Texas"
"Frazier, Antione",75,OT,6040,285,SO,Hargrave,"Huffman, Texas"
"Gibson, Joe",77,OC,6030,305,RS SR,Rockhurst HS,"Prairie Village, Kan"
"Gilbertson, Joey",0,OL,6040,285,FR,Wichita Northwest,"Wichita, Kan."
"Gonzalez, LaQuivionte",1,WR,5100,176,SR/TR,Cedar Hill,"Cedar Hill, Texas"
"Hall, Hudson",49,LB,6020,220,JR,Westlake HS,"Austin, Texas"
"Hampton, Quan",0,WR,5080,170,FR,Texas,"Texarkana, Texas"
"Harrell, Chase",3,WR,6040,215,RS SO,Hargrave HS,"Huffman, Texas"
"Hartzog, Jr, Bobby",5,WR,5110,195,SR,Westside HS,"Houston, TX"
"Hayes, Kolin",63,LS,5110,205,RS FR,Park Hill HS,"Kansas City, Mo."
"Herbert, Khalil",10,RB,5090,200,SO,American Heritage,"Fort Lauderdale, Fla."
