Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Abdul",23,RB,5100,205,SO,Hillside,"Durham, N.C."
"Alvarez, Jonathan",68,OG,6030,321,SR,Horn HS,"Mesquite, TX"
"Anderson, Rodney",24,RB,6020,223,RS SO,Katy HS,"Katy, TX"
"Andrews, Mark",81,TE,6050,253,RS JR,Desert Mountain HS,"Scottsdale, AZ"
"Badet, Jeff",0,WR,6000,180,SR/TR,Freedom,"Orlandon, Fla."
"Barnes, Robert",0,DB,6030,200,FR,Carroll Senior,"Southlake, Texas"
"Basquine, Nick",83,WR,5110,198,RS JR,Norman North HS,"Norman, OK"
"Baum, Tanner",34,DB,6000,195,SO/TR,Midwest Prep Academy,"Orland Park, Ill."
"Beal, Emmanuel",14,OLB,6000,214,SR/TR,Reynoldsburg,"Reynoldsburg, Ohio"
"Bissoon, Najee",20,RB,5050,159,RS SR/TR,Summer Creek HS,"Humble, Texas"
"Bledsoe, Amani",72,DE,6040,276,SO,Lawrence,"Lawrence, Kan."
"Bolton, Curtis",18,LB,6000,219,RS JR,Vista Murrieta HS,"Murrieta, CA"
"Bradshaw, Malik",34,DB,5100,181,RS SO,Frisco,"Frisco, Texas"
"Broiles, Justin",25,DB,5100,167,FR,John Marshall,"Oklahoma City, Okla."
"Brooks, Kennedy",0,RB,6000,195,FR,Mansfield,"Mansfield, Texas"
"Brown, Marquise",5,WR,5110,157,SO/TR,Chaminade Madonna,"Hollywood, Fla."
"Brown, Orlando",78,OT,6080,260,RS JR,Peachtree Ridge HS,"Duluth, GA"
"Brown, Tre",0,DB,5110,180,FR,Union,"Tulsa, Okla."
"Calcaterra, Grant",80,TE,6030,220,FR,Santa Margarita Catholic,"Rancho Santa Margarita, Calif."
"Castiglione Jr., Joe",29,FB,5100,179,RS SO,Mount St. Mary,"Norman, Okla."
"Clark, Reece",14,QB,6030,209,RS SO,Cypress Woods HS,"Cypress, Texas"
"Daley, K'Jakyre",0,LB,6020,215,FR,Suncoast,"Riviera Beach, Fla."
"Dalton, Alex",63,OC,6040,295,RS JR,Troy HS,"Troy, OH"
"DeBerry, Ricky",22,ILB,6020,244,RS SO,Atlee HS,"Mechanicsville, VA"
"Draper, Levi",6,LB,6020,214,FR,Collinsville,"Collinsville, Okla."
"Ealy, Adrian",0,OL,6060,280,FR,East Ascension,"Gonzales, La."
"Evans, Bobby",71,OG,6040,316,RS SO,Allen HS,"Allen, TX"
"Farrar, Zach",12,WR,6030,209,RS FR,Southlake Carroll HS,"Southlake, Texas"
"Flowers, Dimitri",36,FB,6020,245,SR,Churchill HS,"San Antonio, TX"
"Ford, Cody",74,OL,6040,363,RS SO,Pineville HS,"Pinevill, LA"
"Gallimore, Neville",90,DT,6030,321,RS SO,Canada Prep Football Academy,"St. Catherines, ON, CA"
"Gumbs, Addison",15,LB,6030,218,FR,Stellar Preparatory,"Hayward, Calif."
"Hall, Jeremiah",27,FB,6010,229,FR,Zebulon B. Vance,"Charlotte, N.C."
"Harper, Casey",41,FB,6000,217,FR,Argyle,"Argyle, Texas"
