Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Jack",14,QB,6030,220,RS FR,Providence,"St. Petersburg, Fla."
"Alexander, Isaiah",25,CB,5070,177,SR,Smoky Hill,"Aurora, Colo"
"Altman, Garrett",63,OC,6040,295,SR,Brenham High School,"Brenham, Texas"
"Anderson, Darius",6,TB,5110,205,SO,George Ranch HS,"Rosenburg, Texas"
"Austin, Jaelan",15,WR,6020,202,JR,South Grand Prairie,"Grand Prairie,TX"
"Awolope, Sam",76,OT,6060,292,RS SO,Fort Bend Marshall,"Missouri City, TX"
"Banogu, Ben",15,DE,6040,240,RS JR/TR,Prosper,"McKinney, TX"
"Bethley, Corey",0,DL,6020,302,FR,Katy,"Katy, Texas"
"Blacklock, Ross",90,DT,6040,326,RS FR,Elkins HS,"Missouri City, Texas"
"Boesen, Matt",9,DE,6040,235,SR/TR,West HS,"Torrance, Calif."
"Bolisomi, David",62,OT,6060,325,RS SO,Ryan,"Denton,TX"
"Bowen, Brandon",41,DE,6040,235,SO,Byron Nelson HS,"Trophy Club, Texas"
"Boyd, Stacy",39,TB,5050,150,SR,Western Hills,"Fort Worth, Texas"
"Bradley, Chris",56,DT,6020,275,SR,Evangel Christian,"Shreveport, La."
"Broadnax, Joseph",54,DT,6000,308,JR,Bryan Adams,"Dallas,TX"
"Bunce, Cole",37,P/K,5100,165,SO,Bellarmine College Prep,"San Jose, Calif."
"Bush, Alex",0,LB,6020,230,JR/TR,La Habra,"La Habra, Calif."
"Cahill, Donovan",50,SN,6010,200,RS FR,Summit HS,"Summit, N.J."
"Carroll, Michael",43,WR,6010,170,JR,Beavercreek,"Beavercreek,Ohio"
"Chambers, Isaiah",99,DE,6040,261,RS FR,Aldine MacArthur HS,"Houston, Texas"
"Collier, L.J.",91,DE,6040,279,RS JR,Munday,"Munday, Texas"
"Collins, Dennis",0,DL,6020,248,FR,West Monroe,"West Monroe, La."
"Cominos, Nick",75,OL,6020,292,RS FR,Dakota HS,"Macomb, Mich."
"Cooper, Terrell",0,DL,6020,260,FR,Lindale,"Lindale, Texas"
"Daniels, Noah",0,DB,6000,195,FR,Clear Creek,"League City, Texas"
"David, Andrew",22,PK,5090,179,SO/TR,Washington,"Massillon, Ohio"
"Davis, Al'Dontre",0,WR,6000,190,FR,Lutcher,"Lutcher, La."
"Davis, Daythan",47,FB/TE,6020,245,JR/TR,Aledo,"Cresson, Texas"
"Davis, Pakamiaiaea",42,FB,6020,230,RS JR,Kamehameha,"Kailua-Kona, Hawaii"
"Devereaux, Davis",43,LB,6010,220,JR,Parish Episcopal,"Dallas,TX"
