Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allsup, Austin",69,OL,6030,300,RS JR,Lorena,"Austin,TX"
"Anderson, Alex",63,OL,6030,310,RS JR,Landry-Walker,"New Orleans,LA"
"Beck, Andrew",47,TE,6040,255,SR,Plant,"Tampa, Fla."
"Becker, Mitchell",38,P,6030,195,RS SR,Clear Creek,"League City, Texas"
"Bernard, Roderick",27,WR,5100,185,SR,Sharpstown,"Houston, Texas"
"Bimage, Marqez",0,LB,6020,230,FR,Brenham,"Brenham, Texas"
"Bonney, John",24,SS,6010,200,RS JR,Lamar,"Houston, Texas"
"Boyce, Kobe",0,DB,6000,164,FR,Lake Dallas,"Corinth, Texas"
"Boyd, Demarco",36,LB,6010,245,RS FR,Gilmer,"Gilmer, Texas"
"Boyd, Kris",2,CB,6010,195,JR,Gilmer,"Gilmer,TX"
"Brewer, Cade",0,TE,6030,210,FR,Lake Travis,"Austin, Texas"
"Brown, Chris",15,S,5110,210,RS FR,Alief Elsik,"Houston, Texas"
"Buechele, Shane",7,QB,6010,205,SO,Lamar,"Arlington, Texas"
"Burt, John",1,WR,6030,200,JR,Lincoln,"Tallahassee,FL"
"Carr, Trevor",33,DB,6010,210,SO,Tyler,"Tyler, Texas"
"Carter, Toneil",30,RB,6000,205,FR,Langham Creek,"Houston, Texas"
"Chisholm, Jamari",0,DL,6040,299,JR/TR,Valdosta,"Valdosta, Ga."
"Christmas, D'Andre",98,DT,6020,315,SO,St Augustine,"New Orleans, La."
"Cosmi, Samuel",0,OL,6060,279,FR,Atascocita,"Fort Worth, Texas"
"Covey, Josh",18,QB,6010,200,RS SO,East View,"Georgetown, Texas"
"Cuffee, Eric",26,CB,5110,195,RS FR,Waco,"Waco, Texas"
"Cummins, Max",0,DE,6050,243,FR,All Saints Episcopal HS,"Fort Worth, Texas"
"Cuney, Terrell",51,OC,6030,315,RS JR,Jasper,"Jasper, Texas"
"Curtis, Davion",16,WR,6010,190,RS FR,Temple,"Temple, Texas"
"Daniels, Chris",99,DT,6030,330,RS FR,Trinity,"Euless, Texas"
"Davis, Antwuan",7,CB,6010,200,SR,Bastrop,"Bastrop, Texas"
"Davis, Davante",18,CB,6030,205,JR,Booker T. Washington,"Miami,FL"
"Delance, Jean",74,OT,6050,320,SO,North Mesquite,"Mesquite, Texas"
"Dickson, Michael",37,P,6030,205,JR,Australian Institute of Sport,"Sydney, Australia"
"Durst, Jarmarquis",28,DB,6010,205,RS JR/TR,Oak Ridge HS,"Conroe, Texas"
"Duvernay, Devin",2,WR,6010,205,SO,Sachse,"Sachse, Texas"
"Duvernay, Donovan",27,DB,5090,190,RS FR,Sachse,"Sachse, Texas"
"Ehlinger, Sam",11,QB,6020,225,FR,Westlake,"Austin, Texas"
"Elliott, DeShon",4,FS,6020,205,JR,Rockwell-Heath,"Rockwell, Texas"
"Estell, Montrell",0,DB,6010,185,FR,Hooks,"Hooks, Texas"
"Fehr, Chris",89,TE,6030,240,RS JR,McNeil,"Austin, Texas"
"Fitzgerald, Andrew",48,DE,6060,265,RS FR,Marcus,"Flower Mound, Texas"
"Ford, Poona",95,DT,6010,310,SR,Hilton Head,"Hilton Head, S.C."
"Foreman, Armanti",3,WR,6010,215,SR,Texas City,"Texas City, Texas"
