Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Zach",70,OT,6060,320,RS FR,Riverbend,"Fredericksburg, Va."
"Addison, Quincy",0,DB,6010,185,FR,Angelton,"Angleton, Texas"
"Akamnonu, Madison",58,OT,6050,320,RS SO,Bowie,"Arlington,TX"
"Allen, Dakota",0,LB,6010,235,JR/TR,N/A,"Humble, Texas"
"Allen, Kisean",38,S,5110,180,RS JR,Poteet,"Mesquite, TX"
"Anderson, Jack",56,OL,6050,315,FR,Frisco,"Frisco, Texas"
"Anunda, Matthew",42,LB,5090,205,RS FR,Arlington,"Arlington, Texas"
"Austin, Zach",19,WR,5110,195,RS SR,Lake Travis,"Austin, Texas"
"Barden, Michael",49,PK,5100,180,RS JR,Westlake,"Austin, Texas"
"Barnes, Zach",12,DE,6030,250,SR,Grayson,"Loganville, Ga."
"Batson, Cameron",13,WR,5090,170,SR,Millwood,"Oklahoma City, Okla."
"Bowman, De'Quan",17,WR,5110,190,RS JR/TR,Millville,"Millville, N.J."
"Brooks, Jordyn",20,MLB,6010,240,SO,Stratford,"Houston, Texas"
"Bruffy, Travis",79,OT,6060,305,SO,Ridge Point,"Missouri City, Texas"
"Cantrell, Dylan",14,WR,6030,220,SR,Whitehouse,"Whitehouse, Texas"
"Carr, Tyler",93,DL,6040,240,FR,Canadian,"Amarillo, Texas"
"Carter, Mclane",6,QB,6030,215,SO/TR,Gilmer,"Gilmer, Texas"
"Coleman, Douglas",25,WR,6010,185,SO,Zachary HS,"Zachary, La."
"Coutee, Keke",20,WR,5110,180,JR,Lufkin,"Lufkin,TX"
"Davis, John",0,DB,6010,180,FR,Trinity,"Euless, Texas"
"Deaton, Dawson",73,OL,6060,295,FR,Frisco,"Frisco, Texas"
"Delagarza, John",37,PK,6020,200,RS FR,Allen,"Allen, Texas"
"Dorsey, Vaughnte",15,DB,5110,200,JR/TR,Cleveland,"Cleveland, Miss."
"Erwin, Cade",47,DB,5110,185,SO/TR,Marcus,"Flower Mound, Texas"
"Farrar, Will",74,OL,6050,320,FR,Travis,"Richmond, Texas"
"Felton, Demarcus",27,RB,5070,195,RS JR,Dekany,"Houston, TX"
"Fields, Damarcus",23,CB,6000,200,RS FR,Taylor,"Taylor, Texas"
"Frye, Adrian",0,DB,6010,175,FR,Eisenhower,"Houston, Texas"
"Garrett, Colt",18,QB,6010,195,RS FR,Roosevelt HS,"Lubbock, Texas"
