Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Michael",0,DT,6020,307,FR,Chattooga,"Summerville, Ga."
"Allen, Jalen",0,OL,6040,296,JR/TR,Pike,"Indianapolis, Ind."
"Anthony, Matt",29,DB,6010,174,RS SO,Wake Forest,"Wake Forest, N.C."
"Asher, Christian",45,LB,6010,226,RS JR,Woodberry Forest,"Charlottesville,VA"
"Barden, Brooks",12,QB,6020,205,RS JR,Cartersville,"Cartersville,GA"
"Bent, Cameron",0,WR,6000,180,FR,Bluffton,"Bluffton, S.C."
"Bernard, Sean",32,LB,6030,235,RS JR/TR,North,"Wichita, Kan."
"Bostick, Trent",81,WR,6000,205,RS SR,Richmond Senior,"Rockingham,NC"
"Brown, Chris",51,OT,6030,313,RS JR,Vance,"Charlotte,NC"
"Butler, Anthony",42,LB,6020,203,SO,Vance,"Charlotte, N.C."
"Carriere, Ryan",85,H,6040,237,RS FR,Grayson,"Loganville, Ga."
"Carroll, Nick",91,DE,6050,255,RS SR,Cardinal Gibbons,"Cary,NC"
"Cheatem, Robert",36,DB,6010,181,RS FR,Bishop Moore,"Orlando, Fla."
"Clark, Cameron",71,OL,6050,279,RS SO,Ben L.Smith,"Greensboro,NC"
"Corbett, Kyle",39,P/K,6000,190,RS FR,Pinecrest,"Pincrest, N.C."
"Covington, Anthony",23,CB,5110,184,RS SR,Mallard Creek,"Charlotte,NC"
"Cunningham, Brooks",21,WR,6020,185,JR/TR,Louisburg,"Wake Forest, N.C."
"Darley, Cam",56,LB,6030,256,JR,Manning,"Manning,SC"
"Davis, Markevis",31,S,6020,195,SR,Ashville,"Ashville,NC"
"Davis, Nate",64,OG,6030,299,RS JR,Stone Bridge,"Ashburn,VA"
"Deluca, Ben",28,S,6020,192,SO,Bishop Moore Catholic,"Orlando, Fla."
"Doctor, Tommy",90,DL,6050,253,RS SO,Fork Union,"Buffalo, N.Y."
"Dollar, Cameron",0,WR,6020,195,FR,East Lincoln,"Denver, N.C."
"Drake, Darren",60,OG,6030,324,JR,Luella,"McDonough,GA"
"Duncan, Alex",12,CB,5100,185,RS JR/TR,Chapel Hill,"Chapel Hill, N.C."
"Duncan, Garrison",33,LB,6020,237,RS SR,East Forsyth,"Kernersville,NC"
"Duncan, Kameron",0,RB,5100,195,FR,West Port,"Ocala, Fla."
"Duncan, Zach",52,DE,6040,259,RS JR,East Forsyth,"Kernersville,NC"
"Eachus, Ryan",84,H,6020,245,JR/TR,Mission Viejo,"Mission Viejo, Calif."
"Eason, Jean",0,OL,6030,285,JR/TR,Skyline,"Oakland, Calif."
"Ellis, Ben",82,WR,5100,180,RS FR,Davie,"Mocksville, N.C."
"Emmanuel, D'Mitri",0,OL,6030,300,FR,Marvin Ridge,"Waxhaw, N.C."
"Fain, Tyler",62,DL,6040,289,RS JR,Indian River,"Chesapeake,VA"
