Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Al-Shaair, Azeez",2,LB,6020,220,JR,Hillsborough,"Tampa, FL"
"Bagner, Ernest",0,DE,6030,225,JR/TR,Mayfair,"Paramount, Calif."
"Bain, Reggie",58,OT,6040,300,RS JR,Miami Central,"Miami, FL"
"Ball Jr., Robert",25,RB,6010,215,JR/TR,Armwood/Strawberry Crest,"Tampa, Fla."
"Barnwell V, Hosea",54,MLB,6000,210,SO,American Senior,"Miami, Fla."
"Beck, Bryan",62,OL,6060,290,RS SO,Franklin,"Franklin, WI"
"Belvin III, David",33,DE,6030,260,SO,Palmetto,"Palmetto, Fla."
"Bennett, Anthony",97,DL,6030,245,RS SO,Cypress Bay,"Weston, Fla."
"Biancardi, Ean",51,OL,6050,311,RS FR,Lake Wales,"Lake Wales, Fla."
"Blackmon, Jacoby",61,DL,6020,290,RS JR,Glades Central,"Belle Glade, Fla."
"Bonner, Tim",0,DE,6050,225,RS SO/TR,Demopolis,"Demopolis, Ala."
"Bowens, Dustin",10,TE,6040,250,RS JR,Flagler,"Palm Coast, FL"
"Breshears, Jack",75,OL,6050,300,RS SO,Batavia,"Batavia, IL"
"Brown, Da'Von",27,DB,6000,185,SO,Royal Palm Beach,"Belle Glade, Fla."
"Brown, Tyrone",61,DT,6030,260,RS FR,Port St. Lucie,"Belle Glade, Fla."
"Brunson, James",2,WR,6000,180,RS SO,Fort Myers,"Fort Myers, FL"
"Bryant, Harrison",40,TE,6050,225,SO,John Milledge Academy,"Gray, Ga."
"Burden, Khantrell",49,LB,6010,220,JR,Everglades,"Miramar, FL"
"Burriss, Jovon",0,DB,6010,190,JR/TR,Seneca Valley,"Germantown, Md."
"Bussey, Henry",1,RB,5090,180,SR,Hialeah,"Opa Locka, FL"
"Cannon, Dasean",40,DB,5100,170,JR,Miami Palmetto Senior,"Homestead, Fla."
"Cartwright, Joshua",18,QB,6010,180,RS SO,American,"Miami, Fla."
"Charles, James",28,RB,5100,200,RS FR,St. Thomas Aquinas,"Pompano Beach, Fla."
"Clancy, JR",93,LS,5110,235,RS SO,Sarasota,"Sarasota, Fla."
"Clark, Marcus",20,DB,5080,190,RS SR,North Florida Christian,"Tallahassee, FL"
"Clement, Bradley",16,LB,5110,225,SO,American Heritage-Plantation,"North Lauderdale, Fla."
"Corgelas, Abdias",20,S,6000,195,SR,Fort Myers,"Fort Myers, Fla."
"Cousart, Dante",89,WR,5100,160,RS SO,Assumption College,"Jupiter, Fla."
"Daub, Kain",0,LB,6040,243,Fr.,Sandalwood,"Jacksonville, FL"
"Davis, William",42,DT,6000,275,SO,Fort Piece Central,"Fort Piece, Fla."
"Dell, Collin",90,DL,6020,255,SO,Oviedo,"Winter Springs, Fla."
"Douglas, Jacob",45,LB,5100,220,JR,Mandarin,"Jacksonville, FL"
"Driskel, Jason",16,QB,6020,210,RS JR,Hagerty,"Oviedo, FL"
"Dudley-Gordon, Marquese",4,SS,6000,205,RS JR,Cypress Bay,"Plantation, FL"
"Ellis, Ray",11,DT,6010,285,RS JR,Holy Spirit,"Egg Harbor Township, NJ"
"Etienne, B.J.",0,OL,6030,295,FR,St. Thomas Aquinas,"Greenacres, Fla."
"Fernandez, Roman",77,OC,6000,305,RS SR,Seminole Ridge,"West Palm Beach, FL"
"Fiddis, Kevin",30,S,5100,185,RS FR,William T. Dwyer,"West Palm Beach, Fla."
"Frank, Steven",12,QB,6040,225,RS FR,Oswego,"Oswego, Ill."
"Fuse, Da'Kwon",96,DT,6030,295,RS JR,William T. Dwyer,"West Palm Beach, Fla."
"Gilbert, Zyon",0,DB,6010,180,FR,Jefferson Davis,"Montgomery, Ala."
"Hafiz, Quran",9,DB,6000,185,FR,Sandalwood,"Jacksonville, Fla."
"Harris, Kris",31,LB,6000,225,RS JR,Godby,"Tallahassee, FL"
"Harris, Ladante",84,WR,5100,170,RS SO,Sebring,"Sebring, FL"
"Harrison, Tavaris",7,WR,6030,187,RS SO,North Miami Senior,"North Miami, FL"
"Hawkins, Robert",0,OL,6060,335,Unk.,American Heritage,"Fort Lauderdale, Fla."
"Hearns, Gerald",29,RB,5080,208,RS JR,William T. Dwyer,"West Palm Beach, Fla."
"Helm, Jordan",35,S,6020,182,RS FR,Bartram Trails,"Jacksonville, Fla."
"Hooper, Chase",0,DL,6020,270,FR,Milton,"Atlanta, Ga."
"Horton, Damian",55,DE,6030,250,JR/TR,Miami Killian Sr.,"Homestead, Fla."
"Houston, Denzel",0,ATH,6000,185,FR,Mainland,"Daytona, Fla."
"Howanitz, Jesse",83,TE,6040,210,RS FR,Trinity Catholic,"Ocala, Fla."
"Howell, Greg",9,RB,6010,215,SR,Coral Gables,"Coconut Grove, FL"
"Internicola, Nick",8,DE,6030,255,RS SR,University,"Pembrooke Pines, FL"
"Johnson, De'Andre",0,QB,6020,205,RS SO/TR,First Coast,"Jacksonville, Fla."
"Jones, Chris",72,OL,6050,285,RS JR,Cardinal Newman,"West Palm Beach, FL"
"Jones, Jake",71,OL,6000,295,RS FR,Seminole Ridge,"Loxahatchee, Fla."
"Joseph, Greg",17,PK/PT,6010,210,RS SR,American Heritage Delray,"Boca Raton, FL"
"Kendall, Josh",99,DT,6020,295,RS JR,Lehigh,"Lehigh Acres, Fl"
"Lasater, Chase",0,ATH,6020,235,FR,Trinity Christian Academy,"Orange Park, Fla."
"Lassiter, Jake",70,OL,6010,240,FR,Coral Springs,"Coral Springs, Fla."
"Leggett, Steven",56,DL,6010,290,JR,Glades Central,"Belle Glade, Fla."
"Leroy, Akileis",0,LB,5110,235,Unk.,Lee County,"Albany, Ga."
"Lewis, Shelton",3,CB,6000,185,JR,East River,"Orlando, FL"
"Lydon, Carson",0,LB,6020,245,JR/TR,East Lake,"Queen Creek, Arizona"
"McCarthy, Leighton",13,DE,6030,205,SO,Wekiva,"Apopka, Fla."
"McCrary, Kevin",48,DT,6020,285,SO,Mainland,"Dayton Beach, Fla."
"McGriff, D'Anfernee",0,ATH,6010,215,SO/TR,Leon,"Tallahassee, Fla."
"McGriff, Kyle",21,WR,5090,202,RS FR,Gainesville,"Gainesville, Fla."
