Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abrams, Shawn",84,WR,6040,175,SR,Fletcher,"Neptune Beach, Fla."
"Absheer, Kai",79,OG,6050,305,RS JR,St. Thomas Aquinas,"Oakland Park, FL"
"Alexander, Christian",8,QB,6030,221,RS SO,Lakeland Christian,"Lakeland, FL"
"Alexander, Maurice",3,QB,6000,180,RS SO,Booker T. Washington,"Homestead, Fla."
"Arbit, Hunter",54,LS,6040,216,SO,Palm Beach Gardens,"Palm Beach Gardens, Fla."
"Armour, Zach",80,TE,6030,212,RS FR,Cocoa,"Cocoa, Fla."
"Ashley, Wendell",48,CB,5100,186,RS FR,Coral Gables,"Miami, Fla."
"Blake, Trayvone",36,S,6010,190,RS JR,Ft. Lauderdale,"Ft. Lauderdale, Fla."
"Borregales, Jose",30,K,5100,195,RS FR,Booker T. Washington,"Miami, Fla."
"Bowes, Cody",0,OL,6040,275,FR,Miami Southridge,"Miami, Fla."
"Brooks, Romelo",0,ATH,6000,200,FR,Miami Killian,"Miami, Fla."
"Broome, John",92,DL,6020,241,RS JR,Plant City,"Plant City, FL"
"Brown, Andrew",3,CB,5090,174,SR,Decatur,"Decatur, Ga."
"Brown, Isaiah",13,CB,6010,178,SO,Tampa Bay Tech,"Tampa, Fla."
"Budwig, Jordan",66,OG,6040,324,RS SR,University School,"For Lauderdale, Fla."
"Caldwell, Dominic",7,QB,6020,169,RS FR,Riverview,"Sarasota, Fla."
"Canady, Bryce",38,DB,6000,193,SR,Paxon,"Jacksonville, Fla."
"Carey, Mac",83,TE,6020,245,JR,Leon,"Tallahassee, Fla."
"Colson, Rashad",0,DL,6060,295,FR,Miami Norland,"Miami, Fla."
"Connell, Dallas",60,OG,6030,283,SO,First Coast,"Jacksonville, Fla."
"Connell, Douglas",61,C,6030,288,RS FR,First Coast,"Jacksonville, Fla."
"Cooper, Shakur",40,OB,6010,217,SO,Coral Gables Senior,"Miami, Fla."
"Cruise, James",72,OG,6050,298,RS SR,Palm Beach Gardens,"Palm Beach Gardens, Fla."
"Curtis, Noah",0,DL,6060,230,FR,American Heritage,"Delray Beach, Fla."
"Cushion III, Olin",10,DB,5080,153,SO,Miami Central,"Miami, Fla."
"Dames, Richard",0,DB,511,175,FR,Booker T. Washington,"Miami, Fla."
"Dames, Rishard",0,DB,511,175,FR,Booker T. Washington,"Miami, Fla."
"Eakins, Deion",77,OL,6030,322,RS SO,Trinity Christian,"Jacksonville, Fla."
"Estinor, Jean",44,LB,6020,206,RS JR,North Miami,"North Miami, Fla."
"Flaig, Chris",68,OG,6050,302,SR,Vero Beach,"Vero Beach, FL"
"Gaiter IV, Anthony",16,WR,5090,178,SO,Westminster Christian,"Miami, Fla."
