Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abraham, Jack",2,QB,6000,198,RS FR,Oxford HS,"Oxford, Miss."
"Adeola, Charles",58,DE,6030,246,RS SO,Northshore HS,"Slidell, La."
"Allen, Tristan",0,LB,6040,225,FR,Atlanta,"Atlanta, Texas"
"Andrews, Jacorion",0,DB,6000,200,FR,Neville,"Monroe, La."
"Baker, Willie",85,DE,6030,240,RS FR,Livonia HS,"New Roads, La."
"Baldwin, Jordan",0,DB,6010,175,FR,Amite,"Amite, La."
"Barnes, Jonathan",10,K,5090,172,RS SR,Woodlawn HS,"Baton Rouge, La."
"Belton, Jon Randall",11,QB,6030,220,RS FR,West Monroe HS,"Monroe, La."
"Blankenship, Elliot",49,DB,6000,200,JR/TR,Jonesboro-Hodge HS,"Jonesboro, La."
"Bonnette, Rhashid",86,WR,6000,171,RS SO,Loreauville HS,"Loreauville, La."
"Bradford, Jordan",94,DT,6020,284,JR,St. Stanislaus HS,"Bay St. Louis, Miss."
"Brinson, Brandon",97,DE,6030,243,RS SO,Ellender HS,"Houma, La."
"Canty, Deldrick",50,DE,6020,261,SR,Scotlandville HS,"Baton Rouge, La."
"Carpenter, Shane",66,OT,6060,309,RS JR,Walker HS,"Walker, LA"
"Cleveland , Reggie",34,DB,6000,212,RS FR,Scotlandville,"Baton Rouge, La."
"Cole, Jaiden",0,ATH,6000,198,FR,Neville,"Monroe, La."
"Cooper, Secdrick",2,FS,6000,210,SR,Archbishop Shaw HS,"Marrero, La"
"Cousar, Zach",88,TE,6040,218,RS FR,Oxford HS,"Oxford, Miss."
"Craft, Jarred",3,RB,6000,213,SR,Haughton HS,Haughton LA
"Dancy, Jaqwis",20,RB,5110,197,RS SO,Junction City HS,"Junction City, Ark."
"Davenport, La'Dante",92,DT,6030,272,RS SO,Northwood HS,"Shreveport, La."
"Dugas, O'Shea",74,OL,6050,329,JR,Northside HS,"Lafayette, La."
"Dunn, Roland",40,CB,5100,167,SR,Evangel Christian Academy,"Shreveport, La"
"Durman, Brandon",44,LB,6020,224,JR,Tyler Lee HS,"Tyler, Texas"
"Dyer, Davan",14,P/K,6040,225,FR,N/A,"Gold Coast, Queensland"
"Edgar, Drew",68,DS,5100,235,RS JR/TR,Madison Central HS,"Madison, Miss."
"Englade, Gavin",31,WR,6000,170,RS SO,Lutcher HS,"Lutcher, La."
"Estes, Conner",0,OL,6050,290,FR,East Central,"Moss Point, Miss."
"Farlow, Brady",23,K,5110,185,SO/TR,Purvis,"Hattiesburg, Miss."
"Farris, Russell",31,IB,5110,224,SR,Livonia HS,"Ventress, La."
"Ferguson, Jaylon",45,DE,6050,255,RS JR,West Feliciana HS,"St. Francisville, La"
"Fleming, Dee",29,RB,5090,200,SO,Cathedral HS,"Natchez, Miss."
"Freeman, Donald",46,LB,6030,208,RS SO,Scotlandville HS,"Baton Rouge, La."
"Gaines, Marcus",16,WR,5060,156,SR,St. Paul's HS,"Covington, La."
"Garner, Keonatye",99,DE,6040,270,JR/TR,Murray HS,"Jackson, Miss."
"Gary, Travis",27,RB,5090,193,RS FR,Red River HS,"Coushatta, La."
"Gresham, Wes",35,WR,6000,176,RS SO,Cedar Creek HS,"Ruston, La."
"Hamilton, Devin",54,LB,5110,209,RS FR,Washington-Marion HS,"Lake Charles, La."
"Hannibal, Zach",18,DB,6000,171,RS FR,Ouachita HS,"Monroe, La."
"Hardy, Adrian",89,WR,6020,180,RS FR,Dekaney HS,"Houston, Texas"
"Hebert, Griffin",0,WR,6030,200,FR,St. Thomas Moore,"Lafayette, La."
"Hogan, Frasier",55,OLB,5100,220,RS SR,,
"Hogan, Randy",39,LB,6010,220,JR/TR,Pascagoula,"Pascagoula, Miss."
"Holly, Bobby",41,RB,6010,232,RS SO,Union Parish HS,"Farmerville, La."
"Hughes, Jonathan",82,WR,5100,192,RS JR,Barbe HS,"Lake Charles, La."
"Hurt, Kollin",0,DB,6030,180,FR,Gilmer,"Gilmer, Texas"
"Jackson, James",42,S,5110,210,RS SO,Haynesville HS,"Haynesville, La."
"Jackson, Roderick",42,WR,6000,165,RS SO,Ouachita Parish HS,"Monroe, La"
"Johnson, Cedric",91,DT,6020,306,RS JR,Rowlett HS,"Rowlett, Texas"
"Kendzior, Eric",47,DE,6030,242,SO,La Porte HS,"Deer Park, Texas"
"King, DaMarion",8,S,5110,203,SR/TR,Muscle Shoals,"Muscle Shoals, Ala."
"Kirkpatrick, Drew",55,OL,6030,310,JR/TR,Uvalde,"Uvalde, Texas"
"Kitchen, Ephraim",37,CB,5100,180,RS SO,South Panola HS,"Batesville, Miss."
"Lewis, Darryl",38,DB,5110,195,SO,Lusher HS,"New Orleans, La."
"Lewis, Ronald",14,WR,5110,194,RS JR/TR,West Jefferson,"Harvey, La."
"Lovett, DeVante",57,OL,6060,287,RS SO,Strong HS,"Strong, Ark."
"Madison, Kennedy",79,OL,6030,275,FR,Ouachita,"Monroe, La."
"Mason, Ka'Derrion",96,DL,6030,289,SO,McComb HS,"McComb, Miss."
"McCulloch, Kirkland",48,CB,6000,190,RS JR,C.E. Byrd,"Shreveport, La."
"McKnight, Kam",15,WR,6020,222,RS JR,East Feliciana HS,"Ethel, La."
