Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Anderson, Brad",11,RB,5080,170,FR,Bob Jones,"Huntsville, Ala."
"Anderson, Desmond",25,WR,5100,171,JR,Broome,"Pacolet, S.C."
"Archer, Brandon",0,S,6000,175,FR,Christian Brothers,"Memphis, Tenn."
"Armstrong, Miller",0,QB,6000,204,RS FR,Blackman,"Murfreesboro, Tenn."
"Austin, Sidney",0,S,6000,180,RS SO,Arlington,"Little Rock, Ark."
"Bailey, Peter",11,DE,6040,265,RS SR,Osceola,"Kissimmee, Fla."
"Banks, Kyle",10,QB,6020,198,RS FR,North Paulding,"Acworth, Ga."
"Behanan, Robert",74,OT,6030,297,RS JR,Fairfield HS,"Fairfield, OH"
"Black, Aidan",88,WR,6030,216,RS SO,Athens Academy,"Athens, Ga."
"Blair, Ricky",87,WR,6030,190,SR/TR,Los Altos,"Hacienda Heights, Calif."
"Blankenship, Reed",12,DB,6010,175,FR,West Limestone,"Athens, Ala."
"Bonadies, Matt",99,P,6010,199,JR,Buford,"Buford, Ga."
"Brady, Walter",56,DE,6030,268,RS JR/TR,Florence,"Florence, Ala/"
"Brewer, Chandler",73,OL,6060,313,JR,Florence,"Florence, Ala."
"Brooks, Khalil",16,LB,5110,204,RS SO,Benjamin E. Mays,"Atlanta, Ga."
"Brown, Justin",21,CB,6000,184,RS FR,A.H. Parker,"Birmingham, Ala."
"Brown, Tyshawn",34,S,6010,179,SO,Benjamin E. Mays,"Atlanta, Ga."
"Bruce, Jocquez",5,WR,5100,178,RS SO,South Doyle,"Knoxville, Tenn."
"Burke, Peyton",0,WR,5110,181,RS FR,Tates Creek,"Lexington, Ky."
"Bush, Wesley",0,DB,6010,186,JR/TR,Noxubee County,"Macon, Miss."
"Cardwell, Jim",38,WR,5090,169,RS JR,Boyd-Buchanan,"Chattanooga, TN"
"Carrothers, Jon",0,LB,6000,215,RS SO,Collierville,"Memphis, Tenn."
"Cobb, Zeke",84,WR,6030,202,FR,Dalton,"Dalton, Ga."
"Collins, Rosheem",96,DL,6010,310,JR/TR,Ware County,"Waycross, Ga."
"Craig, Dale",39,LB,6000,218,SO,Muscle Shoals,"Muscle Shoals, Ala."
"Dale, Alex",22,S,5100,212,RS SR/TR,Memphis University School,"Memphis, TN"
"Delfendahl, D.J.",76,OL,6040,272,FR,Mt. Juliet,"Mt. Juliet, Tenn."
"Dobbins, Elijah",78,OL,6040,275,FR,Oakland,"Franklin, Tenn."
"Dobson, Zack",0,WR,5080,165,FR,Fulton,"Knoxville, Tenn."
"Dunnum, Chris",0,WR,5110,180,RS JR/TR,Community Christian,"Miami, Fla."
"Dupree, Xavier",0,WR,5110,160,FR,South Gwinnett,"Decatur, Ga."
"Fannin, Josh",72,OL,6030,260,RS SO,Mill Creek,"Hoschton, Ga."
"Farrell-Burke, Kamau",36,DB,6030,180,JR/TR,Pickering,"Toronto, Canada"
"Felton, Caleb",41,LB,6010,198,RS FR,Muscle Shoals,"Muscle Shoals, Ala."
"Felton, DeMonte",0,CB,6000,178,RS JR,Richard Yoakley,"Knoxville, Tenn."
"Ferguson, Jordan",91,DT,6020,280,FR,Cartersville,"Atlanta, Ga."
