Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Addison, Brandon",1,CB,5100,175,RS SR,Nansemond Academy,"Suffolk, VA"
"Ajegwu, Prince",15,S,6030,201,RS FR,Eastern Tech,"Baltimore, Md."
"Appouh, Daniel",4,DE,6040,246,RS JR,Seneca Valley,"Germantown, MD"
"Arnold, Drayton",13,QB,6000,190,RS FR,Myrtle Beach,"Myrtle Beach, S.C."
"Barnett, Tony",74,OT,6040,316,RS SO,Nelson County,"Roseland, VA"
"Bernard, Casey",91,LB,6020,232,SO,St. Mary's Ryken,"White Plains, MD"
"Bernhard, Andre",17,FS,6020,201,SR,Mountain View,"Stafford, VA"
"Blue, Elijah",7,CB,6000,186,RS FR,Norview,"Norfolk, Va."
"Branch, Marvin",37,LB,6020,216,RS JR,Nansemond River,"Suffolk, VA"
"Brickhouse, Jamez",5,CB,5100,178,RS SO,Bayside,"Virginia Beach, VA"
"Brown, Darell",10,WR,5090,165,RS SO,Bethel,"Hampton, Va."
"Buce, Reed",46,LS,6020,209,RS SR/TR,Centennial,"Peoria, Ariz."
"Bundu-Fitz, Akim",8,DB,6010,183,RS SO,Robert E. Lee,"Springfield, Va."
"Byrum, Christian",3,SS,6010,182,RS JR,Tallwood,"Virginia Beach, VA"
"Carter, Jelani",27,DB,6010,205,SO,Northside,"Roanoke, VA"
"Carter, Sean",31,S,6010,196,RS JR,Colonial Forge,"Stafford, VA"
"Cate, Bailey",96,P,6040,192,SO,Orange Park,"Orange Park, Fla."
"Chase-Ervin, Cortez",82,WR,6030,219,RS FR,Seneca Valley,"Germantown, Md."
"Clarke, Nick",63,OC,6040,285,RS JR,Atlee,"Mechanicsville, VA"
"Colbert, Amari",0,WR,6030,195,FR,Houston County,"Warner Robbins, Ga."
"Cooper, Justin",26,RB,5110,205,RS JR,Thomas Dale,"Chester, VA"
"Cox, Jeremy",35,RB,5110,207,JR,South View,"Hope Mills, NC"
"Cox, Nijee",85,TE,6030,234,RS SO,Salem,"Virginia Beach, VA"
"Darr, Tyler",40,LB,6020,225,RS FR,Suitland,"District Heights, Md."
"Davila, Justice",28,FS,6000,187,SR,Timber Creek,"Erial, NJ"
"Davis, Brad",20,K,6060,200,RS SO,Oscar Smith,"Chesapeake, Va."
"Davison, A.J.",65,OG,6060,326,RS JR/TR,N/A,"Santa Rosa, Calif."
"Dickerson, Terez",13,FS,6040,195,RS SO,,
"Duhart, Jonathan",21,WR,6030,221,SR,Manchester,"Midlothian, VA"
"Ellison, Noah",8,WR,6020,189,RS FR,Timber Creek,"Sicklerville, N.J."
"Feliciano, Estefano",0,LB,6010,220,FR,Gaither,"Tampa, Fla."
"Fox, Miles",90,DT,6010,279,JR,Collins Hill,"Lawrenceville, GA"
"Fulgham, Travis",7,WR,6030,214,RS JR,Broad Run,"Ashburn, VA"
"Fuller, Malik",28,RB,5090,173,RS JR,Patriot,"Nokesville, VA"
"Garcia, Darius",78,OT,6030,304,SR,Manchester,"Chesterfield, Va."
"Garner, Lawrence",34,LB,6020,218,RS FR,Northern Burlington,"Columbus, N.J."
"Glover, Jordan",18,DB,5110,175,RS JR,Princess Anne,"Virginia Beach, VA"
"Gordon, Parrish",38,S,6000,201,RS FR,Benedictine,"Richmond, Va."
