Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abercrumbia, Zach",96,DT,6020,300,JR,Skyline,"Dallas, Texas"
"Adams, Myles",64,DL,6020,280,SO,Mansfield Summit,"Arlington, Texas"
"Akunebu, Uzoma",15,LB,5110,230,SO,St. Stephens Episcopal,"Austin, Texas"
"Anderson, Calvin",66,OT,6050,285,RS JR,Westlake,Austin
"Baker, Shea",0,OL,6030,275,FR,Cedar Ridge,"Round Rock, Texas"
"Ballard, Joe",34,IB,6000,205,RS SR,Manhattan,"Manhattan, Kan."
"Banks, V.J.",19,CB,6010,190,SR,Travis Bryan,Bryan
"Barnes, Chris",86,TE,6010,255,RS SO,College Park,"The Woodlands, Texas"
"Bertrand, Christian",14,DB,5110,200,JR,Hightower,"Missouri City, Texas"
"Bickham, Justin",7,CB,6010,195,RS SO,Pflugerville,"Pflugerville, Texas"
"Boudreaux, Christopher",0,WR,6000,160,FR,Central,"Beaumont, Texas"
"Bull, Jaeger",0,TE,6040,210,FR,Flour Bluff,"Corpus Christi, Texas"
"Cardwell, Rhett",83,WR,6010,200,RS FR,Kinkaid School,"Houston, Texas"
"Carpenter, Dan",43,LB,6020,225,RS SO,Ridge Point,"Houston, Texas"
"Cephus, Aaron",28,WR,6040,205,RS FR,Dekaney,"Houston, Texas"
"Cimino, Peter",22,CB,5100,180,RS JR,Plano West,Plano TX
"Clark, Jorian",9,CB,5100,185,RS JR,Dr. John Horn HS,Mesquite TX
"Corbett, Ford",37,S,5090,185,RS JR,All Saints Episcopal,Ft. Worth
"Cummings, Joshua",16,CB,5095,190,RS SO,Dallas Jesuit,"Murphy, Texas"
"Dill, Joseph",79,OL,6040,330,SO,Lee,"Bayton, Texas"
"Douglas, Brandon",3,CB,5095,180,JR,Hutto,"Hutto, Texas"
"Ekpe, Anthony",33,LB,6000,225,RS FR,Hendrickson,"Pflugerville, Texas"
"Ellerbe, Nahshon",25,RB,5090,205,RS SO,Trinity Christian Academy,"Frisco, Texas"
"Ellerbee, Emmanuel",58,OLB,6010,235,SR,Strake Jesuit,Houston TX
"Ellis, D'Angelo",12,DB,5110,165,SO,Cy Ridge,"Houston, Texas"
"Elms, Cole",53,DL,6020,270,RS SO,Brazos Christian,"College Station, Texas"
"Esupka, Emmanuel",33,RB,5115,23O,RS SO,Mansfield,"Grand Prairie, Texas"
"Fox, Jack",2,PK,6015,215,JR,Ladue Horton Watkins,"St. Louis, Missouri"
"Frankovsky, Frank",65,OL,6060,260,RS FR,Westwood,"Round Rock, Texas"
"Garcia, Elijah",92,DL,6050,305,RS FR,Stevens,"San Antonio, Calif."
"Glaesmann, Sam",4,QB,6030,210,RS FR,Midway,"Waco, Texas"
"Godber, Peter",73,OG,6030,300,RS SR,St. Andrews,"Toronto, Ontario"
"Gordon, Preston",57,DT,6010,280,RS JR,Frisco Heritage HS,McKinney TX
