Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abston, Justin",25,CB,5110,182,RS SR,Davidson,"Mobile, AL"
"Adams, Jaylond",0,WR,5100,180,FR,Minor,"Adamsville, Ala."
"Allen, Julian",11,TE,6030,234,RS SR,Washington Township,"Sewell, NJ"
"Anderson, Steven",0,QB,6020,242,FR,Suwannee,"Live Oak, Fla."
"Applewhite, Jomez",7,CB,6010,180,RS SR,Bassfield HS,"Bassfield, Miss."
"Armstrong, Cornell",3,CB,5110,180,SR,Bassfield,"Bassfield, MS"
"Barnes, Tyler",0,DB,5100,184,FR,D'Iberville,"D'Iberville, Miss."
"Best, Grey",58,OL,6020,275,RS FR,Spain Park HS,"Hoover, Ala."
"Birdyshaw, Cru",73,OT,6070,297,RS FR,Waker Sch,"Jasper, Ala."
"Block, Cody",47,LS,6000,215,RS SR/TR,Mountain Ridge HS,"Glendale, Ariz."
"Boothe, Racheem",41,ILB,6010,210,RS FR,Bassfield,"Bassfield, Miss."
"Bourgeois, Briggs",0,PK,6010,177,FR,St. Amant,"St. Amant, La."
"Clayton, Travion",0,OL,6020,335,FR,Baker County,"Macclenny, Fla."
"Cole, Andrew",0,DL,6040,318,FR,Fayette Ware,"Somerville, Tenn."
"Collins, Jauan",57,DL,6000,295,RS SO,Pascagoula HS,"Pascagoula, Miss."
"Collins, Trae",2,DB,5110,184,RS SR,New Hope HS,"Columbus, Miss."
"Crayton, Rod",90,DL,6010,287,RS SR,Dadeville HS,"Dadeville, Ala."
"Dabney, Emanuel",0,DB,5110,160,FR,Callaway,"Jackson, Miss."
"Davis, Walden",5,DB,5100,192,RS JR,Peachtree Ridge,"Decatur, GA"
"Dixon, Derrick",45,DE,6030,240,RS SR/TR,McCaskey HS,"Lancaster, Pa."
"Dorbeck, Drake",79,OG,6060,320,RS SO,Saint Aloysius,"Vicksburg, Miss."
"Douglas, Kelsey",6,FS,5110,192,RS SR,Hightower,"Missouri City, Texas"
"Everett, Zac",29,P,6010,190,RS FR,Saraland HS,"Saraland, Ala."
"Fails, Allen",51,LB,6020,212,SR/TR,North Forrest HS,"Hattiesburg, Miss."
"Farrior, Devin",78,OG,6040,304,RS SR,Wayne County HS,"Waynesboro, Miss."
"Fletcher, Arvin",63,OL,6030,310,RS FR,Germantown HS,"Madison, Miss."
"Flott, WyDale",0,DB,5110,176,FR,Saraland,"Saraland, Ala."
"Fludd, Bubba",0,ATH,5080,162,FR,Okeechobee,"Okeechobee, Fla."
"Foxworth, Bryce",0,OL,6030,316,FR,Boca Ciega,"Pinellas Park, Fla."
"Gainer, Paul",0,OL,6030,280,FR,Gautier,"Gautier, Miss."
"Greene, Gavin",91,LB,6010,220,RS FR,Niceville HS,"Niceville, Fla."
"Griffith, Simon",64,LS,5110,220,RS FR,Culver Military Academy,"Culver, Ind."
"Griggs, Kwadra",7,QB,6030,225,RS JR/TR,Greenwood,"Greenwood, Miss."
"Gunn, Ernest",29,DB,6010,180,RS SO,Selma HS,"Selma, Ala."
"Hale, Andre",31,RB,5090,194,RS FR,Lake Nona,"Orlando, Fla."
"Harris, Jerry",74,DT,6030,302,RS SR,Hueytown HS,"Hueytown, Ala."
"Harris, Ladarius",43,DT,6010,280,JR,Clay-Chalkville HS,"Pinson, Ala."
"Hartz, Freddie",0,LB,6010,237,FR,Morton,"Morton, Miss."
"Holmes, Tyre'oune",1,WR,5110,170,RS SR,Tylertown HS,"Tylertown, Miss."
"Howard, Keon",2,QB,6010,205,SO,Laurel,"Laurel, Miss."
"Jack, Tyler",0,DB,5090,175,JR/TR,George County,"Lucedale, Miss."
