Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Awatt, Ronald",22,RB,5110,200,FR,Frenship,"Wolf forth, Texas"
"Barnwell, Chris",17,LB,6020,230,RS FR,Eastlake HS,"El Paso, Texas"
"Batson, Tyler",1,WR,6020,205,SR,Westfield HS,"Spring, Texas"
"Beverly, Kalon",1,DB,6010,190,JR,Edna Karr HS,"New Orleans, La."
"Brooks, Jerrod",72,OL,6060,330,RS JR,Seagoville,"Dallas, Texas"
"Brown, Jerrell",18,DB,6010,190,RS SO,Citrus Hill HS,"Perris, Calif."
"Brownholtz, Calvin",0,QB,6010,200,FR,Jesuit,"Carmichael, Calif."
"Buckingham, Christian",92,DL,6030,250,JR/TR,Seoul American HS,"El Paso, Texas"
"Buckingham, Sani",85,TE,6040,275,SO,Home Schooled,"El Paso, Texas"
"Bullitt, Brannon",28,WR,6000,230,RS FR,Chapin HS,"El Paso, Texas"
"Christian, Kristopher",37,LB,5110,240,RS JR,Lovejoy HS,"Lovejoy, Ga."
"Chukwukelu, Denzel",11,DL,6040,295,SO,Rockwall-Heath HS,"Rockwall, Texas"
"Cockrell, Devin",27,SS,6000,200,RS SR,Memorial,"Port Arthur, Texas"
"Dawn, Walter",26,RB,5060,170,SO,Poteet,"Mesquite, Texas"
"DeHaro, Bobby",73,OL,6040,295,FR,Montwood,"El Paso, Texas"
"Dove, Kevin",15,RB,6000,250,SO,El Campo HS,"El Campo, Texas"
"Elmendorff, Derek",75,OG,6030,325,RS SR,Franklin,"El Paso, Texas"
"Elsner, Luke",84,DE,6030,260,RS JR,Seymour HS,"Seymour, Wis."
"Fernandes, Alex",0,QB,6030,200,FR,Vandergrift,"Austin, Texas"
"Fields, Josh",0,RB,5090,195,FR,Americas,"El Paso, Texas"
"Filley, Jason",49,K/P,5090,160,RS JR,Coronado HS,"El Paso, Texas"
"Forester, Stephen",34,LB,6010,230,RS SO,Dallas Christian HS,"Dallas, Texas"
"Foster, Keynan",5,WR,5090,180,RS SO/TR,Jackson HS,"Mill Creek, Wash."
"Fraser, Makana",43,LB,6000,225,SR/TR,N/A,"Keaau, Hawaii"
"Gatewood, Derron",65,OC,6030,310,RS JR,Permian HS,"Odessa, Texas"
"Gonzalez, Sergio",52,LB,6000,215,FR/TR,N/A,"El Paso, Texas"
"Gray, Josiah",63,OL,6040,300,RS FR,Ranch Cucamonga,"Rancho, Calif."
"Greenlee, Zack",8,QB,6010,215,SR/TR,Lincoln HS,"Stockton, Calif."
"Griffin, Kalaii",7,LB,6010,220,SO/TR,N/A,"Bethesda, Md."
"Guerra, Ruben",61,OL,6040,290,RS SO,Liberty HS,"Bakersfield, Calif."
"Harrell, Broderick",4,DB,5110,205,RS FR,Frenship HS,"Wolfforth, Texas"
"Hernandez, Will",76,OG,6030,330,RS SR,Chaparral,"Las Vegas, Nev."
"Herring, Kobie",0,LB,6000,220,FR,Refugio,"Refugio, Texas"
"Hopkins, Gene",13,DL,6030,265,RS SO,Elgin HS,"Elgin, Texas"
"Hughes, Treyvon",19,RB,6010,225,JR,Hebron HS,"Carrollton, Texas"
"Hynson, Adrian",12,FS,5100,185,RS JR,Flour Bluff,"Corpus Christi, Texas"
