Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Acosta, Andrew",41,TE,6020,210,FR,Fort Stockton,"Fort Stockton, Texas"
"Anzaldua, David",73,OT,6050,340,RS JR,North HS,"Edinburg, Texas"
"Austin III, Carl",25,S,6010,185,JR,St. Stephen's Episcopal HS,"Austin, Texas"
"Bailey, N'Keal",24,CB,6000,180,SR,Princeton HS,"Princeton, Texas"
"Baker, Baylen",99,DT,6040,285,RS SO,Wylie HS,"Abilene, Texas"
"Banks, Eric",90,DE,6050,230,SO,East HS,"Memphis, Tenn."
"Barnes, Samuel",0,CB,6010,190,FR,George Ranch,"Richmond, Texas"
"Bass, La'Kel",42,LB,6010,225,RS SR/TR,Christian Brothers HS/New Mexico Military Institute,"St. Louis, Mo."
"Bayliss, Matt",49,LS,6060,215,SR,Holland Hall HS,"Tulsa, Okla."
"Beard, Stefan",65,OL,6030,295,SR/TR,Westlake HS,"Austin, Texas"
"Benavidez, Ronnie",46,S,5100,200,JR/TR,Vela,"Edinburg, Texas"
"Butler, JaColbie",26,CB,5090,175,JR,Pearland HS,"Pearland, Texas"
"Campbell Jr, Greg",10,WR,6010,185,RS JR,Atascocita HS,"Humble, Texas"
"Carter-McLin, Jarrod",91,DE,6020,255,SO,Carthage,"Carthage, Texas"
"Cavazos, Ryan",62,DE,6030,225,SO/TR,Bowie HS,"Austin, Texas"
"Cavil, Dannon",82,WR,6040,225,SR/TR,Madison HS,"San Antonio, Texas"
"Clay, Isaiah",36,S,5070,195,RS JR,Carroll HS,"Corpus Christi, Texas"
"Clay, Tyrell",31,RB,5090,205,SR,Miller HS,"Corpus Christi, Texas"
"Cowan, Isiah",15,LB,6010,190,SR/TR,Ellison HS,"Killeen, Texas"
"Curry, Marcos",9,OLB,6000,225,SR,Stony Point HS,"Round Rock, Texas"
"Damrow, Seth",46,TE,6020,205,SR/TR,O'Connor HS,"San Antonio, Texas"
"Daniels, B.J.",0,RB,6020,205,FR,Palm Bay,"Melbourne, Fla."
"Darragh, Reed",74,OT,6040,285,SR,Hays HS,"Buda, Texas"
"Davenport, Marcus",93,DE,6070,245,SR,Stevens HS,"San Antonio, Texas"
"Davis, Devron",1,CB,6000,210,SR/TR,Franklin HS,"Stockton, Calif."
"Davis, Kevin",0,OL,6030,290,FR,Angleton,"Angleton, Texas"
"Dukes, Jaylon",23,RB,5060,165,RS FR,Brandeis HS,"San Antonio, Texas"
"Dunlop, Josh",64,OT,6070,300,SO/TR,Zionsville Community,"Zionsville, Ind."
"Duplessis, Hunter",48,PK/P,5080,190,RS FR,Cole HS,"San Antonio, Texas"
"Duron, Gabe",59,LB,5100,210,RS FR,Westlake HS,"Austin, Texas"
"Dye Jr, Stanley",3,CB,5090,170,RS JR,Ridgeview HS,"Orange Park, Fla."
"Falcon, Victor",57,P/PK,5100,200,JR,Comfort,"Comfort,Tx"
"Fuentes, Robert",0,DE,6040,205,FR,Southwest,"San Antonio, Texas"
"Gaines, Nate",11,FS,6020,200,SR,Poteet HS,"Mesquite, Texas"
"Garza, Brandon",13,QB,5100,195,RS JR/TR,Harlingen HS,"Harlingen, Texas"
"Giblin, Jack",48,TE,6030,215,RS FR,Port Neches-Grove HS,"Port Neches, Texas"
"Godfrey, Daryl",23,S,6000,185,JR,O'Connor HS,"San Antonio, Texas"
"Goff, Michael",0,TE,6020,230,FR,Johnson,"San Antonio, Texas"
"Gonzales, Alex",76,OG/C,6020,315,RS JR,East Central HS,"San Antonio, Texas"
"Graner, Jacob",79,OG,6040,315,RS FR,Dripping Springs HS,"Dripping Springs, Texas"
"Guidry, De'Marco",0,LB,6010,210,FR,La Marque,"La Marque, Texas"
"Guidry, Matthew",89,WR,5080,165,RS SO,Clear Spring HS,"League City, Texas"
"Hall, Peyton",18,WR,5110,180,JR,Brandeis HS,"San Antonio, Texas"
"Harris, Frank",0,QB,6000,185,FR,Clemens,"Schertz, Texas"
"Harris, Manny",12,QB,6000,225,RS SO,Copperas Cove HS,"Copperas Cove, Texas"
"Haynes, Jaylon",0,DE,6020,290,FR,Wharton,"Wharton, Texas"
"Henry, DeQuarius",45,DE,6040,230,RS FR,Sharpstown HS,"Houston, Texas"
"Hickey, Anthony",32,LB,6000,240,SR/TR,J Serra Catholic HS,"San Juan Capistrano, Calif."
"Hulbin, Emanuel",29,PK,6000,160,JR,Steele,"Cibolo, Texas"
"Jackson, Avery",20,CB,5080,175,RS FR,Johnson HS,"Austin, Texas"
"Jackson, Lawrence",40,TE,6010,215,SO/TR,Memorial,"Waller, Texas"
"Johnson, Brenndan",21,CB,5100,175,RS FR,Midway HS/Naval Academy,"Waco, Texas"
"Johnson, Clayton",29,CB,5110,175,RS SO/TR,Flower Mound,"Flower Mound, Texas"
"Johnson, Kirk",16,WR,5070,150,RS FR,DeSoto HS,"DeSoto, Texas"
"Jones, Brady",86,WR,5100,185,SR,George West HS,"George West, Texas"
"Joseph Jr., Morris",0,DL,6020,275,FR,West Orange-Stark,"Orange, Texas"
"Jupe, Austin",41,CB,6010,195,SR/TR,East Central HS,"San Antonio, Texas"
"Kearney, Carrington",37,CB,5110,180,RS FR,Hendrickson HS,"Pflugerville, Texas"
"Levine, CJ",14,S,5100,185,JR,Memorial HS,"Port Arthur, Texas"
"Martel, Andy",12,S,6010,205,RS SO,Foster HS,"Richmond, Texas"
"Maruo, Les",44,LB,6000,225,RS JR/TR,Goddard HS,"Wichita, Kan."
"McGhee, Teddirck",27,CB,6000,185,SO,East HS,"Memphis, Tenn."
"McKinney, Kyle",67,OG/OC,6040,295,SR,Champion HS,"Boerne, Texas"
"McLeod, Chance",0,TE,6030,230,FR,East,"Victoria, Texas"
"McNair, Marquez",4,WR,6000,175,SR/TR,Magee HS,"Magee, Miss."
"Moore, Michael",0,CB,6020,180,JR/TR,Escondido,"Escondido, Calif."
"Moorhead, Blaze",19,WR,5100,170,RS SO,All Saints HS,"Fort Worth, Texas"
"Mosley, Javontavius",0,CB,6000,165,FR,John Tyler,"Tyler, Texas"
"Newton, King",92,DT,6010,270,RS SO,Carroll HS,"Southlake, Texas"
"Oatis, Josh",66,OT,6040,305,RS FR,West Harrison HS,"Gulfport, Miss."
"Pare, Zach",77,OT,6050,295,RS FR,East View HS,"Georgetown, Texas"
"Pastucci, Dominic",0,OL,6040,280,FR,Hendrickson,"Pflugerville, Texas"
"Perez-Isidoro, Juan",60,OC,6020,295,SR,Birdville HS,"North Richland Hills, Texas"
"Perkins, Donovan",0,LB,6000,220,FR,Zachary,"Zachary, La."
"Perry, Tay'lor",0,S,5100,180,FR,Crosby,"Crosby, Texas"
"Portillo, Daniel",13,PK/P,5110,170,SR,Connally HS,"Pflugerville, Texas"
"Pratt, Austin",68,OG/OC,6020,295,SR/TR,Sealy,"Sealy, Texas"
"Rhodes, Jalen",28,RB,5090,195,RS JR,Rowlett HS,"Rowlett, Texas"
"Rivas, Jesse",63,OG,6030,315,RS FR,McNeil HS,"Austin, Texas"
"Rivers, Bryce",17,QB,6020,220,FR,Stevens,"San Antonio, Texas"
"Ross, Reggie",21,WR,6000,165,FR,West St. John,"New Orleans, La."
"Routsas, Yannis",39,P/PK,6030,200,RS JR,Clear Brook HS,"Houston, Texas"
"Shaw II, Terrence",22,RB,5090,180,RS FR,Cy Ranch HS,"Cypress, Texas"
"Smart, Keeyon",0,OL,6050,300,SO/TR,McKinley,"Baton Rouge, La."
"Smith, Jay Jay",0,CB,6020,195,JR/TR,Gulfport,"Gulfport, Miss."
"Spearman, Rayshun",37,WR,6010,190,JR/TR,Shoemaker HS,"Killen, Texas"
"Stephens, Larry",84,WR,6000,200,RS JR,Brandeis HS,"San Antonio, Texas"
"Steward, Halen",34,RB,5110,255,JR,Menendez HS,"St. Augustine, Fla."
"Stewart, Josh",80,WR,6040,200,SR,A&M Consolidated HS,"College Station, Texas"
"Strong, Kevin",54,DE,6030,285,RS JR,Cleveland HS,Cleveland TX
"Sturm, Dalton",14,QB,6020,195,SR,Goliad HS,"Goliad, TX"
"Tauaefa, Josiah",55,DE,6010,230,RS SO,Lake Dallas HS,"Corinth, Texas"
"Taylor, Dadrian",0,WR,5110,170,FR,Shiner,"Shiner, Texas"
"Thomas, Kerry",7,WR,6000,205,SR,A&M Consolidated HS,"College Station, Texas"
"Turner, Richard",44,WR,5090,165,RS SR,West HS,"Plano, Texas"
"Uesi, Franklin",96,DE,6020,270,SR/TR,Pleasant Hill HS,"Pleasant Hill, Calif."
"Ursua, Robert",87,TE,6030,240,JR/TR,Liberty,"Bakersfield, Calif."
"Vallair, Vance",0,CB,6010,180,FR,Central,"Beaumont, Texas"
"Vickery, Mitch",38,S,5080,185,RS SO,Alamo Heights HS,"San Antonio, Texas"
"Walker, Davontrae",58,DE,5110,240,FR,St. Gerard,"San Antonio, Texas"
"Williams, Shaq",81,TE,6040,235,RS SR/TR,N/A,"Madison, Mass."
"Winnegan, Brett",20,RB,5090,190,JR,Dawson HS,"Pearland, Texas"
"Wise, Solomon",94,DE,6040,230,SO,Coppell HS,"Coppell, Texas"
"Woolen, Tariq",0,WR,6050,205,FR,Arlington Heights,"Fort Worth, Texas"
