Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Leon",33,RB,6000,245,RS SR,Manatee,"Bradenton, Fla."
"Allen, Nick",78,OL,6060,305,RS JR/TR,Belleville West,"Belleville, Ill."
"Bailey, Kyle",36,LB,6000,205,FR,Bremen,"Bremen, Ga."
"Baker, Quinton",3,RB,5090,185,SO,Ashland Blazer,"Ashland, Ky."
"Bertram, Daeshawn",54,ILB,5080,225,RS SR,Trinity High,"Louisville, Ky."
"Brown, Joe",7,RB,5100,195,SR,Butler,"Louisville, KY"
"Bush, Will",13,WR,5110,195,RS JR,Ballard,"Louisville, KY"
"Cain, Demetrius",28,LB,6000,240,RS FR,Caldwell County,"Princeton, Ky."
"Camp, Tyler",55,C,6030,310,RS SO,Mary Persons,"Forsyth, GA"
"Clayton, Najee",7,DB,6020,225,JR/TR,Paramus Catholic HS,"Paterson, N.J."
"Coffey, Nick",35,TE,6040,265,RS SO,Russell County,"Russell Springs, Ky."
"Collins, Jake",49,LS,6010,210,RS JR,St. Xavier,"Louisville, Ky."
"Cray, Roger",24,DB,5100,170,FR,Lake City,"Columbia, Fla."
"Darden, Tacorian",38,DB,5090,180,RS SO,Russellville,"Russellville, Ky."
"Darvin, Jeremy",53,DL,6010,305,RS FR,Father Ryan,"Nashville, Tenn"
"Deane, Mik'Quan",85,TE,6040,240,RS JR/TR,Memorial,"Tulsa, Okla."
"Duncan, Steven",10,QB,6040,235,RS FR,Ashley Ridge,"Summerville, S.C."
"Eckels, Drew",4,QB,6030,215,RS JR,Warner Christian Academy,"Daytona, FL"
"Edwards, Dennis",64,OC,6010,315,RS JR,South Gwinnett,"Snellville, GA"
"Etheridge, Caleb",53,OL,6020,300,FR,Mary Persons,"Forsyth, Ga."
"Eubanks, Jordan",30,DB,5110,180,FR,Atlanta Sports Academy,"Atlanta, Ga."
"Fant, Nacarius",1,WR,5090,185,SR,Bowling Green,"Bowling Green, KY"
"Farris, DeAndre",22,WR,5100,190,RS JR,Collins,"Shelbyville, KY"
"Ferby, D'Andre",32,RB,6010,225,RS JR,Ensworth,"Nashville, TN"
"Ferguson, Dylan",60,OL,6010,270,RS JR,Bullitt East HS,"Mount Washington, Ky."
"Fourtenbary, Kyle",42,TE,6040,240,RS FR,Opelika,"Opelika, Ala."
"Gardner, Juwan",14,DB,6000,195,RS SR,duPont Manual,"Louisville, Ky."
"George, Jaylon",98,DL,6030,275,RS SO/TR,North Clayton,"Atlanta, Ga."
"Gonzalez, Jordon",21,CB,5110,175,RS SO,Dupont Manual,"Louisville, Ky."
"Greene, Drell",28,DB,5110,200,JR,Bacon County,"Alma, Ga."
"Holland, Hunter",77,OT,6020,285,RS SO,Buford,"Buford, GA"
"Holt, Ben",44,LB,5100,220,RS SO,Bowling Green,"Bowling Green, Ky."
"Howell, Peter",68,DL,6050,290,RS SO,C.P.A.,"Nashville, Tenn."
"Iyiegbuniwe, Joel",4,ILB,6010,230,RS JR,South Warren,"Bowling Green, KY"
"Jackson, A.J.",10,CB,5110,175,RS SO,Seneca Academy,"Louisville, Ky."
