Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ah You, Chaz",0,DB,6020,199,FR,Timpview,"Eagle Mountain, Utah"
"Almond, Rhett",26,P,6040,195,RS JR,Hart,Valencia
"Amone, Phillip",22,LB,6000,240,RS JR,Dr. Phillips HS,"Orlando, Fla."
"Anderson, Zayne",36,DB,6020,200,JR,Stansbury HS,"Stansbury Park, Utah"
"Armstrong, Isaiah",3,DB,6020,193,JR/TR,Redlands East Valley HS,"Redlands, Calif."
"Baker, Tanner",0,DL,6050,230,FR,Allatoona,"Acworth, Ga."
"Balderree, Tanner",89,TE,6030,252,SR,Sherwood High School,"Sherwood, OR"
"Baldwin, Sam",45,DB,6030,198,SO,Madison HS,"Rexburg, Ida."
"Batty, Tyler",0,DL,6050,235,FR,Payson,"Payson, Utah"
"Bernard, Francis",13,LB,6010,239,JR,Herriman,"Herriman, UT"
"Brent, Trevor",19,DB,5100,180,RS SO,West Mesquite HS,"Balch Springs, Texas"
"Buchanan, Tariq",0,WR/DB,6010,175,FR,Elgin,"Elgin, Texas"
"Burt, Riley",34,DB/RB,6010,206,RS SO,Box Elder HS,"Mantua, Utah"
"Bushman, Matt",0,TE,6050,235,FR,Sabino,"Tucson, Ariz."
"Bywater, Ben",0,LB,6030,210,FR,Olympus,"Salt Lake City, Utah"
"Canada, Squally",22,RB,5100,200,RS JR/TR,Milpitas HS,"Milpitas, Calif."
"Chambers, Austin",58,OL,6040,270,RS FR,Shawnee Mission West HS,"Shawnee Mission, Kan."
"Critchlow, Joe",0,QB,6040,210,FR,Franklin,"Franklin, Tenn."
"Davis, Akile",1,WR,6020,198,RS SO,DeSoto HS,"DeSoto, Texas"
"Dawe, Zac",52,OL,6040,275,RS FR,Pleasant Grove HS,"Pleasant Grove, Utah"
"Detmer Jr., Koy",13,QB,5100,170,RS SO,Somerset,"Somerset, TX"
"Dortch, Caden",26,DB,6000,185,RS SO,Westlake,"Saratoga Springs, Utah"
"Dye, Trey",6,HB,5090,179,JR,Cooper High School,"Abilene, TX"
"Edwards, Corey",16,PK,6000,217,SR,Hurricane HS,"Hurricane, Utah"
"El-Bakri, Brayden",35,RB,6000,236,RS JR,Brighton HS,"Salt Lake City, Utah"
"Ellis, Keenan",0,DB/WR,6010,170,FR,Bonita Vista,"Chula Vista, Calif."
"England, Garrett",23,LB,6040,210,FR,Skyline,"Salt Lake City, Utah"
"Fakahua, Mason",0,QB,6030,210,FR,Cedar City,"Cedar City, Utah"
"Fauatea, Lorenzo",0,DL,6040,260,FR,Hunter,"West Valley, Utah"
"Fevaleaki, Seleti",0,DL,6030,290,FR,Centennial,"Corona, Calif."
"Fifita, B.J.",30,DB,6000,203,JR,Oaks Christian HS,"Westlake Village, Calif."
"Finau, Paula",0,OL,6050,350,FR,Baldwin,"Wailuku, Hawaii"
"Foley, Matt",64,LS,6010,215,JR,Temecula Vallay,"Temecula, CA"
"Fonua, Kavika",30,LB,6000,220,RS JR,Syracuse HS,"Syracuse, Utah"
"Fowler, Gavin",32,DB,6000,186,RS SR,Davis HS,"Kaysville, Utah"
"Fuiava, Kainoa",93,DL,6050,295,RS FR,Warren HS,"Downey, Calif."
"Gautavai, Rylee",43,LB,6010,238,RS SO,Bountiful HS,"Bountiful, Utah"
"Ghanwoloku, Dayan",5,DB,5110,195,SO,Northridge,"Layton, Utah"
"Gill, Nanu",63,OL,6040,290,JR,Pleasant Grove,"Elk Grove, Calif."
"Greene, Kamel",10,DB,5110,189,RS SR/TR,St. Francis HS,"Mountain View, Calif."
"Griffitts, Kyle",39,TE,6030,240,SO,West Orange,"Windermere, Fla."
"Gunter, D'Angelo",0,DB,6010,180,FR,Del Norte,"San Diego, Calif."
"Hadley, Matthew",2,DB/RB,6000,205,SR,Connell,"Connell, WA"
"Hall, K.J.",20,DB,5090,175,RS SO,Maple Mountain HS,"Spanish Fork, Utah"
"Hanna, Donovan",0,TE,6050,230,FR,American Leadership,"Queen Creek, Arizona"
"Hanneman, Ammon",0,DB,6020,190,FR,Lone Peak,"Highland, Utah"
"Hannemann, Micah",7,CB,6000,205,SR,Lone Peak HS,"Alpine, Utah"
"Hanshaw, Bentley",0,TE,6060,225,FR,Moorpark,"Moorpark, Calif."
"Harris, Mitch",98,DS,6040,215,JR,Perry HS,"Gilbert, Ariz."
"Herring, Chandon",77,OL,6070,270,RS FR,Perry HS,"Gilbert, Ariz."
"Hifo, Aleva",15,WR,5100,180,SO,Heritage,"Brentwood, Calif."
"Hifo, Marvin",17,DB,5100,195,JR/TR,Heritage,"Menifee, Calif."
"Hinds, Troy",44,LB,6050,245,RS JR,Davis HS,"Kaysville, Utah"
"Hoge, Beau",7,QB,6010,210,RS SO,Highlands HS,"Fort Thomas, Ky."
"Hoyt, Austin",71,OL,6080,295,RS JR,Argonaut HS,"Ione, Calif."
"Huntsman, Scott",47,LB,6040,227,SO,Coppell,"Coppell, TX"
"Jacobson, Tanner",25,DB,5100,185,JR/TR,Carroll,"Southlake, Texas"
"Jiminez, Jacob",70,OL,6050,292,JR,Pflugerville HS,"Pflugerville, Texas"
"Jones, Grant",37,SS,6060,215,RS SR,Ygnacio Valley HS,"Concord, Calif."
"Kafentzis, Austin",0,QB,6010,200,SO/TR,Jordan,"Sandy, Utah"
"Kanuch, Tuni",78,OG,6030,335,RS SR,Bingham High School,"South Jordan, UT"
"Kaufusi, Corbin",90,OL,6090,270,RS JR,Timpview HS,"Provo, Utah"
"Kaufusi, Isaiah",53,LB,6020,216,RS FR,Brighton HS,"Cottonwood Heights, Utah"
"Kaumatule, Moses",49,DL,6020,280,RS JR,Bingham HS,"South Jordan, Utah"
"Koroma, Tejan",56,OL,6000,290,SR,Allen HS,"Allen, Texas"
"Krueger, Taggart",25,WR,6030,190,RS JR,Skyline HS,"Sammamish, Wash."
"Langi, Motekiai",0,DL,6070,410,FR,Tonga,"Matangiake, Tonga"
"Langi, Tongi",0,DB,6010,180,FR,Bingham,"South Jordan, Utah"
"Lapuaho, Ului",73,LT,6070,333,RS JR,Hunter High School,"West Valley City, UT"
"Laulu-Pututau, Moroni",1,WR,6040,220,JR,Mountain Crest,"Hyrum, UT"
"Lee, Austin",6,DB,6000,202,SO/TR,Alta,"Draper, Utah"
"Lee, Hiva",22,DB,5080,190,SR,Ellensburg HS,"Ellensburg, Wash."
"Leiataua, Uriah",58,DL,6040,240,FR,Dominguez HS,"Compton, Calif."
