Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Baggett, Jamal",31,S,5110,190,RS JR,River Forest HS,"Oak Park, Ill"
"Ball, Warren",34,RB,6010,232,RS SR/TR,St. Francis DeSales,"Columbus, Ohio"
"Barakat, Youssef",42,LB,5100,205,RS SO,St. Vincent-St. Mary HS,"Akron, Ohio"
"Bentley, Eric",0,DL,6020,244,FR,St. Vincent-St. Mary,"Akron, Ohio"
"Bickley, Fransohn",13,WR,5060,148,RS SR,St. Vincent-St.Mary HS,"Akron, OH"
"Bischof, Nathan",23,DB,6020,210,RS JR,St. Vincent-St. Mary,"Akron, Ohio"
"Blaha, Matt",71,OL,6030,293,RS SR/TR,Euclid,"Euclid, Ohio"
"Booker, Kobie",0,TE,6000,273,FR,Barberton,"Barberton, Ohio"
"Boxen, Brock",50,NG,6030,272,JR,Beaver Falls HS,"New Galilee, Pa"
"Brimage, DeAndre",0,DL,6000,276,FR,East,"Akron, Ohio"
"Brown, Kyron",12,CB,6010,186,JR,Boynton Beach HS,"Boynton Beach, Fla"
"Brown, Trevor",59,OL,6050,285,SO,Jireh Prep/Wise HS,"Clinton, Md."
"Buddenberg, Michael",88,LS,5110,215,RS SR,Jackson HS,"Massillon, Ohio"
"Bullard, Undrea",50,DL,6060,295,RS JR,Gibbs HS,St.Petersburg FL
"Burkhart, Dustin",0,WR,6000,188,FR,Coventry,"Akron, Ohio"
"Butler, Denzel",13,DB,5090,183,RS SO/TR,Coral Springs Charter,"Ft. Lauderdale, Fla."
"Cade, Hugh",46,CB,5080,155,JR,Buchtel,"Akron, Ohio"
"Cagle, Avery",84,TE,6040,235,RS SO,Riverside Military Academy,"Gainesville, Ga."
"Camara, Ibrahima",91,DL,6030,285,SR/TR,Reynoldsburg HS,"Reynoldsburg, Ohio"
"Chapman, Tra'Von",5,QB,6010,210,RS SR/TR,Roosevelt,"Kent, Ohio"
"Coffman, Peyton",61,PK/P,5110,205,FR,Fenton,"Grand Blanc, Mich."
"Coney, AJ",11,WR,5080,180,RS SR/TR,Oviedo,"Orlando, Fla."
"Copeland, Darius",8,DT,6010,266,SR,Ft. Myers,"Ft. Myers, Fla."
"Corne, Hunter",0,OL,6040,292,FR,Dunnellon,"Dunnellon, Fla."
"Corner Jr., Reggie",0,S,5090,200,FR,McKinley,"Canton, Ohio"
"Council, Brandon",56,OL,6040,330,RS FR,Jireh Prep/West Bladen HS,"Tar Heel, N.C."
"Dailey, Darian",26,CB,5110,180,RS JR/TR,Manatee,"Bradenton, Fla."
"Davis Jr., Alvin",1,CB,5090,165,SO,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Dixon, Jaquavis",16,WR,6020,185,RS SO,Hagerty HS,"Oviedo, Fla."
"Edwards Jr, Van",7,RB,5090,200,JR,Island Coast HS,"Cape Coral, Fla."
"Ellis, Mark",28,CB,5110,178,RS SO/TR,Williamstown,"Williamstown, N.J."
"Ericksen, Stephen",57,OC,6030,300,RS SR,Carrollton,"Sherrodsville, Ohio"
"Fazio, Nick",63,OL,6030,291,RS JR,Streetsboro,"Streetsboro, Ohio"
"Featherstone, Shawn",20,DB,6020,190,RS JR,Penn Hills,"Pittsburgh, Pa."
"Fitschen, Jerry",47,K/P,6000,190,SO,Orange Lutheran HS,"Orange, Calif."
"Fonseca, James",49,K/P,5110,170,RS JR/TR,Summit HS,"Fontanay, Calif."
"Foster, Kyle",41,P,6020,185,RS JR,Parkersburg,"Parkersburg, VA"
"Gasser, Nick",60,PK/P,6000,167,RS JR,Lakota East,"Liberty Township, Ohio"
