Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Albright, Christian",0,DE,6030,235,FR,North Cobb,"Kennesaw, Ga."
"Anderson, Brett",0,DB,6000,185,FR,Grand Blanc,"Grand Blanc, Mich."
"Anderson, Lamar",10,CB,5090,182,SO,Christian Brothers College,"St. Louis, Mo."
"Beech, Chris",54,OC,6010,284,RS FR,Archbishop Alter,"Dayton, Ohio"
"Beltavski, T.J.",68,OG,6000,291,RS FR,Benedictine,"Cleveland, Ohio"
"Blackwell, Curtis",0,OL,6050,306,FR,Norwell,"Uniondale, Ind."
"Blair, Zack",17,QB,5110,188,RS SO,Tippecanoe,"Tipp City, Ohio"
"Booker, Kadin",58,OL,6060,286,RS JR,Burlington City,"Burlington City, NJ"
"Burns, Brock",0,LB,6040,202,FR,Hamilton Southeastern,"Fishers, Ind."
"Burton, Frank",94,DE,6010,257,RS FR,William Penn,"New Castle, Del."
"Cosby, Bryce",0,DB,5110,178,FR,duPont Manual,"Louisville, Ky."
"Crumb, Chris",42,DT,6000,266,SO,Olentangy HS,"Lewis Center, Ohio"
"Davis, Antwan",21,WR,6000,200,RS SO/TR,Lake Central,"St. John, Ind."
"Davis, Keidren",82,TE,6040,240,RS FR,Union HS,"Grand Rapids, Mich."
"Daw, Jimmy",0,LB,6030,220,FR,Medina,"Medina, Ohio"
"Dominique, Kevin",0,RB,6010,207,FR,Plaquemine,"White Castle, La."
"Dunner, Malik",21,RB,5110,192,SO,Dundee Crown,"Carpentersville, Ill."
"Gibbs, Justin",0,WR,6020,208,FR,Grovetown,"Grovetown, Ga."
"Gilbert, James",34,RB,5080,194,JR,Arsenal Tech,"Indianapolis, IN"
"Giles, Nik",43,DB,5110,183,RS SO,Mount Carmel,"Matteson, Ill."
"Gilliland, Greg",56,LS,6040,225,RS SO,Coldwater,"Coldwater, Ohio"
"Givan, Nolan",88,WR,6030,236,RS FR,Berkley,"Berkley, Mich."
"Green, Darian",25,RB,5080,185,SR,Jefferson,"Lafayette, Ind."
"Hagee, Morgan",22,PK/P,5110,160,JR,Plainfield,"Plainfield, IN"
"Hall, Justin",0,WR,5100,175,FR,Alexander,"Douglasville, Ga."
"Hallmon, Deion",20,CB,5110,163,RS JR/TR,Cypress Bay HS,"Weston, Fla."
