Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ames, Jake",47,LB,6000,212,RS FR,Williamsville North,"Buffalo, N.Y."
"Ames, Nick",57,LB,6000,208,RS FR,Williamsville North,"Buffalo, N.Y."
"Anderson, Drew",12,QB,6050,220,SO/TR,Miramonte,"Orinda, Calif."
"Anderson, Theo",11,RB,5100,210,FR,Indian Rocks Christian,"Largo, Fla."
"Awosika, Kayode",73,OL,6050,285,FR,Maple Grove,"Plymouth, Minn."
"Baker, Roy",18,CB,6020,175,FR,American,"Hialeah, Fla."
"Bowman, Trey",78,OL,6040,302,RS SO/TR,St. Albert Catholic,"Carter Lake, Iowa"
"Brandon, Justin",90,DT,6010,305,SO,Ben Davis,"Indianapolis, IN"
"Byron, Jacob",62,OL,6030,285,RS JR,Marion,"Marion, NY"
"Carr, Dan",52,OL,6050,315,FR,St. Joseph's,"Buffalo, N.Y."
"Clarke, Conor",95,P,6020,227,SR,Lancaster,"Lancaster, N.Y."
"Collier, Jordan",25,SS,5100,205,RS SO/TR,Lovejoy,"Lovejoy, GA"
"Crawford, Brandon",55,DT,6020,285,SR,Madison County,"Madison, FL"
"Cummings, Michael",14,K,6010,190,RS FR,Clarkstown South,"West Nyack, N.Y."
"Dadeboe, Andrews",17,SS,6000,207,JR,Central York,"York, PA"
"Dadeboe, Jeremiah",6,CB,6010,198,RS FR,Central York,"York, PA"
"DeMonte, Mikel",17,WR,5100,180,RS SR/TR,Brockport,"Brockport, N.Y."
"DeWeen, Kyle",30,K/P,6020,175,JR/TR,Niagara Falls,"Niagara Falls, N.Y."
"Dogal, Jacob",60,LS,6000,190,RS FR,Orchard Park,"Orchard Park, N.Y."
"Douglas, Remaine",99,DL,6030,303,RS SR/TR,Stoneman Douglas,"Parkland, Fla."
"Duke, Jordan",30,WR,6010,175,FR,Marietta,"Marietta, Ga."
"Eiland, Jamarl",15,WR,5100,192,RS JR,Plymouth,"Canton, MI"
"Emer, Zach",49,LB,6020,205,RS FR,Iroquois,"Elma, N.Y."
"Ford, Chris",58,NG,6020,315,RS JR,Medina,"Medina, OH"
"Forman, Michael",20,RB,5090,212,JR,Newton South,"Dorchester, Mass."
"Franklin, Jarrett",36,OLB,6010,230,RS JR,Francis Howell,"St. Charles, MO"
"Fuzak, Jake",97,DL,6050,275,FR,Williamsville South,"Williamsville, N.Y."
"Goldsby, David",70,OL,6040,308,JR/TR,Vashon,"St. Louis, Mo."
"Gonzalez, Christian",68,OL,6020,305,RS FR,Shabazz,"Newark, NJ"
"Grassman, Corbin",27,LS,6010,225,SR,Johnstown-Monroe,"Alexander, OH"
"Gray, Andrew",84,TE,6030,230,RS SO/TR,Chardon,"Chardon, Ohio"
"Hardgers, Craig",43,DB,5090,185,JR/TR,Greece Olympia,"Rochester, N.Y."
"Hargrove, Ishmael",16,DB,6020,225,JR,Gilmour Academy Gates Mill,"Cleveland, OH"
"Harris, Charles",92,DE,6040,260,SO,Southfield,"Southfield, MI"
"Harris, Demone",91,DE,6040,272,RS JR,Bishop Timon-St. Jude,"Buffalo, NY"
"Hartley, Skylar",54,OL,6020,300,RS SO,Hilliard Bradley,"Columbus, OH"
"Hawkins, Johnathan",24,RB,5100,208,SO,Mill Creek,"Lawrenceville, GA"
"Henderson, Corey",13,DL,6040,270,RS SO,King George,"King Georga, VA"
"Hendrick, Torey",9,DE,6020,230,RS JR/TR,Winslow Township,"Sicklerville, NJ"
"Hill, Tyrone",33,DB,6010,195,FR,Don Bosco Prep,"Passaic, N.J."
"Hodge, Khalil",4,LB,6020,240,SO/TR,St. Mary's,"Stockton, Calif."
"Holsey, Kamathi",86,WR,6040,215,JR/TR,Oscar Smith,"Philadelphia, Pa."
"Hwang, Duke",96,DT,6000,285,SO,Williamsville North,"East Amherst, NY"
"Jack-Kurdyla, Tomas",65,OL,6040,295,FR,Vanier College,"Montreal, Que."
"Jackson, Tyree",3,QB,6070,245,RS FR,Mona Shores,"Norton Shores, MI"
"Johnson, Anthony",83,WR,6020,196,JR/TR,South Pointe,"Rock Hill, S.C."
"Johnson, Dominic",9,QB,6050,224,FR,Catholic Central,"Windsor, Ont."
"Johnson, Jordan",2,RB,6000,220,RS SR,Sweet Home,"Amherst, NY"
"Joseph, Roubbens",71,OL,6040,310,SR/TR,Commerce,"Springfield, MA"
"Keels, Joe",50,DE,6030,270,SR/TR,Bradford HS,"Kenosha, Wis."
"Kenefick, Michael",64,OL,6050,280,RS FR,Canisius,"Buffalo, N.Y."
"Khoury, Jake",95,DL,6020,280,RS SO,St Francis Catholic,"Traverse City, MI"
"Klenk, Jack",79,OL,6030,282,FR,Pittsford Sutherland,"Pittsford, N.Y."
"Ksiezarczyk, Evin",67,OL,6050,305,RS FR,West Seneca East,"West Seneca, NY"
"Kunick, Austin",63,OL,6050,250,RS FR,Victor,"Victor, N.Y."
"Lamour, Dev",28,FS,6010,195,RS FR,Vanier College,"Montreal, QC"
"Larocca, Todd",6,QB,6020,185,FR,Bishop Kearney,"Rochester, N.Y."
"Levebvre, Zac",89,TE,6060,245,FR,Victor,"Victor, N.Y."
"Lewis, Cameron",39,CB,5110,188,SO,Consortium Prep,"Detroit, MI"
"Mabry, Tyler",81,TE,6020,250,RS FR,Lincoln/IMG Academy,"Ypsilanti, MI"
"Manosalvas, Brandon",61,OG,6040,310,RS JR,Paramus,"Paramus, NJ"
"Martinez, Jacob",88,WR,6000,195,RS JR,Bozeman,"South Port, FL"
"McCoy, Albert",75,OT,6030,300,RS SR,Gibbs,"St. Petersburg, FL"
"McGill, Marcus",7,WR,6010,230,RS SR,Gates Chili,"Rochester, NY"
"Mitcheson, Adam",19,PK,6020,205,RS SO,Kiski Area,"Pittsburgh, PA"
"Mitris, Michael",94,LB,5100,215,JR,West Schroeder,"Webster, N.Y."
"Molinich, Glynn",44,TE,5110,230,RS JR,Pittsford Mendon,"Pittsford, NY"
"Molinich, Jake",48,TE,6000,240,FR,Pittsford Sutherland,"Pittsford, N.Y."
"Morehart, Connor",74,OL,6040,315,SO/TR,Governor Mifflin,"Reading, Pa."
"Mulbah, Justin",21,LB,5110,210,FR,St. Vincent Pallotti,"Laurel, Md."
"Myers, Billy",37,RB,6010,207,RS FR,Orchard Park,"Orchard Park, N.Y."
"Nicholas, Myles",94,OLB/DE,6020,250,RS SO,Irondequoit,"Rochester, NY"
"Nicholas, Zach",32,DB,6000,194,JR,Mount Hebron,"Ellicott City, MD"
"Nosworthy, Paul",72,OL,6040,298,SO/TR,Baldwin,"Baldwin, N.Y."
"Nunn, Antonio",16,WR,5110,190,FR,Jefferson,"Tampa, Fla."
"O'Hagan, James",77,OC,6030,310,RS SO,Seafood Senior,"Seafood, NY"
"O'Henly, Tyler",59,OL,6070,315,RS JR,Mother Teresa,"London, Ontario"
"O'Neal, O.J.",18,S,6020,190,JR/TR,Jefferson County,"Fayette, Miss."
"Osborn, KJ",8,WR,6000,205,RS FR,Lincoln/IMG Academy,"Ypsilanti, MI"
"Otwinowski, Matt",42,LB,6020,232,FR,LaPorte,"LaPorte, Ind."
"Overton, Jordan",13,WR,5100,185,FR,Brush,"Lyndhurst, Ohio"
"Perisse, Max",66,NG,6030,285,RS SR,Reed Henderson,"Dowingtown, PA"
"Pickett, Kameron",5,RB,5110,215,FR,North Gwinnett,"Suwanee, Ga."
"Reed, Emmanuel",29,RB,5080,185,RS FR,Sebastian River,"Crestview, FL"
"Rembert, William",35,DB,6010,205,RS SR,Cass Technical,"Southfield, MI"
"Ringwood, Tyler",4,WR,6020,211,FR,Bishop Timon-St. Jude,"Buffalo, N.Y."
"Roberts, Tim",22,S,6020,195,JR/TR,Hahnvile,"Hahnville, La."
"Robinson, Malcolm",80,WR,6010,205,RS SR,Canton McKinley,"Canton, OH"
"Rogers, Kevin",82,TE,6030,248,RS SO,Anderson,"Cincinnati, OH"
"Rohach, Grant",19,QB,6020,217,RS SR/TR,Moorpark HS,"Moorpark, Calif."
"Ross, Boise",1,CB,6000,195,SR,Liberty,"Bethlehem, PA"
"Rowland, Brad",69,OL,6040,320,JR/TR,Los Osos,"Rancho Cucamonga, Calif."
"Ruggiero, Nicco",56,LB,6020,215,RS FR,Tottenville,"Staten Island, N.Y."
"Schreck, Mason",85,TE,6042,257,RS SR,Medina,"Medina, OH"
"Scott, Wesley",98,DE,6040,276,JR/TR,Murrieta Mesa,"Murrieta, Calif."
"Scroggins, Jerin",10,WR,6000,185,SO/TR,Cabrillo,"Lakewood, Calif."
"Sheets, Taylor",40,P,6010,212,FR,Fort Mill,"Tea City, S.C."
"Skipworth, Cameron",45,CB,5090,180,RS FR,Charles W Baker,"Baldwinsille, NY"
"Slack, Tatum",9,CB,5090,195,SO/TR,Upland,"Upland, Calif."
"Spell, Chris",87,WR,5110,175,JR,Walter Panas,"Cortland Manor, N.Y."
"Tutela, Joe",93,DL,6010,260,RS FR,East Coast Prep,"Great Barrington, Mass."
"Webb, Jacquis",76,OL,6060,344,RS JR/TR,Gates Chili,"Rochester, N.Y."
"Williams, Brandon",14,CB,5110,185,RS SO,Lovejoy,"Lovejoy, GA"
"Williamson, Ryan",26,FS,6000,182,JR,Colerain,"Cincinnati, OH"
