Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adado, Andy",77,OL,6030,275,SO,Holt,"Holt, Mich."
"Anderson, Norman",0,DB,6000,175,FR,Fletcher,"Neptune Beach, Fla."
"Apsey, Trevor",11,LB,6000,215,RS JR,Glen Lake,"Maple City, Mich."
"Austin, Joe",59,OL,6060,290,RS SR,Bridgeport HS,"Bridgeport, Mich."
"Baker-Williams, Deshawn",91,DL,6040,305,RS SO,John Glenn HS,"Westland, MI"
"Banks, Bobby",19,LB,5110,215,RS SO,Southfield Christian HS,"Detroit, MI"
"Bellamy, Shahid",97,NT,6010,305,RS SO,Oak Park HS,"Detroit, MI"
"Berghorst, Johnathan",0,DT,6020,267,FR,Zeeland East,"Zeeland, Mich."
"Bracy, Darius",0,CB,5100,177,FR,Baker,"Mobile, Ala."
"Brady, Blake",54,DL,6030,240,RS FR,Dakota,"Macomb, Mich."
"Briones, Alex",30,LB,6020,240,JR,Ishpeming,"Ishpeming, Mich."
"Brisson-Fast, Nate",46,DE,6050,260,RS JR,Ferndale,"Ferndale, Mich."
"Brown, Brandon",0,ATH,5100,178,FR,Welland,"Ontario, Canada"
"Brown, Troy",0,S,6000,188,FR,Carman-Ainsworth,"Flint, Mich."
"Buczkowski, Hunter",44,FB,6000,240,RS FR,Mount Pleasant,"Mount Pleasant, Mich."
"Buell, Brady",0,P/K,6000,180,FR,St. Francis,"Traverse City, Mich."
"Bunting, Sean",27,CB,6010,180,SO,Chippewa Valley,"Clinton Township, Mich."
"Carr, Shakir",70,OL,6040,320,RS JR,Clay,"South Bend, Ind."
"Carson, Jonathan",85,TE,6030,245,RS JR,Messmer Catholic,"Milwaukee, Wis."
"Chapman, Mark",3,WR,6000,180,RS SR,Port Huron HS,"Port Huron, Mich."
"Childress, Brandon",18,WR,6020,195,RS SO,Baldwin HS,"Baldwin, MI"
"Clark, Carlos",43,LB,6000,235,RS SO,Belleville HS,"Belleville, MI"
"Cleveland, Dante",92,DL,6020,270,RS FR,Hoffman Estates,"Hoffman Estates, Ill."
"Cole, Cameron",82,WR,6000,185,RS SO,Saline,"Saline, Mich."
"Coleman, Amari",7,CB/KR,5110,188,SR,New Lothrop,"Flint, Mich."
