Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Nigel",39,LB,6000,238,RS FR,Central Gwinnett,"Lawrenceville, Ga."
"Allen, Ikeem",55,NT,6010,270,SR,Mallard Creek,"Charlotte, NC"
"Allen, Joshua",2,DB,6000,205,JR,Victory Christian,"Charlotte, N.C."
"Anderson, Khari",29,DB,6020,N/A,RS FR,Hawken,"Cleveland, Ohio"
"Asseh, Cedric",1,DB,6020,182,RS SO,Grayson,"Loganville,Ga"
"Bahl, Billy",5,QB,6040,237,JR,Marian Central Catholic,"Woodstock, Ill."
"Banks, Travion",6,DB,6000,183,SO,Evanston,"Evanston, Ill."
"Baratti, Bart",49,DB,5100,185,SO,N/A,"Klein, Texas"
"Becker, Nate",44,TE,6050,253,RS JR,Carmel,"Carmel,Ind"
"Bester, Jaylon",18,WR,5080,160,FR,Althoff Catholic,"Belleville, Ill."
"Brookhart, Joey",26,PK,6010,181,RS FR,Lovejoy,"Dallas, Texas"
"Brown, Mike",28,DB,6010,195,FR,Grand Rapids Catholic Central,"Grand Rapids, Mich."
"Burdine, AJ",69,DL,6020,290,RS SR,Elder,"Cincinnati, Ohio"
"Burse, Kobe",27,DB,6000,219,SO,Mona Shores,"Muskegon Heights, Mich."
"Burton, Mitchell",10,RB,6020,195,FR,Columbus North,"Columbus, Ind."
"Calcagno, Quinn",92,DE,6040,248,JR,St. Francis,"Wheaton, Ill."
"Connolly, Sam",48,ILB,6010,243,RS JR,Mt.Carmel,"Chicago, IL"
"Costin, Doug",58,DL,6030,285,SO,Bishop Shanahan,"West Chester, Pa."
"Crabtree, Evan",59,LS,5100,234,RS SO,Dublin Coffman,"Dublin, Ohio"
"Daniels, Deondre",15,CB,5110,190,JR,Goose Creek,"Goose Creek, S.C."
"Diamond, Jordan",67,OG,6040,327,RS SR,Simeon,"Chicago, Ill."
"Doyle, Tommy",54,OL,6080,291,RS FR,Edina,"Edina, MInn."
"Duffin, Mack",94,DL,6020,277,RS JR,Avon,"Avon, Ind"
"Earnest, Brad",9,DB,6010,240,RS JR,Lakeside,"Atlanta, GA"
