Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abresch, Jackson",13,S,6010,202,RS SR,Arrowhead,"Hartland, WI"
"Allen, Mycial",20,FS,5110,198,RS SR,King,"Detroit, MI"
"Ballain, Jacob",0,K,6000,180,FR,Whiteland,"Greenwood, Ind."
"Beebe, Chad",82,WR,5090,184,RS SR,Aurora Christian,"Aurora, IL"
"Blake, Christian",4,WR,6010,182,SR,Cardinal Gibbons,"Ft. Lauderdale, FL"
"Brinkman, Mitchell",89,TE,6020,244,SO,Lewis Central Senior,"Council Bluffs, Iowa"
"Brinson Jr., Damarius",16,CB,6010,180,RS SR/TR,Boca Ciega,"Gulfport, Fla."
"Brown, D.J.",10,RB,5090,181,JR,North Little Rock HS,"North Little Rock, AR"
"Brown, Dale",76,OL,6030,307,RS JR,Lee's Summit West,"Lee's Summit, MO"
"Buirge, Adam",29,S,6000,205,RS SO,Park Center HS,"Minneapolis, MN"
"Childers, Marcus",15,QB,6000,229,RS FR,Adairsville,"Adairsville, Ga."
"Cole, Jordan",0,LB,6020,190,FR,Mcclure South-Berkeley,"Ferguson, Mo."
"Corcoran, Josh",12,DE,6030,250,JR,Lakeville South HS,"Lakeville, MN"
"Corley, Herlandez",97,DT,6020,287,RS JR,McGill-Toolen,"Mobile, AL"
"Covington, Jaquis",38,CB,5110,161,RS SO,Plainfield North,"Plainfield, Ill."
"Crawford, Daniel",88,TE,6010,242,RS SO,Dakota HS,"Macomb, MI"
"Daniels, Will",41,LB,5110,215,RS JR,Preble,"Green Bay, WI"
"Dassow, Calvin",0,OL,6070,310,FR,Sussex Hamilton,"Menominee Falls, Wis."
"Denton, Jawon",0,DE,6020,210,FR,Morgan Park,"Chicago, Ill."
"Deveaux Jr., Lance",37,LB,6000,202,SO,St. Thomas Aquinas,"Pompano Beach, Fla."
"Embry, Jalen",3,CB,6000,184,RS JR/TR,Detroit Martin Luther King,"Detroit, Mich."
"Evans, Shane",77,OC,6040,302,RS JR,Prairie Ridge,"Crystal Lake, IL"
"Ference, Matt",0,P,5110,180,FR,Lafayette,"St. Louis, Mo."
"Fischer, Aaron",47,FB,5100,239,RS JR,Sun Prairie,"Sun Prairie, WI"
"Foster, Trayshon",49,S,5110,192,RS SO,Tuscaloosa Academy,"Tuscaloosa, Ala."
"Gay, Rayshawn",0,LB,6020,200,FR,Proviso East,"Maywood, Ill."
"Gibbons, Ryan",85,WR,5110,177,RS FR,Maine South,"Park Ridge, Ill."
"Graham, Ryan",17,QB,6010,210,RS JR,Wheaton-Warrenville South,"Wheaton, IL"
"Gregory, Andrew",42,LB,6010,213,RS FR,Normal Community,"Normal, Ill."
"Gueths, Ezekiel",63,OT,6050,302,RS FR,Shawano,"Shawano, Wis."
"Hagan, Christian",34,PK,6000,188,SR,Westside,"Omaha, NE"
"Hall, Rodney",6,QB,6020,212,FR,Cass Technical,"Detroit, Mich."
"Harbison, Tre",5,TB,5100,221,RS FR/TR,Crest HS,"Shelby, N.C."
"Harmston, Ty",84,TE,6040,258,RS JR,Stockton,"Stockton, IL"
"Hawn, Isaac",71,OL,6060,302,FR,St. Charles North,"St. Charles, Ill."
"Heflin, Jack",98,DE,6030,296,RS FR,Prophetstown,"Prophetstown, Ill."
"Hlava, Jake",52,LB,6020,240,RS SO,Batavia Sr. HS,"Batavia, IL"
"Huff, Jordan",23,TB,5110,224,RS SR,St. Paul's Episcopal,"Mobile, Ala."
"Hughes, Vincent",75,OL,6040,290,RS SO,Franklin HS,"Franklin, WI"
"Hunt, Tifonte",30,CB,5090,172,RS JR,Thornton Township,"Harvey, IL"
"Isom, Daniel",39,DB,5100,173,SO,St. Louis University,"St. Louis, Mo."
"Johnson, Jawuan",7,SS,5110,218,RS JR,New Boston,"New Boston, TX"
"Jones, Marcus",21,RB,5080,202,RS SO,Brother Rice HS,"Oak Lawn, IL"
"Jones IV, Bobby",6,LB,6000,220,RS SR,Monsignor Pace,"Miami Gardens, FL"
"Jones-Davis, Antonio",48,LB,5100,218,RS SO,Vero Beach,"Vero Beach, Fla."
"Kelly, Marcus",96,DE,6020,271,RS SO,West HS,"Waukesha, WI"
"Kennedy, Michael",0,LB,6010,200,FR,Mt. Carmel,"Chicago, Ill."
"Kramer, Weston",0,DT,6020,280,FR,Marmion Academy,"Naperville, Ill."
"Labus, Vinny",50,LS,6020,232,FR,Maine South,"Park Ridge, Ill."
"Lee, William",90,DT,6020,301,RS SR,Arsenal Tech,"Indianapolis, IN"
"Leroy, Ben",99,DT,6020,280,SO,Loyola Academy,"Wilmette, Ill."
