Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aguirre, Ken",90,DL,6010,300,SO,Joilet Catholic Memorial HS,"Joilet, Ill."
"Anderson, K.J.",0,DB,6000,170,FR,Buford,"Buford, Ga."
"Asbury, Jordan",51,DL,6030,290,RS FR,De La Salle HS,"Warren, Mich."
"Assoua, Eric",33,DE,6020,240,JR,St. John's HS,"Silver Springs, MD"
"Bailey, Caleb",8,LB,6000,225,RS SR,Romeoville,"Romeoville, Ill."
"Balabani, Tony",58,DE,6030,235,RS SO,Dakota HS,"Macomb, MI"
"Beal, Sam",1,CB,6010,185,JR,Ottawa Hills HS,"Grand Rapids, MI"
"Bellamy, LeVante",5,WR,5090,185,RS SO,Pike HS,"Indianapolis, IN"
"Bezerra, Lucas",88,TE,6040,250,SR,Troy Athens,"Troy, Mich."
"Bogan, Jamauri",32,RB,5070,192,RS JR,Union,"Union, N.J."
"Borske, Brett",89,TE,6060,250,SO,Neuqua Valley HS,"Naperville, Ill."
"Boyd, Dontre",11,DB,5090,170,RS FR,Martin Luther King,"Detroit, Mich."
"Broersma, Hunter",10,WR,6010,195,RS FR,Mona Shores,"Norton Shores, Mich."
"Brooks, Mark",60,OL,6060,300,RS FR,Portland,"Portland, Mich."
"Brown, Asantay",6,OLB,6000,215,SR,Mona Shores,"Muskegon, Mich."
"Caliendo, Mike",61,OL,6040,300,RS FR,Brookfield East HS,"Brookfield, Wis."
"Campbell, Trevor",0,OL,6050,280,FR,Naperville Central,"Naperville, Ill."
"Claiborne, Stefan",21,DB,6020,190,RS FR,Chippewa Valley,"Warren, Ohio"
"Crawford, Calin",14,DB,5110,195,RS FR,Salem,"Canton, Mich."
"Curtis, Anton",2,WR,6000,195,RS SO,East English Village Prep,"Grosse Point, MI"
"Curtis, Jaret",82,WR,5110,190,RS FR,Ashwaubenon HS,"Green Bay, Wis."
"Darby, Jack",0,LS,5100,240,FR,Batavia,"Batavia, Ill."
"Davie, Ra'sean",23,WR,5060,175,RS FR,North Central,"Indianapolis, Ind."
"Deatherage, Dylan",0,OL,6060,255,FR,Bishop McNamara,"Kankakee, Ill."
"Dellinger, Zenden",0,OL,6060,250,FR,Snider,"Fort Wayne, Ind."
"Diaz, Martin",99,LS,5100,215,RS JR,American Heritage,"Miami, Fla."
"Doyle, Curtis",67,OG,6050,305,RS JR,Alma,"Alma, Mich."
"Ekwoge, Leo",33,RB,5110,215,RS JR,Good Counsel,"Olney, Md."
"Elazazy, Mohammed",0,OL,6050,310,FR,Menasha,"Menasha, Wis."
"Erb, Keenan",47,K,5070,155,JR,Vicksburg,"Vicksburg, Mich."
"Ernsberger, Donnie",85,Y/TE,6030,255,SR,Lakeview,"Battle Creek, Mich."
"Eskridge, D'Wayne",7,RB,5090,190,SO,Bluffton HS,"Bluffton, Ind."
"Evans, Jason",96,K,5100,195,RS JR,Oswego East,"Oswego, Ill."
"Falcon, Matt",28,RB,6010,235,RS FR,Southfield,"Ypsilanti, Mich."
"Fayad, Ali",0,DL,6020,310,FR,Dearborn,"Dearborn, Mich."
"Finley, Ken",91,DL,6020,290,JR,Muskegon HS,"Muskegon, MI"
"Flacco, Tom",14,QB,6000,200,JR,Eastern HS,"Voorhees, NJ"
"Foster, DeShawn",36,DB,5110,239,JR,Mumford,"Detroit, Mich."
"Franklin, Jarvion",31,RB,6000,225,SR,Tinley Park,"Tinley Park, Ill."
"French, Wesley",66,NT,6050,295,RS SO,St. Joseph HS,"Benton Harbor, MI"
"Gerkis, Izaak",0,P,5080,176,FR,Seaholm,"Birmingham, Ala."
"Ginwright, Davontae",9,CB,6020,200,RS SO,Southfield HS,"Southfield, MI"
"Goddard, Reece",0,QB,6020,210,FR,Kirkwood,"Kirkwood, Mo."
