Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Auelua, Daniel",90,DT,6020,293,SR/TR,Lone Peak HS,"Alpine, Utah"
"Bailey, Kole",75,OL,6040,272,RS FR,Twin Falls,"Twin Falls, Idaho"
"Barr, Brock",89,WR,6030,204,RS SR/TR,Enterprise HS,"Redding, CA"
"Bates, John",85,TE,6060,245,RS FR,Lebanon HS,"Lebanon, Ore."
"Beasley, Drake",0,RB,5110,185,FR,La Canada,"La Canada, Calif."
"Blakley, Chase",86,TE,6040,237,RS JR,Coeur d'Alene HS,"Coeur d'Alene, ID"
"Blaser, Christian",80,WR,6010,171,RS FR,Rocky Mountain HS,"Boise, Idaho"
"Bowler, Clay",42,SLB,6000,196,FR,Holtville,"Holtville, Calif."
"Boyd, Breydon",0,LB,6030,215,FR,Katy,"Katy, Texas"
"Brown, Jermani",0,DB,5110,175,FR,Midlothian,"Midlothian, Va."
"Butler, Akilian",81,WR,5100,183,JR,West Mesquite,"Mesquite,TX"
"Carter, Julian",2,WR,6020,200,RS FR,Saguaro HS,"Scottsdale, Ariz."
"Cleveland, Ezra",76,OL,6060,305,RS FR,Bethel HS,"Spanaway, Wash."
"Cole, Damon",0,WR,6010,170,FR,El Cerrito,"El Cerrito, Calif."
"Collingham, Garrett",5,WR,6040,225,RS SO,Mountain View,"Meridian, Idaho"
"Constantine, Jake",15,QB,6010,187,RS FR,Camarillo HS,"Camarillo, Calif."
"Cord, Chase",0,QB,6030,185,FR,Sunrise Mountain,"Peoria, Ariz."
"Cottrell, Austin",17,WR,6020,203,SR/TR,Mountain Range High School,"Glendale, Ariz."
"Crabtree, Nick",93,TE,6070,261,RS FR,Huntington Beach HS,"Huntington Beach, Calif."
"DeRose, Bruno",48,WLB,5110,214,RS FR,Pueblo East HS,"Pueblo, Colo."
"Dhaenens, Alec",87,TE,6030,245,RS SR,Fruitland HS,"Fruitland, Idaho"
"Dixon, Austin",69,OL,6060,290,RS FR,Corona del Sol HS,"Tempe, Ariz."
"Evans, Marques",13,CB,5110,172,FR,Newbury Park,"Pasadena, Calif."
"Evans, Octavius",0,WR,6030,195,FR,Center,"Center, Texas"
"Fesili, Emmanuel",57,DT,6020,308,SO,Long Beach Poly,"Long Beach, Calif."
"Frazier, Jabril",8,STUD,6040,237,RS JR,Verbum Dei HS,"Los Angeles, CA"
"Hampton, Mason",59,OC,6030,303,RS SR,Meridian HS,"Meridian, Idaho"
"Happle, Jordan",32,S,5110,191,RS FR,Jesuit HS,"Portland, Ore."
"Harrington, Donte",71,OL,6020,301,RS FR,San Clemente HS,"San Clemente, Calif."
"Harrison-Ducros, Reidd",27,CB,5100,172,SO,Coffeyville Heritage HS,"Coffeyville, Texas"
"Hartsfield, Cameron",37,CB,5100,199,RS SR,Allen HS,"Allen, Texas"
"Hatada, Chase",93,DL,6030,268,SO,Rocklin HS,"Rocklin, Calif."
"Heffner, Will",41,WLB,6020,219,RS SO,Bishop Kelly,"Boise, Idaho"
"Hoggarth, Haden",41,K,6000,198,RS JR,N/A,N/A
"Horton, Tyler",14,CB,5110,183,JR,Edison,"Stockton,CA"
"Jefferson, Bryan",9,WR,5110,189,RS SO,Leesburg,"Leesburg,FL"
"Jones, Tyreque",0,DB,6020,180,FR,San Gorgonio,"San Bernardino, Calif."
"Kafentzis, Roman",0,LB,6020,200,FR,Mater Dei,"Rancho Santa Margarita, Calif."
"Kaniho, Kekaula",0,DB,6000,170,FR,Kahuku,"Kahuku, Hawaii"
"Kelemete, Aisa",0,DE,6030,225,FR,Highland,"Pocatello, Idaho"
"Knight, Jake",84,TE,6040,232,RS JR/TR,Rocky Mountain,"Meridian, Idaho"
"Larson, Garrett",67,OL,6040,296,RS SO,Fruitland HS,"Fruitland, ID"
"Lewis, Archie",74,OG,6030,300,RS SR,Rancho Cucamonga HS,"Rancho Cucamonga, Calif."
"Lewis, Robert",30,DB,5100,177,RS FR,Hawkins HS,"Los Angeles, Calif."
"Locher, Matt",54,NT,6020,268,RS SO,Los Alamitos HS,"Los Alamitos, CA"
"Lui, Sonatane",98,NT,6010,298,SO,Alta,"Sandy, Utah"
"Maeva, Tyson",58,MLB,6000,221,SO,Cathedral Catholic,"San Diego, Calif."
"Mahone, Robert",34,RB,5100,203,RS FR,Prosper HS,"Prosper, Texas"
"Mattison, Alexander",22,RB,5110,216,SO,San Bernardino HS,"San Bernardino, Calif."
"Miles, Durrant",91,DE,6050,255,JR,Bingham HS,"South Jordan, UT"
"Moa, David",55,NT,6030,262,RS JR,Kearny HS,"San Diego, CA"
"Modster, Sean",8,WR,5110,190,RS JR,Mission Viejo HS,"Mission Viejo, CA"
"Molchon, John",77,OL,6050,310,RS SO,Faith Lutheran HS,"Las Vegas, NV"
"Moore, Isiah",0,OL,6050,285,JR/TR,Columbian,"Tiffin, Ohio"
"Nawahine, Kekoa",10,S,6020,200,SO,Rocky Mountain HS,"Meridian, Idaho"
"Noa, Zeke",0,LB,6000,220,FR,Helix,"Spring Valley, Calif."
"Ojukwu, John",70,OL,6060,285,FR,Boise,"Boise, Idaho"
"Perez, Gabe",33,STUB,6040,236,RS SR,Valencia HS,"Placentia, Calif."
"Pierce, DeAndre",4,CB,5110,168,SO,Long Beach Poly,"Long Beach, Calif."
"Pistone, Matt",47,TE,6030,249,RS SO,Yuma Catholic HS,"Yuma, AZ"
"Pitman, Nicholai",50,LS,5110,224,SO,Timberline,"Boise, Idaho"
"Preciado, Andres",78,OL,6060,293,RS JR,Mar Vista HS,"Imperial Beach, CA"
"Provenzano, Joe",43,MLB,5110,216,RS JR,Damien HS,"Glendora, CA"
"Provenzano, Nick",95,WLB,5110,212,RS FR,Damien HS,"Glendora, Calif."
"Quevedo, Eric",79,OT,6040,290,RS SO,West Covina,"West Covina,CA"
"Richardson, A.J.",28,WR,6000,205,RS JR,Narbonne HS,"Lomita, CA"
"Roh, Jake",88,TE,6030,227,RS SR,Chaparral HS,"Scottsdale, Ariz."
"Rufai, Kayode",45,DE,6040,263,RS FR,Lincoln,"Portland, Ore."
"Rypien, Brett",4,QB,6020,200,JR,Shadle Park,"Spokane,WA"
"Seibold, Skyler",31,RB,6010,209,RS JR,Chaparral HS,"Temecula, CA"
"Semons, Paul",92,DT,6030,271,RS JR,Eagle,"Eagle, ID"
"Shaddox, Jake",39,RB,5110,211,RS SO,Azusa Pacific,"Redding, Calif."
"Shaw, Derriyon",35,DE,6020,227,RS FR,Legacy,"North Las Vegas, Nev."
"Silsby, Austin",97,DE,6030,256,RS SR,Kuna HS,"Kuna, Idaho"
"Stetz, Jake",68,OL,6020,295,FR,Mission Hills,"San Marcos, Calif."
"Tanuvasa, Ma'a",47,DB,6010,195,RS FR,Mililani HS,"Mililani, Hawaii"
"Taylor, Solo",34,MLB,6020,216,RS FR,Rigby HS,"Rigby, Idaho"
"Tercek, Andrew",52,OG,6010,281,RS SR,East Central HS,San Antonio
"Thomas, Cartrell",0,WR,5090,160,FR,Lancaster,"Lancaster, Texas"
"Troughton, Zachary",65,OL,6060,316,JR/TR,Maxwell,"Maxwell, Calif."
"Tyler, Evan",15,S,6020,188,RS SO,Eleanor Roosevelt,"Corona,CA"
"Vander Esch, Leighton",38,OLB,6040,242,RS JR,Salmon River,"Riggins, ID"
"Velazquez, Joel",46,P/K,6000,220,RS FR,Trabuco Hills HS,"Mission Viejo, Calif."
"Vering, Ben",64,OL,6040,254,RS FR,Capital HS,"Boise, Idaho"
"Walker, Jalen",17,DB,6000,170,RS FR,Lawndale HS,"Lawndale, Calif."
"Watson, Jabari",40,DL,6010,261,RS FR,Summit HS,"Rancho Cucamonga, Calif."
"Weaver, Curtis",99,DL,6030,255,RS FR,St. Anthony HS,"Long Beach, Calif."
"Whimpey, Riley",0,LB,6020,210,FR,San Clemente,"San Clemente, Calif."
"Whitlock, Blake",36,LB,6010,221,SR,Saddleback College,"Reno, Nev."
"Whitney, Sam",53,STUD,6020,234,RS SO,Folsom,"Folsom,CA"
"Wickersham, Benton",25,LB,6020,228,RS FR,Elko,"Elko, Nev."
"Williams, Avery",26,CB,5090,197,RS FR,J Serra Catholic HS,"Pasadena, Calif."
"Williams, Desmond",9,SLB,5110,203,RS FR,Centennial HS,"Corona, Calif."
"Wilson, Cedrick",1,WR,6030,188,SR/TR,White Station,"Memphis, Tenn."
"Wolpin, Ryan",30,RB,5080,194,RS SR/TR,Santa Margarita HS,"Trabuco Canyon, CA"
"Wright, Damion",23,S,6000,190,RS SO,Salesian,"Los Angeles,CA"
"Young, Michael",6,CB,6000,209,RS JR/TR,Raytown,"Kansas City, Mo."
