Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Archuleta, Alonso",62,OL,6020,330,RS FR,Roosevelt,"Johnstown, Colo."
"Awunganyi, Robert",2,DB,6000,170,SO,John Burroughs,"Riverside, Calif."
"Bennett, Jake",77,OC,6030,290,RS SR,Bear Creek,"Lakewood, Colo."
"Birrell, Chandler",86,WR,6000,190,RS SO,McIntosh,"Peachtree City, Ga."
"BjorklÃ¼nd, Tyler",73,OL,6040,281,JR/TR,Valencia,"Santa Clarita, Calif."
"Blasco Jr., John",76,OL,6070,306,FR,Stadium,"Tacoma, Wash."
"Boddie, Rashaad",28,RB,6000,225,RS FR,Skyline,"Sammamish, Wash."
"Brooks, Scott",64,OL,6030,271,FR,Moorpark,"Moorpark, Calif."
"Brunt, Zoauntarrious",28,DB,6030,187,RS JR/TR,Lincolnton,"Gastonia, N.C."
"Bryan, Wyatt",96,K,6010,175,RS JR,Douglas County HS,"Larkspur, CO"
"Butler, Cameron",16,TE,6020,225,FR,Ridge View,"Columbia, S.C."
"Buys, Jakob",91,DL,6040,265,RS SR,Ralston Valley,"Arvada, Colo."
"Campbell, Darius",25,DB,5100,170,FR,John Ehret,"Marrero, La."
"Carnessale, Dante",23,DB,5110,160,RS FR,Valhalla,"El Cajon, Calif."
"Clark, Detrich",8,WR,5100,180,SR/TR,Macon County,"Montezuma, Ga."
"Clyburn, Deonte",12,ILB,6010,235,SR,Saint Xavier,"Louisville, Ky."
"Colon, Christian",4,DT,6030,335,RS FR,Independence,"Charlotte, N.C."
"Colorito, Evan",43,DE,6040,245,RS SR,Beaverton,"Beaverton, Ore."
"Cumber, Christian",20,DB,6000,179,FR,J.K. Mullen,"Denver, Colo."
"Davis, Braxton",83,K,5110,170,JR,Poudre,"Fort Collins, CO"
"Dawkins, Dalyn",1,RB,5090,175,RS SR/TR,Trinity HS,"Louisville,Ky"
"DeLine, Joe",67,K,6000,190,RS FR,Steamboat Springs,"Steamboat Springs, Colo."
"Donohue, Connor",49,DB,6010,185,RS FR,Diamond Bar,"Diamond Bar, Calif."
"Drachslin, Chandler",16,QB,6030,190,RS SO,Riverside Polytechnic,"Riverside, Calif."
"Dunkelman, Charles",42,FB,5110,230,RS FR,Loveland,"Loveland, Colo."
"Elsenbast, Patrick",42,LB,6010,210,RS SR,Chatfield,"Littleton, Colo."
"Fackrell, Dalton",30,TE,6040,240,SR/TR,Bingham,"South Jordan, Utah"
"Falls, Justin",40,FB,6000,195,RS JR/TR,Valor Christian,"Denver, Colo."
"Firment, Kieran",66,OL,6040,298,FR,West Allegheny,"Oakdale, Pa."
