Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aibuedefe, Nick",79,DL,6040,265,RS SO,Capital Christian HS,"Sacramento, Calif."
"Allen, Justin",13,WR,5110,186,RS JR,Mater Dei,Los Angeles Calif.
"Allison, Jeffrey",24,ILB,6000,245,SO,Langston Hughes,"Fairburn, Ga."
"Atkins, Kevin",90,DL,6020,315,RS FR,Vista Murrieta HS,"Murrieta, Calif."
"Bailey, Brent",0,QB,N/A,N/A,FR,Clovis North,"Fresno, Calif."
"Bailey, James",7,SLB,6010,225,JR,Lake Travis HS,"Austin, TX"
"Bell, Mike",4,CB,6030,205,RS SO,Citrus Hill HS,"Moreno Valley, Calif."
"Belony, Patrick",94,DL,6010,310,RS JR/TR,N. Miami Beach HS,"N. Miami Beach, Fla."
"Bien-Aime, Marc-David",0,OL,6050,365,FR,Montmorency College,"Montreal, Quebec"
"Boateng, Matt",26,DB,5110,178,JR/TR,IMG Academy,"Ajax, Ontario"
"Bryant, Jaron",38,DB,6000,186,SO,Duncanville HS,"Duncanville, Texas"
"Bull, Dontae",0,OL,6070,305,FR,Belmont Secondary,"Victoria, B.C."
"Cage, Richard",0,DL,6020,225,FR,Eleanor Roosevelt,"Corona, Calif."
"Camacho, Jimmy",36,K,5100,180,SR,Citrus Hill HS,"Perris, Calif."
"Coleman, Chris",0,DB,5110,180,FR,Garces Memorial,"Bakersfield, Calif."
"Coleman, Donte",82,TE,6030,240,RS FR,West Mesquite HS,"Mesquite, Texas"
"Coleman, Sherman",0,DB,5100,165,JR/TR,Westside,"Houston, Texas"
"Cronk, Christian",58,OT,6040,300,JR/TR,Oceanside,"Oceanside, Calif."
"Cruz, Alex",0,ILB,6030,230,FR,Concord,"Concord, Calif."
"Cusick, Blake",47,P,6010,192,RS SO,Monrovia HS,"Monrovia, CA"
"Dalena, Frank",19,WR,5070,154,RS SO,San Joaquin Memorial,"Fresno, Calf."
"De Jager, Nathan",45,K/P,6000,188,RS FR,Bakersfield Christian,"Bakersfield, Calif."
"DeGruy, Damien",0,DL,6030,235,FR,McDonogh,"New Orleans, La."
"Finch, Jackson",18,DB,6010,200,SR/TR,Central Catholic,"Modesto, Calif."
"Forrester, Malik",97,DL,6010,315,SR/TR,Glen Burnie HS,"Annapolis, Md."
"Foster, Tainoa",50,LB,6020,190,RS FR,Kamehameha HS,"Honolulu, Hawaii"
"Free, Wylan",0,CB,6010,170,FR,Lynwood,"Compton, Calif."
"Fuller, Asa",0,K,N/A,N/A,FR,Servite,"Fountain Valley, Calif."
"Gama, Shane",76,OL,6040,319,RS JR/TR,N/A,"Chino, Calif."
"Gaston, Chris",0,DB,6010,180,FR,Bishop Amat,"La Puente, Calif."
"Grayson, Anthony",84,WR,6010,168,RS JR,Redlands East Valley,"Redlands, Calif."
"Green, Justin",40,DE,6030,206,SR,Oak Park,"Oak Park, Calif."
"Grim, Derrion",0,WR,6000,195,SO/TR,N/A,"Stockton, Calif."
"Hardaway, Delvon",6,WR,6010,195,SR,Dorsey HS,"Los Angeles, Calif."
"Harper, Austin",25,RB,5080,160,SR/TR,El Cerrito HS,"Oakland, CA"
"Haynes, Jasad",93,DT,6000,270,RS SO,Clovis North HS,"Fresno, Calif."
"Helmuth, George",34,ILB,6010,222,RS JR,Clovis North,"Fresno, Calif."
"Hendrickson, Kyle",86,DE,6040,259,RS JR,San Pasqual,"Escondido, Calif."
"Hokit, Josh",33,OLB,6020,220,SO,Clovis,"Clovis, Calif."
"Hughes, Juju",23,CB,5100,179,SO,Hanford HS,"Hanford, Calif."
"Hughes, Logan",62,OT,6030,270,JR/TR,Green Valley,"Las Vegas, Nev."
"James, Dontel",28,RB,6000,222,RS SR/TR,Summit HS,"Fontana, Calif."
"Javernick, Gunner",46,TE,6050,266,JR/TR,Canon City,"Canon City, Colo."
"Jeanniton, Kevin",96,DE,6030,240,RS FR,Bullard,"Fresno, Calif."
"Jeune, Patrick",0,WR,6000,182,FR,Morningside,"Hawthorne, Calif."
"Johnson, KeeSean",3,WR,6010,204,RS JR,Palo Alto,"Palo Alto, Calif."
"Johnson, Saevion",24,RB,5110,198,RS FR,Reno HS,"Reno, Nevada"
"Jordan, Jamire",1,WR,5100,170,RS JR,Highland,"Lancaster, Calif."
"Kelly, Anthoula",6,CB,5090,195,RS JR,Galena Park,"Galena Park, Texas"
"Kroening, Kody",48,P,5110,180,SR,Valley Christian,"San Jose, Calif."
"Lindquist, Kyle",0,QB,N/A,N/A,FR,Pleasant Valley,"Chico, Calif."
"Madsen, Nathan",91,DE,6040,300,SR,Eureka HS,"Eureka, Calif."
"Mauga, T.J.",0,DL,6030,280,FR,Churchill County,"Fallon, Nev."
"Milton, Ka'Lonn",27,DB,6000,185,RS SO,Buchanon,"Fresno, Calif."
"Mims, Jordan",0,RB,5110,181,FR,Menlo-Atherton,"East Palo Alto, Calif."
