Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"'Unga, Metuisela",97,TE,6050,240,SR,Rancho Cucamonga HS,"Rochester, Calif."
"Abreu, Frank",31,WR,6000,200,RS SR/TR,St. Louis School,"Honolulu, Hawaii"
"Akoteu, Samiuela",91,DL,6020,320,RS SO,Junipero Serra,"Inglewood, Calif."
"Allen, Dejon",50,OG,6030,290,RS SR,Dominguez HS,"COMPTON, CA"
"Armstrong-Brown, Marcus",85,WR,6030,200,JR/TR,Justin-Sienna HS,"Napa, Calif."
"Aviu, Ramsey",76,OL,6020,300,FR,'Aiea,"'Aiea, O'Ahu"
"Barker, Ammon",80,WR,6040,225,RS SR,Alta HS,"SANDY, UT"
"Bernard, Isaiah",84,WR,6010,190,RS SR,Chaminade High School,"North Hills, CA"
"Borden, Noah",41,LB/LS,6010,215,JR,Kamehameha Schools Kapalama,"Pearl City, Hawaii"
"Borengasser, Austin",25,DB,6020,205,RS SO,Kamehameha Schools Kapalama,"Honolulu, Hawaii"
"Broman, Max",59,LB,6010,220,RS SR,Alta HS,"Draper, Utah"
"Brown, Dru",19,QB,6000,200,JR/TR,Los Gatos HS,"Monte Serano, Calif."
"Brownholtz, Cole",17,QB,6040,210,RS SO/TR,Jesuit HS,"Carmichael, Calif."
"Carter, Cole",89,DL,6040,265,RS FR,Fork Union,"Ashburn, Va."
"Choi, Zeno",99,DE,6030,260,JR,Kaiser High School,"Honolulu, O'ahu"
"Chung, Kaiwi",47,RB,5110,240,RS JR,Kamehameha,"Honolulu, HI"
"Collie, Dylan",23,WR,5100,175,RS JR/TR,Oakridge,"El Dorado Hills, Calif."
"Dale, Elijah",27,RB,5100,210,JR/TR,St. Ignatius,"San Francisco, Calif."
"Dalton, Donovan",0,DB,6040,200,FR,Saguaro,"Scottsdale, Ariz."
"Davis, Melvin",33,RB,6020,235,RS SR/TR,Natomas,"Santa Monica,CA"
"Dominique, Jay",0,DB,6020,195,FR,Old Montreal Cegep,"Montreal, Quebec"
"Eldridge, Tevarua",43,ILB,6020,230,RS JR,Baldwin,"Wailuku, HI"
"Eli, Asotui",65,OT,6040,315,RS JR,Kealakehe,"Kailua-Kona, HI"
"Ewaliko, Keelan",12,WR,5110,200,RS SR,Baldwin HS,"WAILUKU, HI"
"Faagau, Wesley",61,DL,6000,220,RS FR,Kamehameha Schools-Kapalama,"Wai'anae, O'ahu"
"Faalologo, Penitito",55,DL,5110,300,RS SR,Fagaitua HS,"Pago Pago, American Samoa"
"Falemalu, Rashaan",58,LB,6010,230,RS JR,Kahuku,"Hau'ula, HI"
"Farris II, Rojesterman",18,DB,6010,180,RS SO,Coral Springs Charter HS,"Coral Springs, Fla."
"Ford, Eugene",19,DB,6020,195,FR,University HS,"Los Angeles, Calif."
"Francisco, Akil",0,DB,6000,160,FR,Encinal,"Alameda, Calif."
"Furuta, Dayton",53,LB,5110,230,RS SO,Mililani HS,"Mililani, Hawaii"
"Gallup, Kyle",18,QB,6020,210,RS SO/TR,Chaparral HS,"Parker, Colo."
"Gaudion, Stan",83,P,6030,210,RS FR,Scotch College,"Melbourne, Australial"
"Gerard, Austin",37,DB,6010,195,RS SR/TR,Kamehameha Schools Kapalama,"Pearl City, Hawaii"
"Gifford, Ka'aumoana",94,DE,6040,275,RS JR,Kamehameha,"Wai'anae, HI"
"Gouveia, Dalton",52,LB,6010,225,RS SO,Charlotte Christian HS,"Mooresville, N.C."
"Graves, Emil",0,OL,6030,275,JR/TR,N/A,"Lynwood, Calif."
"Greeley, Kade",0,TE,6060,220,FR,Vista Murrieta,"Murrieta, Calif."
"Hauani'o, Josh",67,OL,6040,300,RS FR,'Iolani School,"Honolulu, Hawaii"
"Hayes, Cameron",28,S,5110,180,RS SO,Junipero Serra,"Gardena,CA"
"Henderson, Trayvon",39,SS,6000,200,RS SR,Grant Union HS,"SACRAMENTO, CA"
"Hendrie, Max",92,DL,6040,245,RS FR,The Scots College,"Sydney, Australia"
"Hensley, J.R.",57,OG,6050,310,RS SO,Edmond Santa Fe,"Edmond,OK"
"Hicks, Kalen",16,DB,6030,200,SO,Bishop Gorman HS,"Las Vegas, Nev."
"Holly, Freddie",21,RB,6000,210,RS FR,Norte Vista HS,"Riverside, Calif."
"Hudson-Rasmussen, Manu",0,DB,6000,185,JR/TR,Tigard,"Tigard, Ore."
"Hughes, Hunter",20,QB,5110,190,SR,Lake Zurich,"Lake Zurich, Ill."
"Ito, Genta",29,RB,5080,195,JR/TR,Hosei Daini HS,"Inabe, Japan"
"Kamaka, Tristin",49,WR,5080,165,SR/TR,Leilehua,"'Ewa Beach, O'ahu, Hawaii"
"Kauhi, Sione",95,TE,6050,235,RS SO,Wilsonville,"Wilsonville,OR"
