Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Kyle",52,LB,6000,220,SO/TR,JSerra Catholic,"Ladera Ranch, Calif."
"Armstrong, Trevion",5,WR,6030,210,RS FR,Trinity Episcopal,"Richmond, Va."
"Arnold, Austin",28,DB,6010,205,FR,Bishop Gorman,"Las Vegas, Nev."
"Arrington, A.J.",38,LB,6010,215,FR,Lone Peak,"Highland, Utah"
"Baber, Dameon",5,S,5110,180,JR,Palmdale HS,"Palmdale, Calif."
"Beach, Miles",85,TE,6040,240,RS FR,Los Gatos HS,"Los Gatos, Calif."
"Bowman, Morris",33,DB,6000,180,RS FR,Notre Dame HS,"Sherman Oaks, Calif."
"Brent, Justin",9,WR,6015,200,JR/TR,Speedway,"Speedway, Ind."
"Broady, Maliek",30,LB,5110,190,RS SO,Sierra Vista HS,"Las Vegas, Nev."
"Brown, Daniel",25,DB,5100,170,SO,Narbonne HS,"Harbor City, Calif."
"Brown, Nate",76,OL,6050,285,RS FR,Tracy HS,"Tracy, Calif."
"Burton-Hill, Carl",75,OL,6050,295,RS FR,Dixon HS,"Dixon, Calif."
"Calderara, Troy",97,PK,5100,168,FR,Folsom,"Folsom, Calif."
"Celis, Andrew",83,WR,5110,190,RS JR,Marin Catholic,"San Quentin,Ca"
"Choudja, Patrick",95,DE,6030,250,SR,Freedom HS,"Oakley, Calif."
"Christian, Dominic",11,DB,6010,200,RS SO,Hales Franciscan HS,"Chicago, Ill."
"Collons, Kori",44,DE,6050,225,RS SO,Jesuit HS,"Sacramento, Calif."
"Conaway, Quinton",35,P,6000,200,SO/TR,Edmond North,"Edmond, Okla."
"Cooks, Elijah",88,WR,6050,215,FR,Atascadero,"Atascadero, Calif."
"Corbett, Austin",73,OT,6040,300,SR,Reed,"Sparks, Nev."
"Cornwell, David",12,QB,6050,228,RS JR/TR,North,"Jones, Okla."
"Crandall, Tyler",36,DB,5110,190,RS SO,Folsom HS,"Folsom, Calif."
"Crumbie, Vosean",31,DB,6010,195,JR/TR,N/A,"Tallahassee, Fla."
"Cureton, Kaymen",8,QB,6020,205,FR,Leuzinger,"Lawndale, Calif."
"Dahn, Griffin",14,QB,6050,225,SO/TR,N/A,"Columbus, Ohio"
"Damanhoury, Ziad",77,OT,6060,310,JR,La Jolla Country Day,"San Diego, Calif."
"Davis, Gray",67,OL,6050,302,FR,Parish Episcopal,"Dallas, Texas"
"Davis, Jimbo",22,WR,5100,180,SR,Mount Si,"North Bend, Wash."
"Demps, Wyatt",19,WR,6040,200,SR,Pleasant Grove,"Elk Grove, Ca"
"Drahos, Jacob",61,DE,6020,220,RS FR,Carson HS,"Carson City, Nev."
"Edwards, Nathan",70,OL,6040,240,RS FR,Galena HS,"Reno, Nev."
"Farnsworth, Wes",42,LS,6020,230,JR,Bishop Monague HS,"Reno, Nev."
"Flannery, Colin",43,TE,6050,220,RS SO,George Ranch HS,"Richmond, Tex."
"Fossum, Kaleb",7,WR,5100,185,JR,El Toro,"Lake Forest, Calif."
"Gangi, Ty",6,QB,6020,205,JR/TR,St. Francis HS,"Glendale, Calif."
"Goodwin, Theo",80,WR,6010,182,FR,Christian,"San Diego, Calif."
"Grant, Zac",58,LS,6030,235,FR,Bishop Gorman,"Las Vegas, Nev."
"Green, Chris",54,DL,6020,265,FR,Los Angeles,"Los Angeles, Calif."
"Gregg, Nick",92,DL,6000,310,RS FR,Reed HS,"Sparks, Nev."
"Hall, Lawson",30,LB,6000,215,RS FR,Narbonne HS,"Harbor City, Calif."
"Hamilton, Isaiah",29,RB,5110,190,RS FR,Inderkum HS,"Sacramento, Calif."
"Hammond, Sam",69,OL,6050,220,RS FR,Yerington HS,"Yerington, Nev."
"Hankins, Anthony",46,DB,5100,175,JR/TR,North Valleys,"Reno, Nev."
"Henley, Daiyan",11,WR,6020,200,FR,Crenshaw,"Los Angeles, Calif."
"Howell, Kevin",16,DB,5100,180,RS FR,Thousand Oaks HS,"Thousand Oaks, Calif."
"Irby, Daq",12,DB,6010,190,RS FR,Samuel Morse HS,"San Diego, Calif."
"Jackson, Mar'Quette",14,LB,6000,202,FR,Dorsey,"Los Angeles, Calif."
"Johnson, Amir",63,OL,6020,265,FR,Bishop Gorman,"Las Vegas, Nev."
"Johnson, Daylon",19,DB,6010,170,RS FR,Oak Ridge HS,"Conroe, Texas"
"Johnson, Kendall",26,CB,6000,185,SR,St Thomas More,"Lafayette,La"
"Juarez, Hunter",81,WR,6000,177,FR,Marin Catholic,"Mill Valley, Calif."
"Kincaide, Jaxson",24,RB,5090,180,SO,St. Thomas Aquinas,"Fort Lauderdale, Fla."
