Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Achayo, Derrick",72,OL,6040,300,RS JR/TR,Oakmont HS,"Roseville, Calif."
"Agnew, Ryan",9,QB,6000,190,RS SO,Carroll High,"Southlake, Texas"
"Aleki, Andrew",0,LB,6030,220,FR,Kamehameha Schools-Kapalama,"Honolulu, Hawaii"
"Andrews, Collin",81,WR,6030,185,RS FR,Olympian,"Chula Vista, Calif."
"Bagayoko, Ladji",70,OL,6040,305,FR,Bishop Alemany,"Saint-Laurent, Quebec"
"Baldwin, Parker",33,S,6020,215,JR,Siloam Springs High,"Siloam Springs, Ark."
"Baron II, John",29,K/P,5110,190,RS JR,Chaparral HS,"Temecula, Calif."
"Bawden, Nick",15,QB,6030,245,SR,Los Gatos HS,"Los Gatos, CA"
"Bell, Chance",0,RB,5100,185,FR,John Burroghs,"Burbank, Calif."
"Bernard, Turner",50,LS,6010,210,RS FR,Mountain Ridge HS,"Glendale, Ariz."
"Bessent, Desmond",0,OL,6070,325,FR,Sickles,"Tampa, Fla."
"Binkley, Garrett",30,DB,5090,170,RS SO,Ramona HS,"Ramona, Calif."
"Boudreau, Neil",0,QB/PT,6030,200,RS FR,University HS,"Irvine, Calif."
"Bringuel, Josh",49,LB,6040,220,RS FR,Bellarmine Prep,"San Jose, Calif."
"Brown, Mark",0,DL,6030,230,FR,Arlington Heights,"Fort Worth, Texas"
"Cabrera, Israel",48,DB,5100,180,RS SO,Canyon HS,"Canyon Country, Calif."
"Cabrera, Liam",37,WR,5100,190,RS SO,Canyon HS,"Canyon Country, Calif."
"Carroll, John",31,LB,6020,235,RS SO,St. Francis High,"Santa Clarita, Calif."
"Cassidy, Troy",42,LB,6030,215,SO,Carlsbad HS,"Carlsbad, Calif."
"Chaney, Jerry",86,WR,6000,185,RS SO,Rancho Cucamonga High,"Rancho Cucamonga, Calif."
"Chapman, Christian",10,QB,6000,200,RS JR,Carlsbad HS,"Carlsbad, Calif."
"Cheatum, Myles",68,DL,6020,255,RS SO,Cedar Park High,"Cedar Park, Texas"
"Clay, Jeff",10,S,6000,195,RS SO,Antelope Valley High,"Lancaster, Calif."
"Coleman, Shane",0,TE,6050,215,FR,Tesoro,"Las Flores, Calif."
"Dedeaux, Ethan",0,WR,5090,190,FR,Liberty,"Las Vegas, Nev."
"Dedeaux Jr., Parie",14,S,6010,180,RS FR,Dorsey HS,"Los Angeles, Calif."
"Dixon, Daishawn",79,OL,6050,320,RS SO,William Howard Taft High,"San Antonio, Texas"
"Dunn, Ryan",57,LB,6030,225,SR/TR,San Ramon Valley HS,"Alamo, Calif."
"Ellis, Marc",47,WR,6000,190,JR,Granite Bay HS,"Granite Bay, Calif."
"Erickson, Garrett",95,K,6000,185,JR,Camarillo High,"Camarillo, Calif."
"Fitzpatrick, Brandon",80,WR,6030,190,SR,Ramona HS,"Ramona, Calif."
"Gardner, Jondarius",94,DL,6040,295,RS SR/TR,Pine Forest HS,"Pensacola, Fla."
"Gerhard, Nick",62,OL,6050,300,RS SO,Mansfield Timberview High,"Arlington, Texas"
"Gudino, Dominic",0,OL,6030,300,FR,Olympian,"Chula Vista, Calif."
"Hall, Darren",0,DB,6000,170,FR,Rancho Cucamonga,"Pasadena, Calif."
"Hall, Noble",95,NT,6030,265,RS JR,Valley HS,"Las Vegas, NV"
"Hanlon, Forrest",99,DL,6020,260,RS FR,Helix HS,"Lemon Grove, Calif."
"Harper, Temerick",53,LB,6010,225,SR/TR,Carter HS,"Fontana, Calif."
"Hawkins, Tayler",32,CB,6010,200,RS FR,Palm Springs HS,"Palm Springs, Calif."
"Hayes, Malik",36,LB,6040,231,RS FR,Grossmont HS,"San Diego, Calif."
"Henderson, Jay",46,OLB,6020,230,SR,Serrano HS,"Phelan, Calif."
"Himphill, Kaelin",47,LB,6020,225,RS FR,Liberty HS,"Hillsboro, Ore."
"Holder, Mikah",6,WR,6000,185,SR,Oceanside HS,"Oceanside, Calif."
"Houston, Parker",82,TE,6030,240,SO,Edward C. Reed HS,"Sparks, Nev."
"Irwin, Shane",0,DL,6040,250,FR,Palos Verdes,"Palos Verdes Estates, Calif."
"Ismael, Keith",60,OL,6030,310,RS FR,Sacred Heart Cathedral,"Daly City, Calif."
"Jasmin, Chase",22,RB,5110,195,RS FR,Westlake HS,"Agoura Hills, Calif."
"Jemmott, Delon",0,OL,6060,290,FR,Carnegie Schools Riverside,"Toronto, Ontario"
"Johnson Jr., Dwayne",37,S,6020,205,RS FR,Vista Murrieta HS,"Murrieta, Calif."
"Kelly, Kameron",7,WR,6020,200,SR,Wylie HS,"Murphy, TX"
"Lakalaka, Ronley",39,LB,6000,225,JR,Punahou High,"Honolulu, Hawaii"
"Lakalaka, Seyddrick",0,LB,6010,220,FR,Punahou,"Honolulu, Hawaii"
"Lessard, Isaac",34,FB,6030,240,RS SO,Jesuit High,"Sacramento, Calif."
"Lomax, Trey",3,SS,5110,195,SR,Mira Mesa HS,"San Diego, Calif."
"Luke, Anthony",45,DL,6040,260,SO/TR,Woodcreek,"Roseville,Calif."
"Macklin, Isiah",92,WR,6050,200,RS FR,Green Valley HS,"Las Vegas, Nev."
"Martinez, Chris",0,OL,6040,280,FR,Pitman,"Turlock, Calif."
"Mathis, Dru",38,LB,6030,235,RS FR,Buena HS,"Ventura, Calif."
"McDonald, Caden",0,LB,6030,210,FR,Northwest,"Haslet, Texas"
"Mitchell, Connor",58,DL,6050,250,FR,Wauconda,"Island Lakes, Ill."
"Moore, Damon",61,DL,6040,260,RS JR,San Marin HS,"Novato, Calif."
"Morris, Tyler",52,LB,6030,225,RS SR,Foothill HS,"Henderson, Nev."
"Murphy, Reggie",98,LB,6050,250,RS SO,Heritage High,"Menifee, Calif."
"O'Brien, Dominic",57,OL,6040,300,RS SO/TR,San Pedro High,"San Pedro, Calif."
"Oblea, Zachary",51,OL,6020,300,RS FR,San Juan Hills HS,"San Juan Capistrano, Calif."
"Onyeukwu, Chibu",55,DL,6040,255,RS JR/TR,Deer Valley HS,"Pittsburgh, Pa."
"Parchment, Dwayne",16,S,5110,195,RS SO,Kaiser High,"Fontana, Calif."
