Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aaron, Montel",7,QB,6050,210,RS FR,Antelope HS,"Antelope, Calif."
"Aguayo, Ethan",31,S,6020,220,RS SO,J Serra HS,"Mission Viejo, Calif."
"Aimonetti, Nico",67,DT,6050,278,SR,Los Gatos HS,"Los Gatos, Calif"
"Alberty, Jerrell",0,RB,6000,215,FR,McClymonds,"Oakland, Calif."
"Alexander, Cameron",95,DE,6050,280,RS FR,Mira Costa HS,"Los Angeles, Calif."
"Allen, Sam",1,QB,6030,210,RS SO/TR,Fork Union Military Academy,"Midlothian, Va."
"Astani, Sinjun",0,DE,6040,255,FR,Loyola,"Malibu, Calif."
"Ayers, Antwaun",0,WR,6000,180,FR,Northview,"West Covina, Calif."
"Balderas, Johnny",0,DB,6010,175,FR,Liberty,"Shafter, Calif."
"Berry, Mikal",43,DE,6060,272,SR,San Gorgonio HS,"San Bernardino, Calif"
"Bierria, Trevon",23,DB,6000,193,RS SO,Narbonne HS,"Carson, Calif."
"Blackwell, JaQuan",11,WR,6020,198,SO,Citrus Hill HS,"Perris, Calif."
"Bridges, Bryson",9,DT,6020,291,JR,Chaparral HS,"Temecula, Calif."
"Carrillo, Michael",14,QB,5110,195,RS JR/TR,Christian High,"Poway, Calif."
"Carrizosa, Michael",17,P,5100,225,SR,Palma HS,"Salinas, CA"
"Chachere, Andre",21,CB,6000,200,SR,Clovis West HS,"Fresno, CA"
"Chamberlain, Jesse",0,OL,6030,280,FR,Burroughs,"Burbank, Calif."
"Chopra, Gurdeep",48,DE,6020,230,FR,Willow Glen,"San Jose, Calif."
"Colman, Jake",72,OL,6030,290,JR/TR,Buena,"Ventura, Calif."
"Cottrell, Thai",22,WR,5070,176,JR,Oceanside HS,"Oceanside, Calif."
"Crawford, Bryce",38,K/P,6030,223,JR,Heritage HS,"Frisco, Tex."
"Ezell, Brandon",0,DB,6010,195,JR/TR,Los Alamitos,"Los Alamitos, Calif."
"Failauga, Noah",45,LB,6010,232,SO,Eastside Catholic HS,"Seattle, Wash."
"Foley, Brett",55,DE,6030,234,RS SO,Archbishop Mitty HS,"San Jose, Calif."
"Frederickson, Dominic",66,OG,6030,297,RS SO,Freedom HS,"Pittsburg, Calif."
"Gaither, Bailey",84,WR,6010,183,RS SO,Paso Robles HS,"Paso Robles, Calif."
"Ginda, Frank",5,OLB,6010,245,JR,Pacheco HS,"Los Banos, Calif."
"Gonzalez, Chris",74,OG,6030,310,SR,Salesian HS,"Los Angeles, Calif"
"Hardy, Jamaar",0,DL,6040,260,FR,Deer Valley,"Antioch, Calif."
"Hartley, Tre",13,WR,6000,196,JR,Milpitas HS,"Milpitas, Calif."
"Hawkins, Chandler",25,DB,5110,203,JR,St. John Bosco HS,"Los Angeles, Calif."
"Hayes, Malik",36,LB,6040,232,SO,Grossmont HS,"San Diego, Calif."
"Holmes, Justin",9,WR,6020,211,JR,Oakmont HS,"Roseville, Calif."
"Hoppe, Kyle",56,C,6010,296,RS FR,Chaparral HS,"Temecula, Calif."
"Humphreys, Billy",81,TE,6050,241,RS FR,Notre Dame HS,"Malibu, Calif."
"Johnson, Christian",0,DE,6060,260,FR,Wheatland,"Wheatland, Calif."
"Johnson, Rahshead",8,WR,5110,178,JR/TR,Cabrillo,"Compton, Calif"
"Johnson, Ryan",0,QB,6040,190,FR,Hanford,"Hanford, Calif."
"Kelly, Jeremy",1,S,6020,185,JR,Salesian HS,"Inglewood, Calif."
"Kelly, Jermaine",3,CB,6010,195,SR/TR,Salesian,"Los Angeles, Calif."
"Kolone, Jeremiah",62,OG,6030,308,RS SR,Fallbrook HS,"Fallbrook, Calif"
"Kowalski, Troy",79,OT,6050,295,RS SO,Mountain Ridge HS,"Glendale, Ariz."
"Lanski, Jake",35,PK,5100,195,RS JR/TR,Ventura HS,"Ventura, Calif."
"Lenard Jr., Jonathan",27,DB,6010,192,RS FR,Rio Mesa HS,"Beaumont, Texas"
"Liles, Austin",0,WR,6030,190,FR,Orange Lutheran,"Orange, Calif."
"Love, Josh",12,QB,6020,205,RS SO,Long Beach Poly HS,"Mission Viejo, Calif."
"Martinez, David",37,WR,6000,180,JR/TR,Franklin,"Modesto, Calif."
"McKnight, Maurice",10,S,6000,200,SR,Arroyo Valley HS,"San Bernardino, CA"
"Miller, Chad",17,FS,6000,190,RS JR,Bethel HS,"Vallejo, CA"
"Mitchell, Brandon",82,WR,6050,210,SR,Ridgeway,"Memphis, Tenn."
"Monroe, Brandon",32,RB,6010,242,SR,Del Oro HS,"Loomis, Calif."
"Monroe, Dakari",19,CB,5110,190,JR,Archbishop Mitty HS,"San Jose, Calif."
"Motes, Deano",78,OG,6050,290,RS SO,Perry HS,"Chandler, Ariz."
"Nelson, Charles",54,OC/OG,6040,306,RS JR,Valley Christian HS,"San Jose, CA"
"Nevens, Tyler",0,RB,5110,215,FR,Los Altos,"Hacienda Heights, Calif."
"Oliver, Josh",89,TE,6050,253,JR,Paso Robles HS,"Paso Robles, Calif."
"Ossai, William",11,OLB,6020,231,RS SR,Oak Grove HS,"San Jose, Calif"
