Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Acosta, Sid",70,OL,6010,305,JR/TR,Centennial,"Corona, Calif."
"Afalava, Soli",15,DB,6020,205,RS SO,Kahuku HS,"Hau'ula, Haw."
"Austrie, Evan",17,DB,6000,195,RS SO,Vallejo HS,"Vallejo, Calif."
"Aziz, Ammir",66,DL,6060,335,JR,Durango HS,"Las Vegas, NV"
"Baker, Dalton",33,DB,5110,185,JR,Bishop Gorman HS,"Las Vegas, NV"
"Bean, Noah",0,TE,6020,230,FR,Grace Brethren,"Simi Valley, Calif."
"Borg, Aaron",49,LB,6010,240,JR/TR,Saguaro,"Scottsdale, Ariz."
"Boyd, Devonte",83,WR,6010,185,SR,Basic HS,"Henderson, NV"
"Brayton, Matt",72,OL,6030,310,RS FR,Bishop Amant HS,"Monrovia, Calif."
"Briley, Jalil",90,DL,6030,230,SO,Bonanza,"Las Vegas, Nev."
"Caldwell, Jaron",75,OL,6040,325,SO,Bishop Gorman HS,"Las Vegas, Nev."
"Campbell, Xzaviar",35,RB,5110,225,JR,Bellaire HS,"Bellaire, Tex."
"Carr, Cameron",47,LB,6010,250,RS FR,La Mirada HS,"La Mirada, Calif."
"Chevalier, Michael",77,OL,6030,300,SR/TR,Mt. Carmel HS,"San Diego, Calif."
"Clapp, Christian",85,WR,6010,190,SR,Kaiser HS,"Honolulu, HI"
"Clark, Jeremy",0,WR,6020,195,FR,La Mirada,"La Mirada, Calif."
"Collins Jr., Andre",81,WR,6040,205,SO,Mater Dei HS,"Hacienda Heights, Calif."
"Daniels, Tykenzie",6,DB,5090,190,RS FR,Foster HS,"Richmond, Texas"
"Dehdashtian, Nick",98,DL,6010,290,RS SO,Santa Margarita Catholic HS,"Rancho Santa Margarita, Calif."
"Erbes, Andrew",60,OT,6020,310,SR/TR,Saguaro HS,"Scottsdale, Ariz."
"Fao, Jason",95,DL,6000,310,SR/TR,Long Beach Poly,"Long Beach, Calif."
"Fauolo, Giovanni",45,TE,6020,250,RS FR,Freedom HS,"Oakley, Calif."
"Finau, Mark",19,DE,6030,235,SR/TR,Cathedral HS,"Vallen Glen, Calif."
"Flowers, Jericho",32,DB,5100,175,RS SO,Hamilton HS,"Los Angeles, Calif."
"Francis, Greg",0,DB,6020,190,FR,Bishop Gorman,"Las Vegas, Nev."
"Garcia, Julio",74,OL,6030,310,SO,Bishop Gorman HS,"Las Vegas, Nev."
"Gibbs, Demitrious",22,DB,6040,190,SO/TR,Chula Vista,"Chula Vista, Calif."
"Godfrey, Daniel",39,LB,5080,230,RS FR,Sierra Vista HS,"Las Vegas, Nev."
"Grayson, Marckell",0,QB,6000,200,FR,Desert Pines,"Las Vegas, Nev."
"Haynes, Phillip",89,OL,6040,245,JR,Skyline HS,"Dallas, TX"
"Hester II, Farrell",0,LB,6000,240,FR,Bishop Gorman,"Las Vegas, Nev."
"Hester Jr., Bruce",0,DL,6010,280,JR/TR,N/A,"Mesa, Ariz."
"Hollandsworth, Tariq",0,RB,5110,205,FR,Sacramento,"Sacramento, Calif."
"Holloway, Jamal",97,DL,6030,225,RS FR,Camden HS,"Camden, N.J."
"Holt, Tim",43,TE,6020,230,SR/TR,Yorba Linda HS,"Yorba Linda, Calif."
"Hough, Tim",13,CB,5110,185,JR,Desert Pines HS,"Las Vegas, NV"
"Hughes Jr, Mike",99,DT,6020,315,SR,Palo Verde HS,"Las Vegas, NV"
"Iafeta, Toa",59,DL,6040,295,RS FR,Milipitas HS,"San Jose, Calif."
"Jackson, Kyree",0,WR,5100,165,RS FR,Kennedy,"Fairfield, Calif."
"Jackson, Robert",24,CB,6020,205,SR/TR,Lehigh Senior HS,"Fort Myers, Fla."
"Jacobson, Nathan",64,OL,6050,280,JR,Snohomish HS,"Snohomish, Wash."
"Jones, Rodney",92,DL,6030,250,RS FR,Lincoln HS,"Stockton, Calif."
"Kanteman, Trevor",9,TE,6040,240,SR/TR,Royal,"Woodland Hills, Calif."
"Katoanga, Spencer",0,LB,6000,225,FR,El Camino,"Oceanside, Calif."
"Keyes, Brian",5,LB,6010,250,SR/TR,Shadow Ridge,"Surprise, Ariz."
"Keys, Kendal",84,WR,6040,205,JR,Helix HS,"San Diego, Calif."
"Lang, Joe",57,LS,6020,225,JR/TR,Pullman HS,"Pullman, Wash"
"Laolagi, Bailey",48,LB,6010,220,JR,Folsom HS,"Folsom, Calif."
"Mann, Roger",56,DL,6030,265,JR/TR,Rancho Bernardo,"San Diego, Calif."
"McCoy, Gabe",25,OLB,6020,215,RS SO,Pittsburg HS,"Pittsburg, Calif."
"Minor, Christian",37,DB,5090,200,RS FR,Canyon Springs HS,"North Las Vegas, Nev."
"Morgan, Ashton",0,OL,6050,295,FR,Pleasant Valley,"Chico, Calif."
"Naditch, Dorian",27,PK,5040,155,SO,Carlisle HS,"Carlisle, Pa."
"Neal, Jamaal",0,TE/HB,6000,230,FR,South Gate,"South Gate, Calif."
"Neal, Nate",0,DL,6030,215,FR,Etiwanda,"Montclair, Calif."
"O'Halloran, Kyler",50,LB,6000,225,JR/TR,Kealakehe,"Kailua-Kona, Hawaii"
"Oishi, Nathaniel",96,OL,5100,285,JR,Iolani HS,"Honolulu, Haw."
"Oluwaseun, Justice",0,OL,6020,325,FR,Foster,"Richmond, Texas"
"Outlaw, Donovan",65,OL,6040,290,RS FR,Coronado HS,"Henderson, Nev."
"Owens, Evan",29,RB,6010,220,JR/TR,Kimball HS,"Tracy, Calif."
"Palandech, Kurt",14,QB,6010,185,SR/TR,North HS,"Plainfield, IL"
"Palmer, Darren",0,WR,6000,200,JR/TR,Lithia Springs,"Lithia Springs, Ga."
"Pantels, Evan",30,P/PK,5100,190,JR/TR,Peachtree Ridge HS,"Suwanee, Ga."
"Parks, Rahseed",0,DL,6020,235,SR/TR,Arbor View,"Las Vegas, Nev."
"Polu, Justin",78,OG,6040,325,RS SO,Silverado HS,"Henderson, Nev."
"Presley, Brandon",80,WR,6000,180,SO,Great Oaks HS,"Temecula, Calif."
"Roberts, Ty'Jason",0,DB,6000,195,JR/TR,Culver City,"Culver City, Calif."
"Rogers, Armani",1,QB,6050,225,RS FR,Hamilton HS,"Los Angeles, Calif."
"Rominger, Jacob",44,LB,6020,230,JR/TR,Blue Valley NW,"Overland Park, Kan."
"Sanders, J'Ondray",63,OT,6050,290,RS SR,Basic HS,"Henderson, NV"
"Saxelid, Kyle",76,OT,6070,290,RS SR,Consumnes Oaks HS,"Elk Grove, Calif."
"Scherff, Cody",88,TE,6060,250,JR/TR,Albert Lea Senior HS,"Albert Lea, Minn."
"Schoene, Daniel",0,OL,6060,305,FR,Bakersfield,"Bakersfield, Calif."
"Singer, Zack",51,OL,6020,320,JR/TR,Bishop Gorman HS,"Las Vegas, Nev."
