Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aldering, Vincent",99,K,5080,168,RS FR,Cathedral HS,"Indianapolis, Ind."
"Baker, Cody",53,DE,6030,274,JR,Eastside Catholic HS,"Issaquah, Wash."
"Baker, DaQuan",37,LB,6020,241,RS SO/TR,Centennial,"Compton, Calif."
"Barnwell Jr., Stanley",9,DB,6020,198,JR/TR,Monsignor Pace,"Opa-lock, Fla."
"Baylor III, Raymond",79,OL,6010,293,SR/TR,Hightower HS,"Houston, Texas"
"Beilman, Erik",84,TE,6030,240,RS SO,Brandeis HS,"San Antonio, Tex."
"Benard, Sammy",50,OL,6040,285,JR/TR,Lindsay,"Lindsay, Okla."
"Blackwell, Aaron",0,DL,6030,298,SO/TR,Liberty,"Peoria, Ariz."
"Boatright, Jadon",11,CB,5110,181,RS SR,Libety Hill HS,"Liberty Hill, TX"
"Bojorquez, Corey",30,P,6000,211,SR/TR,Mayfair HS,"Bellflower, Calif."
"Bolden, Nico",0,DB,6030,199,FR,Woodbury,"Woodbury, Minn."
"Boyce, Rayshawn",0,LB,6050,248,JR/TR,Salesian,"Compton, Calif."
"Brown, David",94,LB,6010,217,RS FR,Eldorado HS,"Albuquerque, N.M."
"Brys, Jonathan",70,OL,6050,261,RS FR,Lumen Christi HS,"Jackson, Mich."
"Burrell, Jalin",0,DB,6010,195,JR/TR,Patriot,"Riverside, Calif."
"Burston, Cameron",0,QB,6040,210,JR/TR,Stellar Prep,"Vallejo, Calif."
"Carroll, Bryson",0,QB,5090,183,FR,Roosevelt,"San Antonio, Texas"
"Carson, Kimmie",2,LB,6000,213,RS SR,East Central HS,"Tulsa, Okla."
"Castellanos, Izrael",78,OL,6040,266,RS SO,Mission Viejo HS,"Mission Viejo, Calif."
"Chestnut, Daryl",20,RB,5080,183,SR/TR,Christopher Columbus HS,"Miami, Fla."
"Chmura, Dyson",89,TE,6030,216,RS SO,Waukesha West HS,"Waukesha, Wisc."
"Conyers, Jermane",92,DL,6020,235,JR/TR,Ridgeland,"Rossville, Ga."
"Davis, Chris",18,WR,5060,175,SR,Oaks Christian HS,"Westlake Village, CA"
"Drennan, Q'",8,WR,5110,199,RS SO,American HS,"El Paso, Texas"
"EnRico, Jared",34,DS,5110,199,RS FR,La Mirada HS,"La Mirada, Calif."
"Epting, Rhashaun",99,LB,6030,216,RS FR,Proviso West HS,"Berkeley, Ill."
"Flack, Jordan",29,LB,6020,220,JR/TR,Newbury Park,"Newbury Park, Calif."
"Flowers, Nahje",93,DL,6030,263,RS FR,Dorsey HS,"Los Angeles, Calif."
"Fountain, Blaise",59,OC,6000,280,SR/TR,Maize HS,"Wichita, Kan."
"French, Matt",38,LB,6000,223,RS FR,Crestview,"Crestview, Fla."
"Gerhart, Colton",38,QB/RB,6000,223,RS JR/TR,Vista Murrrieta,"Murrieta, Calif."
