Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"'Unga, Chris",96,DE,6000,295,RS SO,Rancho Cucamonga,"Rancho Cucamonga, Calif."
"Adeoye, Adewale",55,DE,6030,265,RS JR,Ritenour,"St. Louis, MO"
"Ali'ifua, Demytrick",58,OL,6030,305,RS FR,San Leandro,"San Leandro, Calif."
"Andersen, Chasen",10,LB,5110,220,JR/TR,Logan,"Logan, Utah"
"Anderson, Caden",94,NG,6020,270,RS FR,Logan,"Logan, Utah"
"Andrus, Roman",62,OL,6040,280,JR/TR,Oakridge,"El Dorado, Calif."
"Artist, Chad",14,WR,6020,190,RS SO,Logan,"Logan,UT"
"Bailey, Wesley",8,CB,6010,195,RS SR/TR,J.O. Johnson,"Huntsville, Ala."
"Baker, Dalton",24,LB,6040,250,RS SO,Payson,"Payson,UT"
"Boman, Travis",89,TE,6050,220,RS FR,Coronado,"Henderson, Nev."
"Boyer, Cody",78,OL,6060,285,RS JR/TR,Pineview HS,"St. George, UT"
"Bright, Gerold",25,RB,5090,180,RS SO,Escambia,"Pensacola,FL"
"Brooksby, Preston",73,OT,6050,295,RS SR/TR,Sunrise Mountain,"Peoria,AZ"
"Brown, Jay",39,CB,5080,165,RS FR,Chino Hills,"Chino Hills, Calif."
"Byers, Alex",1,WR,6020,185,SR/TR,Spoto,"Riverview, Fla."
"Castaneda, Rob",70,OL,6040,305,JR/TR,Round Rock,"Round Rock, Texas"
"Chen, Andrew",55,OT,6030,285,RS SR,Chaminade College Prep,"Calabasas, Calif."
"Christiansen, Chase",48,LB,6010,235,RS JR,Stansbury HS,"Stansbury, UT"
"Colston-Green, Jaren",5,WR,6020,185,SR/TR,Leon,"Tallahassee, Fla."
"Compton, Taylor",84,WR,5090,180,FR,Logan,"Logan, Utah"
"Curtis, Preston",82,WR,5100,175,FR,East,"Salt Lake City, Utah"
"Dalton, Aaron",89,P,6040,220,RS JR,Viewmont,"Bountiful, UT"
"Davis, Jalen",13,CB,5100,185,SR,Helix,"La Mesa, CA"
"Eberle, Dominik",62,PK,6030,180,RS SO,Redondo Union,"Redondo Beach, Calif."
"Fata, Ritisoni",90,DE,6010,280,RS FR,East Valley,"Redlands, Calif."
"Fehoko, S.J.",32,RB,5090,195,FR,Cottonwood,"Salt Lake City, Utah"
