Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Albrandt, Dylan",38,LB,6040,195,RS FR,Canon City,"Canon City, Colo."
"Allen, Josh",17,QB,6050,222,RS JR/TR,Montclair,"Firebaugh, Calif."
"Arnold, Patrick",0,OL,6030,290,FR,Gretna,"Omaha, Neb."
"Baker, Sterling",38,WR,6000,200,FR,N/A,"Dubois, Wyo."
"Beddes, Brock",41,P,6020,210,RS SO,Natrona,"Casper, Wyo."
"Bettencourt, Richard",69,OG,6030,310,RS JR,Meridian HS,"Meridian, ID"
"Blankenbaker, Keyon",0,CB,5100,170,FR,Oak Park-River Forest,"Oak Park, Ill."
"Borton, Justis",76,OL,6020,253,RS FR,Wheatland,"Wheatland, Wyo."
"Boyd, Josh",20,S,6020,175,RS FR,Bakersfield West,"Bakersfield, Calif."
"Burroughs, Jeff",34,FB,6010,242,RS FR,Southeast,"Yoder, Wyo."
"Cain, Conner",87,DT,6040,279,RS JR,Heritage HS,"Littleton, CO"
"Caldron, Cameron",84,TE,6050,222,RS FR,Brookside Christian,"Stockton, Calif."
"Calvert, Josh",37,LB,6000,214,RS FR,Wheatland,"Wheatland, Wyo."
"Carr, Adam",11,QB,6040,192,FR,Notre Dame,"Los Angeles, Calif."
"Coldon, C.J.",0,CB,6010,175,FR,Althoff Catholic,"Belleville, Ill."
"Conway, Austin",25,WR,5100,172,RS SO,Overland HS,"Aurora, Colo."
"Cortese, James",26,S,6010,180,RS FR,Fairview,"Boulder, Colo."
"Cottengim, Seth",70,LS,6000,205,RS FR,Hicksville,"Hicksville, Ohio"
"Cox, Avante'",0,WR,5110,170,FR,Rochester,"Rochester, Ill."
"Crall, Garrett",29,DE,6050,221,RS FR,Hicksville HS,"Hicksville, Ohio"
"Crow, Dontae",12,WR,5090,170,RS FR,Sheridan,"Sheridan, Wyo."
"Cryder, Keegan",0,OT,6040,240,FR,Dakota Ridge,"Littleton, Colo."
"Cummings, Ryan",59,OT,6050,312,SR,Valor Christian HS,"Littleton, CO"
"Dickson, Kendall",60,DE,6040,229,RS FR,Bruning-Davenport,"Carleton, Neb."
"Donovan, Kolton",0,LS,6030,250,SR/TR,N/A,"Washington, Utah"
"Dorfner, Trey",0,RB,6000,175,FR,River Ridge,"Fircrest, Wash."
"Draeger, Boyd",65,C,6040,296,RS SO,Lakeville North,"Lakeville, Minn."
"Dumas, Parker",89,WR,6050,200,RS FR,Mount Si,"North Bend, Wash."
"Dunayski, Gavin",0,DL,6060,250,FR,Puyallup,"Puyallup, Wash."
"Eberhardt, Ayden",19,WR,6020,175,RS FR,Loveland HS,"Loveland, Colo."
"Epps, Marcus",6,SS,6000,203,RS JR,Edison,"Los Angeles, CA"
"Evans, Nico",22,RB,5090,206,JR,Loyola HS,"Los Angeles, CA"
"Fields, Dalton",98,DT,6030,284,RS SR,Pine Creek,"Colorado Springs, Colo."
"Fort, Austin",81,TE,6040,231,JR,Campbell County,"Gillette, Wyo."
"Freeman, Davion",27,CB,5090,169,RS SO,Del City,"Del City,OK"
"Gafford, Rico",5,CB,5110,180,SR/TR,East,"West Des Moines, Iowa"
"Gandy, Esaias",0,S,6010,183,FR,Denver South,"Aurora, Colo."
"Gardner, Garrett",28,RB,6000,205,RS SO,Central,"St. Paul, Minn."
"Gatoloai-Faupula, Ryan",0,LB,6010,210,FR,Inderkum,"Sacramento, Calif."
"Ghaifan, Youhanna",93,DT,6040,290,RS SO,Central Catholic,"Grand Island,NE"
"Gilliland, Brent",99,DL,6020,274,RS SO,Sterling,"Sterling, Colo."
"Granderson, Carl",91,DE,6050,243,JR,Grant,"Sacramento,CA"
"Green II, Mike",23,RB,5110,205,RS FR,Grant,"Sacramento, Calif."
"Haen, Jack",84,DT,6030,259,RS FR,Mullen,"Arvada, Colo."
"Hall, Josiah",53,DE,6010,237,RS SO,Falcon,"Colorado Springs, Colo."
"Hall, Milo",16,RB,5080,190,RS SO,Cherry Creek HS,"Denver, Colo."
"Hall, Tyler",9,CB,5100,184,SO,Junipero Serra,"Hawthorne, Calif."
"Halliburton, Alikah",3,S,6020,180,SO,Overland,"Aurora, Colo."
"Harris, Logan",0,OL,6030,275,FR,Torrington,"Torrington, Wyo."
"Harshman, Josh",33,TE,6030,224,JR,Natrona County,"Casper,WY"
"Holm, Zach",25,S,6000,215,RS FR,Steamboat Springs,"Steamboat Springs, Colo."
"Holt, Ravontae",0,DL,6040,260,FR,Sheldon,"Sacramento, Calif."
"Hull, Antonio",21,CB,5100,188,JR,Diamond Bar,"Diamond Bar,CA"
"Irving, Christian",12,OLB,5110,208,RS SO,American Heritage,"Ft.Lauderdale,FL"
"Jackson, Javaree",0,DL,6050,250,FR,Wauwatosa West,"Wauwatosa, Wis."
"Jackson, Kaden",61,OG,6020,294,JR,Kingfisher,"Kingfisher,OK"
"Jefferson, Isaac",31,WR,5080,163,SO,Rawlins,"Rawlins, Wyo."
"Johnson, C.J.",14,WR,6020,196,RS SO,Bellevue,"Bellevue,NE"
"Jolly, Brinkley",74,TE,6050,273,RS JR,Liberty North HS,"Liberty, MO"
"Jones, Victor",0,DE,6040,235,FR,Inderkum,"Sacramento, Calif."
"Kamana, Tim",23,SS,5110,213,RS SR,West Point Prep,"Honolulu, Hawai`i"
"King, Adrian",50,LB,6010,220,RS FR,George Washington,"Denver, Colo."
"Leppke, Isaac",9,QB,6040,173,RS FR,Dinuba HS,"Dinuba, Calif."
"List, Matt",47,FB,5110,240,RS JR,Pine Creek,"Colorado Springs, CO"
"Lolohea, Taniela",58,DE,6010,253,SR/TR,N/A,"Hawthorne, Calif."
"Lomanto, Paul",32,RB,6010,200,RS FR,Live Oak,"San Martin, Calif."
"Lopez, Austin",54,LB,6030,223,RS SO,Palmer,"Colorado Springs, Colo."
"Makransky, Anthony",19,CB,5100,184,RS JR,Friendswood,"Friendswood, TX"
"Malauulu, Sidney",96,DT,6030,306,RS JR,Buena HS,"Sierra Vista, AZ"
"Maluia, Cassh",46,LB,6000,223,SO,Paramount,"Paramount, Calif."
"Maughan, Sam",87,TE,6030,220,RS FR,Oregon City,"Beavercreek, Ore."
"Mayfield, Tyree",85,TE,6030,237,RS JR,Central HS,"St. Joseph, MO"
"Meader, Trevor",51,DE,6040,239,RS SR/TR,Lincoln Southwest,"Lincoln,Neb"
"Miller, Skyler",35,LB,5110,204,RS FR,Torrington,"Torrington, Wyo."
"Mirich, Cooper",44,LB,6010,213,SO/TR,N/A,"Cheyenne, Wyo."
"Moore, Jahmari",52,LB,6020,219,RS FR,Oak Park and River Forest,"Oak Park, Ill"
"Okwoli, John",13,WR,6020,205,SO,North Canyon,"Phoenix, Ariz."
"Ortiz, Jalen",8,FS,5100,196,RS SR/TR,Centennial,"Peoria, Ariz."
"Overstreet, Kellen",29,RB,5110,196,RS SO,Penney,"Hamilton,MO"
"Paulson, Logan",86,TE,6040,215,RS FR,Legacy,"Broomfield, Colo."
"Pilapil, Adam",32,FS,6010,203,RS JR,Loyola,"Torrance, CA"
"Pownell Jr., Chavez",31,S,5110,198,RS JR,Jefferson HS,"Tampa, FL"
"Price, James",80,WR,6020,208,JR,Camas,"Camas,WA"
"Priester, Robert",2,CB,5090,180,SR,Robinson HS,"Tampa, FL"
"Prosser, Kevin",42,S,6020,215,JR,Gateway Senior,"Aurora,CO"
"Rothe, Cooper",40,K,5110,170,SO,Longmont,"Longmont, Colo."
"Rush, Gavin",55,OL,6030,301,SO,Aurora,"Phillips, Neb."
"Schwab, Pahl",77,OT,6050,306,RS SO,Star Valley,"Afton, Wyo."
"Scott, Jared",0,WR,6060,215,FR,Oak Park-River Forest,"Oak Park, Ill."
"Sessions, Riley",16,S,5110,193,RS FR,Sheridan HS,"Sheridan, Wyo."
"Smith, Braden",24,S,5100,177,RS FR,Lakewood,"Lakewood, Colo."
"Smith, Nick",15,QB,6040,229,RS JR,Merritt Island HS,"Merritt Island, FL"
"Spurlin-Renfroe, Erik",0,WR,6010,180,FR,Gahr,"Cerritos, Calif."
"Stofer, Rudy",0,OT,6060,255,FR,Kearney,"Kearney, Neb."
"Swan, Jerard",24,WR,6000,186,RS FR,Marquette,"Milwaukee, Wis."
"Szpor, Nick",18,QB,6030,202,SO,Central HS,"Fresno, Calif."
"Thatcher, Zach",64,OL,6050,282,RS FR,Centennial,"Pueblo, Colo."
"Turner, Cole",67,OG,6040,280,RS JR,Xavier HS,"Cedar Rapids, IA"
"Valladay, Xazavian",0,RB,6000,185,FR,Brother Rice,"Matteson, Ill."
"Van Maanen, Drew",36,FB,6010,241,RS SR,Chaparral,"Parker, Colo."
"Vander Waal, Tyler",0,QB,6040,210,FR,Christian Brothers,"Elk Grove, Calif."
"Velazquez, Alonzo",0,OT,6060,270,FR,Parker,"Janesville, Wis."
"Wallace, Zach",72,OT,6070,297,JR,Lake Zurich,"Lake Zurich,IL"
"Washington, Sidney",22,CB,5090,164,RS FR,Bullard HS,"Fresno, Calif."
"Watson, Deandre",11,CB,5110,187,RS SO/TR,N/A,"Los Angeles, Calif."
"Watson, Jaylon",30,ILB,6000,239,RS SO,Broken Bow,"Broken Bow,OK"
"Webb, Jace",71,OL,6040,321,RS FR,Hollis,"Hollis, Okla."
"Weeks, Dustin",75,OL,6080,288,RS FR,Glenburn,"Deering, N.D."
"Weinman, Nate",0,TE,6070,235,FR,Norwayne,"Creston, Ohio"
"Wells-Ross, Davon",0,LB,6050,190,FR,Omaha North,"Omaha, Neb."
"Wilson, Logan",30,WR,6020,225,RS SO,Natrona County,"Casper,WY"
"Wilson, Nick",26,WR,5110,168,RS FR,Ponderosa HS,"Parker, Colo."
"Windsor, Shiloh",92,LB,6030,224,SO,Ada,"Ada, Okla."
"Wingard, Andrew",28,FS/SS,6000,207,JR,Ralston Valley,"Arvada,Col"
"Wisdorf, Ben",43,LB,6010,213,RS SO,East,"Cheyenne, Wyo."
"Woods, Trey",0,ATH,6030,210,FR,North Bend,"North Bend, Ore."
"Zaleski, Tim",0,P,6050,215,FR,St. Rita,"Oak Lawn, Ill."
