Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adams, Chad",21,SS,5090,188,SR,Allen,"Allen, Texas"
"Allen, Hunter",83,WR,5110,177,RS FR,Cathedral Catholic,"San Diego, Calif."
"Bailey, Quinn",59,OT,6050,307,RS JR,Higley,"Gilbert, Arizona"
"Ball, Marcus",31,LB,6020,223,RS SR,Westerville-South,"Westerville, Ohio"
"Ballage, Kalen",7,RB,6020,227,SR,Falcon,"Peyton, Colorado"
"Barnett, Blake",8,QB,6050,200,RS SO/TR,Santiago,"Corona, Calif."
"Bates, Jalen",96,DE,6040,260,RS SO,Kaplan,"Kaplan,LA"
"Benjamin, Eno",23,RB,5100,205,FR,Wylie East,"Wylie, Texas"
"Brimhall, Jacob",35,RB,5080,186,SR,Mountain View,"Mesa, Az"
"Bubak, Jared",81,TE,6040,244,RS FR,Lincoln Christian,"Lincoln, Neb."
"Cabral, Cohl",73,OT,6050,286,SO,Los Osos,"Rancho Cucamonga, Calif."
"Caldwell, Kordell",46,DB,5110,190,FR,Pearland,"Houston, Texas"
"Calhoun, D.J.",3,OLB,6000,228,SR,El Cerrito,"El Cerrito, CA"
"Chandler, Maurice",16,DB,6000,190,SR/TR,Lawton,"Lawton, Okla."
"Chatman, Terrell",21,WR,6030,188,RS SO,Central,"Baton Rouge,LA"
"Collins, Chaz",38,DB,5100,172,RS SO,Bishop Academy,"Mission Hills, Calif."
"Cornay, Darien",0,DB,5110,185,SO/TR,Los Alamitos,"Los Alamitos, Calif."
"Cosgrove, Mark",22,FB,5100,214,SR,Pennsville Memorial,"Mullica Hill, N.J."
"Cote, Cade",72,OG,6030,295,RS SO,Williams Field,"Gilbert,AZ"
"Cozens, Jesse",67,OL,6040,320,FR,N/A,"Tempe, Ariz."
"Crump, Koron",4,DL,6030,218,SR/TR,Cleveland NJROTC,"St. Louis, Mo."
"Darby, Frank",8,WR,6000,197,RS FR,Lincoln,"Jersey City, N.J."
"Davidson, D.J.",98,DL,6050,310,FR,Desert Ridge,"Mesa, Ariz."
"Dayries, Emanuel",93,DL,6030,308,RS JR,O. Perry Walker,"New Orleans, La."
"Drenon, Brycen",34,DB,6000,205,FR,Pearland,"Pearland, Texas"
"Fields, Evan",6,DB,6010,186,FR,Midwest City,"Oklahoma City, Okla."
"Forman, Shannon",44,DL,6010,300,FR,Southern Lab,"Baton Rouge, La."
"Fraboni, Mitchell",63,LS,6020,229,SR,Mountain Pointe,"Phoenix,AZ"
"Frederick, Langston",18,CB,5100,175,FR,Clear Springs,"League City, Texas"
"French, Cody",28,DB,5110,205,JR,Goddard,"Roswell, N.M."
"French-Love, Ceejhay",0,TE,6040,246,JR/TR,Long Beach Poly,"Long Beach, Calif."
"Gilbert, Trent",34,PK,6020,191,RS SO,Higley,"Gilbert, Ariz."
"Guignard, Deion",38,DB,6030,197,JR/TR,Trinity,"Euless, Texas"
"Harry, N'Keal",1,WR,6040,220,SO,Chandler,"Chandler, Ariz."
